epoch,loss,jepa_loss,domain_loss,domain_accuracy,alignment_state,selected_sea_ad_cells,selected_rexach_cells,selected_olah_cells,lambda_grl,mask_fraction,epoch_seconds,cells_per_second,effective_dims,top_sv_ratio,mean_dim_std,centroid_l2_sea_ad_rexach,centroid_l2_sea_ad_olah,centroid_l2_rexach_olah,random_gene_dropout_genes,module_dropout_events,module_dropout_genes,external_mask_events,external_mask_genes,edge_dropout_edges
1,0.24598187015902612,0.013117290552585356,1.1643228876975276,0.32610887096774194,reference_like,6263,3605,2013,0.11995727325477043,0.2,24.04019490000792,247.58534715531943,24.37735366821289,0.352594792842865,0.027282319962978363,0.12985898554325104,0.2558777630329132,0.12626077234745026,2642043,601,6142,1478,268996,715994
2,0.2519084623744411,0.012936786688383549,1.194858354906882,0.3324932795698925,reference_like,6263,3605,2013,0.35374915252499306,0.275,23.902131599956192,249.0154476436281,13.159311294555664,0.5085408687591553,0.05079134553670883,0.12592393159866333,0.2504168748855591,0.12474439293146133,2641860,588,5969,1464,272706,715191
3,0.264908290678455,0.013028610407585097,1.2593983642516597,0.33450940860215056,reference_like,6263,3605,2013,0.5505020129511542,0.35,24.084395799960475,247.13096601783002,10.871981620788574,0.5535181760787964,0.06212442368268967,0.1268734633922577,0.250228613615036,0.12360880523920059,2638764,564,5742,1496,271080,715556
4,0.27440081488701606,0.013134065504756666,1.3063336995340162,0.3346774193548387,reference_like,6263,3605,2013,0.7007246712918049,0.425,24.211777899996378,245.83076982549434,11.635677337646484,0.534095287322998,0.05654099956154823,0.12874870002269745,0.2526596486568451,0.12416969984769821,2640357,556,5638,1500,278066,715971
5,0.2776442929621666,0.013082322003620287,1.3228098230977212,0.33383736559139787,reference_like,6263,3605,2013,0.807072060140185,0.5,24.35722900001565,244.36277213619726,11.995251655578613,0.5313733816146851,0.05301719531416893,0.1292005479335785,0.2517586648464203,0.12279965728521347,2639179,603,6081,1530,283526,716097
6,0.27935904072177026,0.012951503537835614,1.3320376488470262,0.3336693548387097,reference_like,6263,3605,2013,0.8783741400058992,0.5,24.46434170001885,243.29287388899633,12.852309226989746,0.5167738795280457,0.049423642456531525,0.12493482232093811,0.24772389233112335,0.1230454295873642,2642116,562,5718,1479,268433,714944
7,0.27505881459482256,0.013149619342819337,1.3095459476594002,0.334005376344086,reference_like,6263,3605,2013,0.924445635824921,0.5,24.562151900026947,242.32404490558784,14.320917129516602,0.48904210329055786,0.04418640211224556,0.1310308426618576,0.25263512134552,0.1218622624874115,2640938,598,6084,1510,275416,716748
8,0.27021570359506913,0.013171633675454123,1.2852203153794812,0.33686155913978494,reference_like,6263,3605,2013,0.9535054822059571,0.5,24.621633899980225,241.73862807718785,13.902658462524414,0.4961787760257721,0.044371236115694046,0.12734435498714447,0.253357857465744,0.12625542283058167,2637165,564,5717,1481,274459,715529
9,0.26915225771165663,0.013082153524362271,1.2803504813101985,0.3326612903225806,reference_like,6263,3605,2013,0.9715567079877375,0.5,24.665508000005502,241.30863228110576,14.053250312805176,0.4960409104824066,0.04387752339243889,0.12914104759693146,0.2525787055492401,0.12369253486394882,2639866,633,6448,1465,258137,716750
10,0.26573029641182194,0.013188433683206957,1.2627092792141823,0.33669354838709675,reference_like,6263,3605,2013,0.9826630931524248,0.5,24.759541300009005,240.39217560132406,15.750399589538574,0.46652668714523315,0.03867288678884506,0.12791958451271057,0.2538754940032959,0.12617264688014984,2639978,551,5601,1444,267278,716382
11,0.2606125839294926,0.013226366301457728,1.2369310855865479,0.3311491935483871,reference_like,6263,3605,2013,0.9894563800333281,0.5,24.885413700016215,239.1762528744347,17.552217483520508,0.43779775500297546,0.034195855259895325,0.12915809452533722,0.2557353675365448,0.12682197988033295,2640496,623,6315,1554,290278,715797
12,0.2577469175861728,0.013386036569793378,1.221804399644175,0.3262768817204301,reference_like,6263,3605,2013,0.9935965614328778,0.5,24.873510600009467,239.29070953087478,19.629552841186523,0.404356986284256,0.03043721243739128,0.13528695702552795,0.26307135820388794,0.12802515923976898,2641251,590,5993,1469,273467,716552
13,0.2529163009697391,0.01326136492312916,1.1982746585722892,0.32543682795698925,reference_like,6263,3605,2013,0.996114251482986,0.5,24.911212799954228,238.92855188531553,22.793758392333984,0.3608699142932892,0.026514649391174316,0.1342368870973587,0.2636687159538269,0.1296628713607788,2639619,624,6295,1515,272899,715691
14,0.2495085491288093,0.013203756252844487,1.1815239460237565,0.3214045698924731,reference_like,6263,3605,2013,0.9976432360700358,0.5,24.912968799995724,238.91171091584323,22.542667388916016,0.3637526333332062,0.026470379903912544,0.13460570573806763,0.2654564082622528,0.13109111785888672,2641088,593,5989,1509,273297,716797
15,0.24949145749691995,0.013186792152062539,1.1815232999863163,0.323252688172043,reference_like,6263,3605,2013,0.9985710274522737,0.5,24.92537519999314,238.7927945815491,17.69141960144043,0.43068745732307434,0.034117549657821655,0.13677512109279633,0.2708646357059479,0.13429981470108032,2640725,527,5280,1463,275951,714953
16,0.2560175719761079,0.013316450880900506,1.213505587270183,0.32610887096774194,reference_like,6263,3605,2013,0.9991337352500091,0.5,24.93000590003794,238.748439285004,11.777945518493652,0.5379481315612793,0.048963144421577454,0.1447780430316925,0.27883341908454895,0.13427852094173431,2638948,589,5914,1468,267176,716273
17,0.2613676892172906,0.013327547078651766,1.2402006926075104,0.3286290322580645,reference_like,6263,3605,2013,0.9994749166456093,0.5,24.951965599961113,238.53832180697123,12.968602180480957,0.5090134739875793,0.04562759771943092,0.1461784839630127,0.28384125232696533,0.1378864198923111,2638849,627,6360,1514,275846,716115
18,0.2592320086494569,0.013386497754723795,1.2292275274953535,0.32963709677419356,reference_like,6263,3605,2013,0.9996817443942284,0.5,24.981029400019906,238.26079801160063,15.5170259475708,0.4600752294063568,0.03811511769890785,0.15001775324344635,0.289008229970932,0.13922512531280518,2642209,573,5808,1473,262573,715328
19,0.2560392498008667,0.01341397549596525,1.2131263479109733,0.3311491935483871,reference_like,6263,3605,2013,0.9998071117333118,0.5,25.01401819998864,237.94657669205273,17.34596061706543,0.4286939203739166,0.0341193713247776,0.14623500406742096,0.2904350161552429,0.14441026747226715,2636749,587,5912,1499,284589,715342
