model,target,module,perturbation,intervention,n_genes_perturbed,genes,mean_delta_model_scale,mean_delta_raw_scale,median_delta_raw_scale,abs_mean_delta_raw_scale,n_donors,n_cells,source_file,target_short,effect_direction
upgrade_fine_08,percent AT8 positive area_Grey matter,antigen_presentation,antigen_presentation,global_mean,10,B2M;CD74;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;TAP1;TAP2,-0.0100888507440686,-0.0174937415868043,-0.0153031349182128,0.0174937415868043,84,11666,results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8.csv,AT8/pTau,down
upgrade_fine_08,percent AT8 positive area_Grey matter,vascular_barrier_myeloid,vascular_barrier_myeloid,global_mean,10,C1QA;C1QB;C1QC;CD163;F13A1;LYVE1;MARCO;MERTK;MRC1;MSR1,-0.0090577416121959,-0.0156838931143283,-0.0145142078399658,0.0156838931143283,84,11666,results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8.csv,AT8/pTau,down
upgrade_fine_08,percent AT8 positive area_Grey matter,lipid_metabolism,lipid_metabolism,global_mean,9,ABCA1;ABCA7;APOE;CLU;LPL;MSR1;PLCG2;SORL1;TREM2,0.0078228926286101,0.0137696405872702,0.013585090637207,0.0137696405872702,84,11666,results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,homeostatic_microglia,global_mean,10,CSF1R;CX3CR1;GPR34;HEXB;OLFML3;P2RY12;P2RY13;SALL1;SELPLG;TMEM119,0.0069767078384757,0.0124028297141194,0.0114076137542724,0.0124028297141194,84,11666,results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,senescence_stress,senescence_stress,global_mean,10,CDKN1A;CDKN2A;DDIT3;FOS;GADD45A;HSP90AA1;HSPA1A;HSPA1B;JUN;SERPINE1,0.0067754536867141,0.0119297727942466,0.0121690034866333,0.0119297727942466,84,11666,results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,inflammatory_signaling,inflammatory_signaling,global_mean,11,CCL2;CCL3;CCL4;CXCL8;IL18;IL1B;IL27RA;IL6;NFKBIA;TNF;TNFRSF11B,-0.0054080202244222,-0.0094440709799528,-0.0085733085870742,0.0094440709799528,84,11666,results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8.csv,AT8/pTau,down
upgrade_fine_08,percent AT8 positive area_Grey matter,complement,complement,global_mean,9,C1QA;C1QB;C1QC;C3;C4A;C4B;CFH;SERPING1;VSIG4,-0.0052756299264729,-0.0090928189456462,-0.0080626904964447,0.0090928189456462,84,11666,results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8.csv,AT8/pTau,down
upgrade_fine_08,percent AT8 positive area_Grey matter,lysosome_phagocytosis,lysosome_phagocytosis,global_mean,10,CD68;CTSB;CTSD;CTSS;FCGR3A;LAMP1;LAMP2;LAPTM5;MERTK;NPC2,0.0040683783590793,0.0069854487664997,0.0069460272789001,0.0069854487664997,84,11666,results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,plaque_response,plaque_response,global_mean,12,APOE;AXL;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,-0.0029416233301162,-0.0049748695455491,-0.002994880080223,0.0049748695455491,84,11666,results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8.csv,AT8/pTau,down
upgrade_fine_08,percent AT8 positive area_Grey matter,disease_associated_microglia,disease_associated_microglia,global_mean,13,APOE;AXL;CD9;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,-0.002428906969726,-0.0040829395875334,-0.0023780912160873,0.0040829395875334,84,11666,results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8.csv,AT8/pTau,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,antigen_presentation,antigen_presentation,global_mean,10,B2M;CD74;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;TAP1;TAP2,-0.0143142715096473,-0.0360607840120792,-0.0347667932510376,0.0360607840120792,84,11666,results\tables\v2_1_upgrade_fine_08_module_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,plaque_response,plaque_response,global_mean,12,APOE;AXL;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,-0.0121218245476484,-0.0306216273456811,-0.0282952785491943,0.0306216273456811,84,11666,results\tables\v2_1_upgrade_fine_08_module_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,disease_associated_microglia,disease_associated_microglia,global_mean,13,APOE;AXL;CD9;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,-0.0116906892508268,-0.0295434091240167,-0.027284026145935,0.0295434091240167,84,11666,results\tables\v2_1_upgrade_fine_08_module_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,vascular_barrier_myeloid,vascular_barrier_myeloid,global_mean,10,C1QA;C1QB;C1QC;CD163;F13A1;LYVE1;MARCO;MERTK;MRC1;MSR1,-0.0114427711814641,-0.0289373956620693,-0.0271153450012207,0.0289373956620693,84,11666,results\tables\v2_1_upgrade_fine_08_module_counterfactual_6e10.csv,A beta/6e10,down
