comparison,best_condition,control_condition,delta,passes
rank_int_module_pca_ridge_vs_raw_log1p_module_pca_ridge_donor_shuffled_control,rank_int_module_pca_ridge,raw_log1p_module_pca_ridge_donor_shuffled_control,0.5145732509871419,True
rank_int_module_pca_ridge_vs_raw_log1p_metadata_only_ridge,rank_int_module_pca_ridge,raw_log1p_metadata_only_ridge,0.20440619621342518,True
