gene,scope,AT8_delta,A_beta_6e10_delta,GFAP_delta,Iba1_delta,NeuN_delta,manifold_safety_status,prediction_safety_status,perturbation_success,failure_reason,mean_latent_shift,median_latent_shift,mean_nearest_real_cell_distance,p95_nearest_real_cell_distance,baseline_nn_p95_threshold,manifold_violation_fraction
ISG15,graph_connected,0.0024953309912234,0.0011872682953253,0.0215510781854391,0.0022621783427894,0.0007122111856006,not_computed,not_separately_audited,True,,2.121123725373764e-05,1.0661517990229186e-05,,,,
GNB1,graph_connected,-0.0094979358837008,0.0111310761421918,0.0219251755625009,0.0181329548358917,-0.0038758623413741,not_computed,not_separately_audited,True,,0.000222128277528,0.0001786055800039,,,,
SKI,graph_connected,-0.0090797450393438,0.0150027191266417,-0.0026818688493222,-0.0038566093426197,0.0080257095396518,not_computed,not_separately_audited,True,,0.0001939043722813,0.0001920770009746,,,,
CAMTA1,graph_connected,-0.006876443978399,-0.0246343966573476,-0.0078914891928434,-0.0302537828683853,-0.0068521699868142,not_computed,not_separately_audited,True,,0.0002091878413921,0.000230674733757,,,,
MIR34AHG,graph_connected,0.0076045389287173,0.0100317941978573,0.0178296398371458,-0.025099080055952,0.0034167163539677,not_computed,not_separately_audited,True,,0.0002700384357012,0.000249935343163,,,,
PIK3CD,graph_connected,-0.0043961494229733,0.0267389379441738,0.0028243896085768,0.02989037707448,-0.0009559995960444,not_computed,not_separately_audited,True,,0.0003054999688174,0.0003194615710526,,,,
CLSTN1,graph_connected,0.0085150515660643,-0.0059221191331744,-0.0446557700634002,-0.0336414091289043,-0.0268634520471096,not_computed,not_separately_audited,True,,0.0002328216651221,0.0001896786998258,,,,
UBE4B,graph_connected,0.020664257928729,0.0434075929224491,-0.03157864138484,0.0131072578951716,0.004719675052911,not_computed,not_separately_audited,True,,0.0002268039243062,0.000202739087399,,,,
KIF1B,graph_connected,-0.0322608053684234,0.0121480375528335,-0.0075676362030208,-0.0052342801354825,0.0070645217783749,not_computed,not_separately_audited,True,,0.0002631665556691,0.000237679152633,,,,
PEX14,graph_connected,-0.0093624843284487,-0.0074578910134732,-0.0239970702677965,-0.0059644961729645,-0.0015052771195769,not_computed,not_separately_audited,True,,0.0001694259262876,0.0001189267204608,,,,
TNFRSF1B,graph_connected,-0.0004912976291961,-0.0254589039832353,0.0091511346399784,0.0021697618067264,-0.007383300922811,not_computed,not_separately_audited,True,,0.000155673638801,0.0001694831589702,,,,
DHRS3,graph_connected,0.0007717763655818,0.0364515036344528,-0.0226734671741724,0.0168003719300031,-0.0022426000796258,not_computed,not_separately_audited,True,,0.0001936627522809,0.0001509568101027,,,,
PRDM2,graph_connected,0.027901442721486,0.0395963490009307,-0.015671033412218,-0.002094461582601,0.0127671491354703,not_computed,not_separately_audited,True,,0.0002432044420856,0.0002616444835439,,,,
KAZN,graph_connected,0.0153200970962643,0.0253614764660596,0.0121313640847802,0.007931500673294,0.0154065964743494,not_computed,not_separately_audited,True,,0.0001746977941365,0.0001618660899112,,,,
DDI2,graph_connected,-0.0003572769346646,0.0100917546078562,0.0144562078639864,-0.0109102604910731,0.0073373359628021,not_computed,not_separately_audited,True,,0.0001602596748853,0.0001240188430529,,,,
PLEKHM2,graph_connected,0.0166381951421499,0.0465534888207912,0.0181124452501535,-0.0055809142068028,-0.0109526412561535,not_computed,not_separately_audited,True,,0.0001692415680736,0.0001294754620175,,,,
SPEN,graph_connected,-0.0049587641842663,-0.009398597292602,-0.0554720945656299,-0.0080830808728933,0.0041389022953808,not_computed,not_separately_audited,True,,0.0002069658658001,0.0002135292888851,,,,
FBXO42,graph_connected,0.0020170137286186,-0.0319763123989105,0.0218161083757877,-0.0139785632491111,-0.0120986672118306,not_computed,not_separately_audited,True,,0.0001966791169252,0.0001938268978847,,,,
RCC2,graph_connected,-0.0075457510538399,-0.0047449260018765,-0.0315327309072017,-0.0017558148829266,-0.0052978522144258,not_computed,not_separately_audited,True,,0.0001535142073407,0.0001268828200409,,,,
ARHGEF10L,graph_connected,-0.0003044357581529,-0.0200477018952369,0.0054480866529047,0.0020604387391358,-0.0136434594169259,not_computed,not_separately_audited,True,,0.0001879519695648,0.0001572453329572,,,,
IGSF21,graph_connected,0.0142838843166828,-0.0042486791498959,0.0147210108116269,-0.0054373941384255,0.0091576119884848,not_computed,not_separately_audited,True,,0.0001770966919139,0.0001541060337331,,,,
UBR4,graph_connected,-0.0118739018216729,-0.0246848035603761,-0.0220092553645372,-0.0248621981590986,0.0014008176513016,not_computed,not_separately_audited,True,,0.0001872388238552,0.0001479434577049,,,,
CAPZB,graph_connected,0.0044642472639679,0.0016206972068175,-0.0110296448692679,0.0099790710955858,0.0083600440993905,not_computed,not_separately_audited,True,,0.0001601983676664,0.0001152967743109,,,,
MICOS10,graph_connected,0.0133639136329293,-0.0039053191430866,0.0102596124634146,-0.0056316023692488,-0.0019143457757309,not_computed,not_separately_audited,True,,0.0001925556134665,0.0001417600142303,,,,
HP1BP3,graph_connected,0.0129513200372457,0.0097603062167763,0.0101349242031574,-0.0227231904864311,0.0047283200547099,not_computed,not_separately_audited,True,,0.0001935630862135,0.0002142700832337,,,,
USP48,graph_connected,0.0152053162455558,0.0289876535534858,-0.0601705200970172,0.014578971080482,0.0335807465016841,not_computed,not_separately_audited,True,,0.0006979865138418,0.0006401542341336,,,,
CDC42,graph_connected,0.041056178510189,0.0558741800487041,0.1946329325437545,0.1031136140227317,0.0943703204393386,not_computed,not_separately_audited,True,,0.0009793905774131,0.0008838131907396,,,,
C1QA,graph_connected,0.0097804060205817,0.0587622597813606,0.0013055426534265,-0.0034793708473443,0.0078976983204483,not_computed,not_separately_audited,True,,0.000262653658865,0.0002527615870349,,,,
C1QC,graph_connected,0.0211331974714994,0.0306257717311382,0.0023863422684371,0.0110879307612776,-0.0033817184157669,not_computed,not_separately_audited,True,,0.000162047726917,0.0001889828272396,,,,
C1QB,graph_connected,0.0137581238523125,-0.0018315931083634,0.0689825266599655,-0.0177523549646139,0.0049209487624466,not_computed,not_separately_audited,True,,0.0002178008871851,0.0002366301778238,,,,
EPHB2,graph_connected,-0.0031565662939101,-0.0110262334346771,0.0019305448513478,-0.0073449974879622,0.0038189699407666,not_computed,not_separately_audited,True,,0.000145734695252,0.0001066885452019,,,,
LUZP1,graph_connected,0.0089463908225297,-0.0161940604448318,-0.0285160839557647,0.0148857841268181,-0.0001245884341187,not_computed,not_separately_audited,True,,0.0002085386659018,0.0001713306410238,,,,
HNRNPR,graph_connected,0.009251301176846,0.0162375252693891,0.0074647893197834,-0.0205524116754531,0.0430192835628986,not_computed,not_separately_audited,True,,0.0002903829154092,0.000237467669649,,,,
RPL11,graph_connected,0.0040891114622354,0.0161890052258968,0.011740461923182,-0.0108981803059577,0.0013591037131845,not_computed,not_separately_audited,True,,0.0001799175952328,0.0001527147251181,,,,
SRSF10,graph_connected,-0.0038917057681828,-0.011314608156681,-0.0100198807194828,-0.009442607872188,0.0034378888085484,not_computed,not_separately_audited,True,,0.0001816495496314,0.0001365320058539,,,,
SRRM1,graph_connected,-0.027542982250452,-0.0463695414364337,0.0015580948675051,-0.0096866255626082,0.0005133969243615,not_computed,not_separately_audited,True,,0.0002212518156738,0.0001767798385117,,,,
MACO1,graph_connected,-0.0042345342226326,4.088610876351595e-05,-0.0252392217516899,-0.0080015966668725,0.0046783993020653,not_computed,not_separately_audited,True,,0.0001902855001389,0.0001390966790495,,,,
MAN1C1,graph_connected,0.0033026149030774,0.0046397391706705,0.0169599596410989,-0.0103314071893692,-0.0041700894944369,not_computed,not_separately_audited,True,,0.0001980758388526,0.0001788413646863,,,,
RPS6KA1,graph_connected,0.0102229490876197,0.0224185399711132,0.0095662055537104,-0.013433969579637,0.0215496905148029,not_computed,not_separately_audited,True,,0.0002139625139534,0.000204897209187,,,,
ARID1A,graph_connected,-0.0085245613008737,-0.0083113210275769,0.0003707087307702,0.0018228037515655,0.0005704874638468,not_computed,not_separately_audited,True,,0.0001964436523849,0.0001984171540243,,,,
WASF2,graph_connected,-0.0228983759880065,-0.0227116998285055,-0.0499499402940273,-0.0166988391429185,-0.0020853092428296,not_computed,not_separately_audited,True,,0.0001816746516851,0.0001490004215156,,,,
STX12,graph_connected,-0.0096511570736765,-0.012430090457201,-0.0025627641007304,-0.0117291864007711,0.0048380689695477,not_computed,not_separately_audited,True,,0.0001873385917861,0.0001629625476198,,,,
EYA3,graph_connected,-0.0027658846229314,-0.0111353676766157,0.0884480401873588,0.0205367393791675,-0.0150118945166468,not_computed,not_separately_audited,True,,0.0002885081921704,0.0002538819098845,,,,
PTAFR,graph_connected,0.0021153346169739,-0.0152319893240928,0.011405031196773,-0.0204440467059612,-0.0015644652303308,not_computed,not_separately_audited,True,,0.0001532126188976,0.0001214466901728,,,,
PHACTR4,graph_connected,-0.0018209754489362,-0.0180217288434505,0.006491910200566,-0.0019874626304954,-0.0010413654381409,not_computed,not_separately_audited,True,,0.0001693380327196,0.0001722326996969,,,,
EPB41,graph_connected,0.0283918976783752,0.0357157960534095,-0.0063455612398684,-0.0182116441428661,-0.0025521370116621,not_computed,not_separately_audited,True,,0.0002591403899714,0.000313564290991,,,,
SRSF4,graph_connected,0.0070802611298859,-0.016810305416584,-0.0217178035527467,-0.0160133093595504,-0.0058064460754394,not_computed,not_separately_audited,True,,0.0002217445144196,0.0001995541388168,,,,
LAPTM5,graph_connected,-0.0004196515365038,0.0425031632184982,0.0413468368351459,0.015063976868987,-0.0272244755178689,not_computed,not_separately_audited,True,,0.0002190920058637,0.000251925055636,,,,
PUM1,graph_connected,-0.0025804557371884,0.0042346380650997,-0.0155612407252192,-0.0105802798643708,-0.003944783937186,not_computed,not_separately_audited,True,,0.0001610235485713,0.0001384636998409,,,,
PTP4A2,graph_connected,-0.0063399095088243,-0.0031357628758996,0.0080436905845999,0.0070059890858829,0.0100332768633961,not_computed,not_separately_audited,True,,0.000201237067813,0.0001648865872994,,,,
KHDRBS1,graph_connected,-0.0222612600773572,-0.044573076069355,0.0462598539888858,0.0052913106046617,0.0069036860950291,not_computed,not_separately_audited,True,,0.0002576153492555,0.0002224584604846,,,,
KPNA6,graph_connected,-0.0228520892560482,-0.0036143399775028,0.0435966029763221,0.0284448601305484,-0.0042517171241343,not_computed,not_separately_audited,True,,0.0002760874049272,0.0002150192158296,,,,
ZBTB8OS,graph_connected,-0.0019086913671344,-0.0032306695356965,-0.0041747470386326,-0.0130457673221826,0.0066582849249243,not_computed,not_separately_audited,True,,0.0001294745452469,9.165750088868664e-05,,,,
RBBP4,graph_connected,0.0003692085738293,-0.0032131108455359,0.0142639996483922,0.0001381327601848,-0.0128206349909305,not_computed,not_separately_audited,True,,0.0001841437915572,0.0001393210550304,,,,
