dataset,input_h5ad,output_h5ad,source_cells,source_genes,microglia_cells,donors,jepa_genes,matched_genes,missing_genes,gene_overlap_fraction,disease_counts,tissue_counts,assay_counts,missing_gene_file
rexach_cross_dementia,data\external\cellxgene\rexach_cross_dementia.h5ad,data\processed\v2_alignment\rexach_cross_dementia_microglia_jepa_aligned.h5ad,432555,29363,21575,40,2957,2837,120,0.9594183293878932,Alzheimer disease: 7213; progressive supranuclear palsy: 5506; Pick disease: 5251; normal: 3605,insular cortex: 16976; Brodmann (1909) area 4: 3511; primary visual cortex: 1088,10x 3' v3: 16976; 10x 3' v2: 4599,data\processed\v2_alignment\rexach_cross_dementia_missing_genes.txt
olah_live_microglia,data\external\cellxgene\olah_live_microglia.h5ad,data\processed\v2_alignment\olah_live_microglia_microglia_jepa_aligned.h5ad,16245,31983,16099,17,2957,2846,111,0.9624619546838011,Alzheimer disease: 14086; temporal lobe epilepsy: 2013,dorsolateral prefrontal cortex: 14086; temporal cortex: 2013,10x 3' v2: 16099,data\processed\v2_alignment\olah_live_microglia_missing_genes.txt
