gene_idx,gene
397,TBC1D8
398,RNF149
399,MAP4K4
400,NCK2
401,GCC2
402,LIMS1
403,RANBP2
404,SH3RF3
405,MERTK
406,ZC3H6
407,IL1B
408,SLC35F5
409,ACTR3
410,DPP10
411,CCDC93
412,MARCO
413,PTPN4
414,CLASP1
415,GYPC
416,BIN1
417,MAP3K2
418,IWS1
419,WDR33
420,UGGT1
421,PTPN18
422,NCKAP5
423,MGAT5
424,TMEM163
425,CCNT2
426,RAB3GAP1
427,R3HDM1
428,UBXN4
429,DARS
430,HNMT
431,SPOPL
432,LRP1B
433,KYNU
434,AC079793.1
435,GTDC1
436,ORC4
437,MBD5
438,EPC2
439,RIF1
440,ARL5A
441,CACNB4
442,STAM2
443,FMNL2
444,PRPF40A
445,GPD2
446,PKP4
447,TANC1
448,BAZ2B
449,MARCH7
450,CD302
451,RBMS1
452,TANK
453,PSMD14
454,SLC4A10
455,GCA
456,CERS6
457,FASTKD1
458,PPIG
459,UBR3
460,TLK1
461,DYNC1I2
462,SLC25A12
463,SP3
464,OLA1
465,GPR155
466,WIPF1
467,ATF2
468,MTX2
469,HNRNPA3
470,NFE2L2
471,AGPS
472,OSBPL6
473,UBE2E3
474,DNAJC10
475,ZNF804A
476,LINC01473
477,ITGAV
478,PMS1
479,HIBCH
480,GLS
481,STAT1
482,NABP1
483,SLC39A10
484,SF3B1
485,PLCL1
486,FTCDNL1
487,SPATS2L
488,CLK1
489,FAM126B
490,CFLAR
491,BMPR2
492,NBEAL1
493,CYP20A1
494,ABI2
495,RAPH1
496,PARD3B
497,NRP2
498,INO80D
499,NDUFS1
500,KLF7
501,CREB1
502,PLEKHM3
503,PIKFYVE
504,MAP2
505,KANSL1L
506,ERBB4
507,IKZF2
508,XRCC5
509,RPL37A
510,DIRC3
511,ARPC2
512,SLC11A1
513,USP37
514,ACSL3
515,CUL3
516,DOCK10
517,RHBDD1
518,MFF
519,AGFG1
520,PID1
521,TRIP12
522,SP110
523,SP140
524,SP140L
525,SP100
526,CAB39
527,PSMD1
528,PTMA
529,DIS3L2
530,GIGYF2
531,DGKD
532,USP40
533,AGAP1
534,LRRFIP1
535,UBE2F
536,HDAC4
537,NDUFA10
538,ANKMY1
539,HDLBP
540,SEPTIN2
541,FARP2
542,SUMF1
543,ITPR1
544,ARL8B
545,SRGAP3
546,THUMPD3-AS1
547,SETD5
548,MTMR14
549,ATG7
550,VGLL4
551,PPARG
552,RAF1
553,RPL32
554,NR2C2
555,CAPN7
556,PLCL2
557,RAB5A
558,KAT2B
559,UBE2E1
560,RPL15
561,THRB
562,TOP2B
