candidate_id,donor_id,leave_one_donor_out_delta,high_influence_flag,interpretation
full_39d_reconstruction_comparator,H21.33.043,-0.0018862743451774633,False,within tolerance
full_39d_reconstruction_comparator,H21.33.044,0.00102712139807426,False,within tolerance
full_39d_reconstruction_comparator,H21.33.045,-0.009493007899604222,False,within tolerance
full_39d_reconstruction_comparator,H21.33.046,-0.00014411406643172198,False,within tolerance
full_39d_reconstruction_comparator,H21.33.047,-0.005194279886506503,False,within tolerance
latent_only,H19.33.004,0.0019299333015603826,False,within tolerance
latent_only,H20.33.001,0.003604925955101368,False,within tolerance
latent_only,H20.33.002,-0.006759878209291359,False,within tolerance
latent_only,H20.33.004,-0.004912768516163513,False,within tolerance
latent_only,H20.33.005,-0.005122667344928056,False,within tolerance
latent_only,H20.33.008,0.005817259610279513,False,within tolerance
latent_only,H20.33.011,0.009150453011060433,False,within tolerance
latent_only,H20.33.012,0.007131226278345559,False,within tolerance
latent_only,H20.33.013,0.005859239376032499,False,within tolerance
latent_only,H20.33.014,-0.0035820099417963602,False,within tolerance
latent_only,H20.33.015,0.003814824783865911,False,within tolerance
latent_only,H20.33.016,-0.000668614198544526,False,within tolerance
latent_only,H20.33.017,-0.00038315179142478506,False,within tolerance
latent_only,H20.33.018,-0.010634610588284688,False,within tolerance
latent_only,H20.33.019,-0.0005426749012858445,False,within tolerance
latent_only,H20.33.020,-0.011495195786219214,False,within tolerance
latent_only,H20.33.024,0.004096089214410403,False,within tolerance
latent_only,H20.33.025,0.009641616270369413,False,within tolerance
latent_only,H20.33.026,-0.009811807179527732,False,within tolerance
latent_only,H20.33.027,0.0027737265931938038,False,within tolerance
latent_only,H20.33.028,-0.005886699081630864,False,within tolerance
latent_only,H20.33.029,-0.002209271601676277,False,within tolerance
latent_only,H20.33.030,-0.0012773208019617455,False,within tolerance
latent_only,H20.33.031,0.002505056092375224,False,within tolerance
latent_only,H20.33.032,0.006992693051361021,False,within tolerance
latent_only,H20.33.033,0.011316608923910398,False,within tolerance
latent_only,H20.33.034,0.006287432986712194,False,within tolerance
latent_only,H20.33.035,-0.001105203762374829,False,within tolerance
latent_only,H20.33.036,0.005300908491518819,False,within tolerance
latent_only,H20.33.037,-0.002070738374691572,False,within tolerance
latent_only,H20.33.038,0.003709875369483695,False,within tolerance
latent_only,H20.33.039,0.0035839360722249025,False,within tolerance
latent_only,H20.33.040,0.0037266672757848007,False,within tolerance
latent_only,H20.33.041,0.003567144165923797,False,within tolerance
latent_only,H20.33.043,-0.0008239393318302812,False,within tolerance
latent_only,H20.33.044,0.002769528616618555,False,within tolerance
latent_only,H20.33.045,-0.00872033326995214,False,within tolerance
latent_only,H20.33.046,-0.002414972453865516,False,within tolerance
latent_only,H21.33.001,0.0028115083823714304,False,within tolerance
latent_only,H21.33.002,0.0004480475704827791,False,within tolerance
latent_only,H21.33.003,-0.006205745301353038,False,within tolerance
latent_only,H21.33.004,-0.0010884118560736122,False,within tolerance
latent_only,H21.33.005,-0.0011555794812782572,False,within tolerance
latent_only,H21.33.006,0.0004228597110310095,False,within tolerance
latent_only,H21.33.007,-0.0020959262341434526,False,within tolerance
latent_only,H21.33.008,5.3437772405462436e-05,False,within tolerance
latent_only,H21.33.009,-0.011956973209501287,False,within tolerance
latent_only,H21.33.010,-0.007947905580098669,False,within tolerance
latent_only,H21.33.011,-0.010693382260338724,False,within tolerance
latent_only,H21.33.012,0.004679607958375798,False,within tolerance
latent_only,H21.33.013,-0.00907716127885183,False,within tolerance
latent_only,H21.33.014,-0.004858194820684725,False,within tolerance
latent_only,H21.33.015,-0.002851562017695708,False,within tolerance
latent_only,H21.33.016,-0.0015879710685332005,False,within tolerance
latent_only,H21.33.017,0.015170351420027262,False,within tolerance
latent_only,H21.33.018,0.009406529582153156,False,within tolerance
latent_only,H21.33.019,0.0035041745172944005,False,within tolerance
latent_only,H21.33.020,-0.012687421133601828,False,within tolerance
latent_only,H21.33.021,0.009733971755025828,False,within tolerance
latent_only,H21.33.022,-0.0032041920500200938,False,within tolerance
latent_only,H21.33.023,-0.0008491271912820508,False,within tolerance
latent_only,H21.33.025,0.0018417757934792722,False,within tolerance
latent_only,H21.33.026,0.0001793770696641439,False,within tolerance
latent_only,H21.33.027,0.001858567699780489,False,within tolerance
latent_only,H21.33.028,0.00661487515958481,False,within tolerance
latent_only,H21.33.029,-0.005231814735885576,False,within tolerance
latent_only,H21.33.030,0.0002297527885676276,False,within tolerance
latent_only,H21.33.031,6.18337255560153e-05,False,within tolerance
latent_only,H21.33.032,-0.0029523134555026753,False,within tolerance
latent_only,H21.33.033,0.000859449274861257,False,within tolerance
latent_only,H21.33.034,-0.00304466894015909,False,within tolerance
latent_only,H21.33.035,-0.009093953185152992,False,within tolerance
latent_only,H21.33.036,0.0004270576876063692,False,within tolerance
latent_only,H21.33.037,-0.0017768800144212782,False,within tolerance
latent_only,H21.33.038,-5.99075951274175e-05,False,within tolerance
latent_only,H21.33.039,0.0038526065730435932,False,within tolerance
latent_only,H21.33.040,0.006421768237121428,False,within tolerance
latent_only,H21.33.041,-0.0016971184594908317,False,within tolerance
latent_only,H21.33.042,0.009121067175033304,False,within tolerance
latent_only,H21.33.043,0.0021986038023789622,False,within tolerance
latent_only,H21.33.044,0.006287432986712249,False,within tolerance
latent_only,H21.33.045,-0.01189400356087189,False,within tolerance
latent_only,H21.33.046,0.0011575056117069105,False,within tolerance
latent_only,H21.33.047,-0.004421605256854477,False,within tolerance
latent_plus_tier1_plus_tier2,H19.33.004,0.0003308005541328707,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.001,-0.000466814995172371,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.002,-0.005349061752235429,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.004,-0.003573317660887476,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.005,0.0013677007682296738,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.008,-0.0028302758070610223,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.011,0.002450778724654712,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.012,0.003601024306284395,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.013,0.010808950086058533,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.014,-0.0050635993451156325,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.015,0.00020066328029888503,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.016,-0.0016338524831031598,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.017,-0.005017421602787453,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.018,-0.004383527139918519,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.019,0.0006876285630326162,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.020,-0.00908106292766886,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.024,0.0024297888417782465,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.025,0.019057974056504723,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.026,-0.008459762394525894,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.027,-0.0007900591914696831,False,within tolerance
