model,target,module,perturbation,intervention,Donor ID,prediction_model_scale_baseline,prediction_raw_scale_baseline,prediction_model_scale_perturbed,prediction_raw_scale_perturbed,delta_model_scale,delta_raw_scale
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.037,0.7726585,1.1655157,0.7754842,1.1716435,0.0028256774,0.0061278343
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.038,0.5258336,0.69186866,0.5263466,0.69273674,0.0005130172,0.00086808205
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.039,0.08946955,0.09359404,0.089998454,0.0941726,0.0005289018,0.00057855994
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.040,0.6879855,0.9897032,0.6891375,0.99199677,0.0011520386,0.0022935867
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.041,0.6170649,0.85347986,0.61745334,0.8542,0.00038844347,0.0007201433
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.043,0.5115727,0.66791224,0.5113623,0.6675614,-0.0002104044,-0.00035083294
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.044,0.6253915,0.86897755,0.6266171,0.87126946,0.0012255907,0.0022919178
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.045,0.43516076,0.54521143,0.43463486,0.544399,-0.0005258918,-0.0008124113
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H20.33.046,0.4958105,0.6418284,0.4945251,0.63971937,-0.001285404,-0.0021090508
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.001,0.610737,0.8417883,0.61583066,0.85119367,0.005093634,0.0094053745
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.002,0.7209324,1.0563498,0.7217755,1.058084,0.0008430481,0.0017342567
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.003,0.3473481,0.4153093,0.34931296,0.41809294,0.001964867,0.0027836263
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.004,0.53846556,0.7133758,0.53642035,0.7098751,-0.0020452142,-0.0035007
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.005,0.45426983,0.57502294,0.45300758,0.5730361,-0.0012622476,-0.0019868612
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.006,0.40658647,0.501683,0.405355,0.49983487,-0.0012314618,-0.0018481314
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.007,0.7537334,1.1249185,0.753826,1.1251152,9.262562e-05,0.00019669533
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.008,0.73209876,1.0794404,0.73308337,1.0814886,0.0009846091,0.002048254
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.009,0.8350994,1.3050432,0.83954716,1.3153183,0.004447758,0.0102751255
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.010,0.6378566,0.8924203,0.6385218,0.8936795,0.00066518784,0.0012592077
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.011,0.4101716,0.5070764,0.4092803,0.5057337,-0.00089129806,-0.0013426542
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.012,0.5788857,0.7840493,0.5781062,0.7826593,-0.00077944994,-0.0013899803
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.013,0.6756084,0.9652282,0.67646515,0.96691275,0.00085675716,0.0016845465
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.014,0.36409205,0.43920672,0.36919773,0.4465736,0.0051056743,0.007366866
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.015,0.2974189,0.34637916,0.29750937,0.346501,9.047985e-05,0.000121831894
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.016,0.38435987,0.4686739,0.38306174,0.4667686,-0.0012981296,-0.0019053221
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.017,0.848367,1.3358293,0.84893155,1.3371484,0.0005645752,0.00131917
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.018,0.45263928,0.57245684,0.45255047,0.57231724,-8.881092e-05,-0.00013959408
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.019,0.42785135,0.5339581,0.42797142,0.53414226,0.00012007356,0.00018417835
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.020,0.38355377,0.46749046,0.38562375,0.47053128,0.00206998,0.0030408204
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.021,0.72925293,1.0735309,0.72973466,1.0745301,0.00048172474,0.0009992123
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.022,0.68768585,0.98910713,0.6872158,0.9881724,-0.00047004223,-0.00093472004
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.023,0.59567684,0.81425846,0.597564,0.8176855,0.0018871427,0.0034270287
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.025,0.524102,0.6889415,0.5236709,0.6882136,-0.0004310608,-0.0007278919
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.026,0.60631496,0.8336618,0.60645133,0.8339119,0.00013637543,0.0002501011
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.027,0.42683676,0.5324025,0.4296096,0.53665745,0.0027728379,0.004254937
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.028,0.65560085,0.9262996,0.65534616,0.925809,-0.00025469065,-0.0004905462
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.029,0.39796096,0.48878592,0.39775568,0.48848033,-0.0002052784,-0.000305593
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.030,0.5569271,0.7453011,0.55610764,0.74387145,-0.00081944466,-0.001429677
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.031,0.80835414,1.2442112,0.81129277,1.2508159,0.0029386282,0.0066046715
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.032,0.50248957,0.65283096,0.50046974,0.64949596,-0.0020198226,-0.003334999
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.033,0.49711952,0.64397895,0.49379906,0.6385293,-0.0033204556,-0.0054496527
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.034,0.7068268,1.0275471,0.70451874,1.0228729,-0.0023080707,-0.0046741962
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.035,0.69396555,1.0016375,0.69451094,1.0027294,0.0005453825,0.0010919571
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.036,0.5974633,0.8175025,0.5977875,0.81809187,0.00032418966,0.0005893707
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.037,0.5715195,0.7709559,0.5726602,0.77297723,0.0011407137,0.0020213127
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.038,0.36630479,0.44239482,0.3661775,0.44221118,-0.00012728572,-0.00018364191
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.039,0.73379105,1.0829623,0.73352706,1.0824125,-0.00026398897,-0.00054979324
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.040,0.5803451,0.78665483,0.5831102,0.791602,0.002765119,0.0049471855
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.041,0.45520425,0.5764953,0.4533168,0.57352257,-0.0018874407,-0.002972722
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.042,0.92547977,1.5230784,0.9246503,1.5209866,-0.00082945824,-0.0020918846
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.043,0.52983296,0.6986486,0.5277348,0.69508827,-0.002098143,-0.0035603046
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.044,0.3936233,0.48234203,0.39545965,0.48506662,0.0018363595,0.002724588
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.045,0.5660536,0.7613026,0.568617,0.76582325,0.0025633574,0.0045206547
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.046,0.62760407,0.8731173,0.62889326,0.8755337,0.0012891889,0.0024163723
upgrade_fine_08,percent AT8 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.047,0.5021813,0.6523216,0.50897694,0.6635884,0.0067956448,0.011266828
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H19.33.004,0.3916856,0.47947252,0.38770777,0.4735991,-0.003977835,-0.005873412
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.001,0.6871547,0.98805094,0.68729866,0.98833704,0.00014394522,0.0002861023
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.002,0.53884625,0.7140281,0.5385956,0.7135986,-0.00025063753,-0.00042951107
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.004,0.5985682,0.8195118,0.59654355,0.81583166,-0.0020246506,-0.00368011
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.005,0.642286,0.9008212,0.63954407,0.8956164,-0.0027419329,-0.005204797
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.008,0.5342879,0.7062329,0.53325105,0.70446455,-0.0010368824,-0.0017683506
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.011,0.49387848,0.6386595,0.49259216,0.63655293,-0.0012863278,-0.0021065474
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.012,0.800436,1.2265115,0.79886913,1.2230256,-0.0015668869,-0.003485918
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.013,0.3766539,0.45739982,0.37426907,0.4539283,-0.0023848414,-0.0034715235
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.014,0.32331824,0.38170502,0.32117286,0.37874392,-0.0021453798,-0.0029610991
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.015,0.50988615,0.66510165,0.51042676,0.66600204,0.0005406141,0.00090038776
