gene_symbol,source_name,mapping_status,target_id,drug_or_compound,interaction_type,approval_or_development_status,evidence_level,source_url_or_id,directionality_known,therapeutic_claim_allowed,notes
APOE,ChEMBL,target_search_hit,CHEMBL4549,,SINGLE PROTEIN,,target_search_metadata,CHEMBL4549,False,False,Apolipoprotein B-100
APOE,ChEMBL,target_search_hit,CHEMBL5813,,SINGLE PROTEIN,,target_search_metadata,CHEMBL5813,False,False,Tumor necrosis factor ligand superfamily member 10
APOE,ChEMBL,target_search_hit,CHEMBL2364185,,NUCLEIC-ACID,,target_search_metadata,CHEMBL2364185,False,False,Apo-B 100 mRNA
APOE,ChEMBL,target_search_hit,CHEMBL4523160,,SINGLE PROTEIN,,target_search_metadata,CHEMBL4523160,False,False,Apolipoprotein C-III
APOE,ChEMBL,target_search_hit,CHEMBL4680021,,SINGLE PROTEIN,,target_search_metadata,CHEMBL4680021,False,False,Apolipoprotein L1
APOE,ChEMBL,target_search_hit,CHEMBL5984,,SINGLE PROTEIN,,target_search_metadata,CHEMBL5984,False,False,Apolipoprotein A-I
APOE,ChEMBL,target_search_hit,CHEMBL2417350,,SINGLE PROTEIN,,target_search_metadata,CHEMBL2417350,False,False,Tumor necrosis factor receptor superfamily member 6
APOE,ChEMBL,target_search_hit,CHEMBL4523207,,SINGLE PROTEIN,,target_search_metadata,CHEMBL4523207,False,False,Tumor necrosis factor receptor superfamily member 6
APOE,ChEMBL,target_search_hit,CHEMBL2062354,,SINGLE PROTEIN,,target_search_metadata,CHEMBL2062354,False,False,Biotin--protein ligase
BSG,ChEMBL,target_search_hit,CHEMBL3580492,,SINGLE PROTEIN,,target_search_metadata,CHEMBL3580492,False,False,Basigin
BSG,ChEMBL,target_search_hit,CHEMBL5169083,,PROTEIN-PROTEIN INTERACTION,,target_search_metadata,CHEMBL5169083,False,False,Protein cereblon/Basigin
CTSB,ChEMBL,target_search_hit,CHEMBL3232689,,SINGLE PROTEIN,,target_search_metadata,CHEMBL3232689,False,False,Cathepsin B
CTSB,ChEMBL,target_search_hit,CHEMBL2323,,SINGLE PROTEIN,,target_search_metadata,CHEMBL2323,False,False,Cathepsin B
CTSB,ChEMBL,target_search_hit,CHEMBL5187,,SINGLE PROTEIN,,target_search_metadata,CHEMBL5187,False,False,Cathepsin B
CTSB,ChEMBL,target_search_hit,CHEMBL4072,,SINGLE PROTEIN,,target_search_metadata,CHEMBL4072,False,False,Cathepsin B
CTSB,ChEMBL,target_search_hit,CHEMBL2602,,SINGLE PROTEIN,,target_search_metadata,CHEMBL2602,False,False,Cathepsin B
CTSB,ChEMBL,target_search_hit,CHEMBL2111396,,SELECTIVITY GROUP,,target_search_metadata,CHEMBL2111396,False,False,Cathepsin (B and K)
CTSD,ChEMBL,target_search_hit,CHEMBL4106,,SINGLE PROTEIN,,target_search_metadata,CHEMBL4106,False,False,Cathepsin D
CTSD,ChEMBL,target_search_hit,CHEMBL2581,,SINGLE PROTEIN,,target_search_metadata,CHEMBL2581,False,False,Cathepsin D
GPX4,ChEMBL,target_search_hit,CHEMBL4295754,,SINGLE PROTEIN,,target_search_metadata,CHEMBL4295754,False,False,Phospholipid hydroperoxide glutathione peroxidase GPX4
GPX4,ChEMBL,target_search_hit,CHEMBL4523148,,SINGLE PROTEIN,,target_search_metadata,CHEMBL4523148,False,False,Phospholipid hydroperoxide glutathione peroxidase GPX4
