candidate_id,target,target_score,comparator_reference,comparator_score,delta_vs_comparator,guard_threshold,guard_pass,failure_reason
blend_stage41b_with_stage27c,6e10/A_beta,0.45637339273058625,stage27c,,,-0.05,True,
blend_stage41b_with_stage27c,AT8,0.6033208464108536,stage27c,0.5284398096588033,0.07488103675205027,-0.05,True,
blend_stage41b_with_stage27c,GFAP,0.32078566366305555,stage27c,0.30229826870507237,0.018487394957983183,-0.05,True,
blend_stage41b_with_stage27c,Iba1,0.015227295737572137,stage27c,0.016077756403766325,-0.0008504606661941874,-0.05,True,
blend_stage41b_with_stage27c,NeuN,0.39580844385947145,stage27c,0.4519590968917688,-0.056150653032297326,-0.05,True,
blend_stage41b_with_stage27c_and_stage39e_pca8,6e10/A_beta,0.4612129189025008,stage27c,,,-0.05,True,
blend_stage41b_with_stage27c_and_stage39e_pca8,AT8,0.5900982079578819,stage27c,0.5284398096588033,0.0616583982990786,-0.05,True,
blend_stage41b_with_stage27c_and_stage39e_pca8,GFAP,0.33435253619520094,stage27c,0.30229826870507237,0.032054267490128574,-0.05,True,
blend_stage41b_with_stage27c_and_stage39e_pca8,Iba1,0.020937531639161688,stage27c,0.016077756403766325,0.004859775235395363,-0.05,True,
blend_stage41b_with_stage27c_and_stage39e_pca8,NeuN,0.40613546623468666,stage27c,0.4519590968917688,-0.045823630657082115,-0.05,True,
blend_stage41b_with_stage39e_pca8,6e10/A_beta,0.4619823833147717,stage27c,,,-0.05,True,
blend_stage41b_with_stage39e_pca8,AT8,0.5916978839728663,stage27c,0.5284398096588033,0.06325807431406294,-0.05,True,
blend_stage41b_with_stage39e_pca8,GFAP,0.3599878505619115,stage27c,0.30229826870507237,0.057689581856839145,-0.05,True,
blend_stage41b_with_stage39e_pca8,Iba1,0.035557355472309406,stage27c,0.016077756403766325,0.01947959906854308,-0.05,True,
blend_stage41b_with_stage39e_pca8,NeuN,0.39121190644932674,stage27c,0.4519590968917688,-0.060747190442442034,-0.05,True,
guard_aware_target_specific_blend,6e10/A_beta,0.45637339273058625,stage27c,,,-0.05,True,
guard_aware_target_specific_blend,AT8,0.5838817454692721,stage27c,0.5284398096588033,0.055441935810468745,-0.05,True,
guard_aware_target_specific_blend,GFAP,0.3600080996253923,stage27c,0.30229826870507237,0.05770983092031995,-0.05,True,
guard_aware_target_specific_blend,Iba1,0.018345651513617497,stage27c,0.016077756403766325,0.0022678951098511722,-0.05,True,
guard_aware_target_specific_blend,NeuN,0.4024501366811785,stage27c,0.4519590968917688,-0.04950896021059026,-0.05,True,
latent_only_control,6e10/A_beta,0.29312544294826365,stage27c,,,-0.05,True,
latent_only_control,AT8,0.4554621848739496,stage27c,0.5284398096588033,-0.0729776247848537,-0.05,True,
latent_only_control,GFAP,0.27237015288042926,stage27c,0.30229826870507237,-0.02992811582464311,-0.05,True,
latent_only_control,Iba1,0.01972258783031285,stage27c,0.016077756403766325,0.003644831426546525,-0.05,True,
latent_only_control,NeuN,0.381168370962843,stage27c,0.4519590968917688,-0.07079072592892577,-0.05,True,
latent_plus_stable_metadata_bagged_ridge,6e10/A_beta,0.40522425837805004,stage27c,,,-0.05,True,
latent_plus_stable_metadata_bagged_ridge,AT8,0.5153589146501975,stage27c,0.5284398096588033,-0.013080895008605875,-0.05,True,
latent_plus_stable_metadata_bagged_ridge,GFAP,0.2365090614559077,stage27c,0.30229826870507237,-0.06578920724916468,-0.05,True,
latent_plus_stable_metadata_bagged_ridge,Iba1,-0.018487394957983194,stage27c,0.016077756403766325,-0.03456515136174952,-0.05,True,
latent_plus_stable_metadata_bagged_ridge,NeuN,0.20791738382099828,stage27c,0.4519590968917688,-0.2440417130707705,-0.05,True,
latent_plus_stable_metadata_pruned,6e10/A_beta,0.4495089602105903,stage27c,,,-0.05,True,
latent_plus_stable_metadata_pruned,AT8,0.5927710843373495,stage27c,0.5284398096588033,0.06433127467854616,-0.05,True,
latent_plus_stable_metadata_pruned,GFAP,0.1459350005062266,stage27c,0.30229826870507237,-0.15636326819884577,-0.05,True,
latent_plus_stable_metadata_pruned,Iba1,-0.14069049306469578,stage27c,0.016077756403766325,-0.1567682494684621,-0.05,False,target below guard threshold
latent_plus_stable_metadata_pruned,NeuN,0.3575579629442138,stage27c,0.4519590968917688,-0.09440113394755495,-0.05,True,
latent_plus_stable_metadata_shared_alpha,6e10/A_beta,0.4695960311835578,stage27c,,,-0.05,True,
latent_plus_stable_metadata_shared_alpha,AT8,0.5917586311633087,stage27c,0.5284398096588033,0.06331882150450541,-0.05,True,
latent_plus_stable_metadata_shared_alpha,GFAP,0.35010630758327427,stage27c,0.30229826870507237,0.0478080388782019,-0.05,True,
latent_plus_stable_metadata_shared_alpha,Iba1,0.07662245621140024,stage27c,0.016077756403766325,0.06054469980763391,-0.05,True,
latent_plus_stable_metadata_shared_alpha,NeuN,0.3273058621038777,stage27c,0.4519590968917688,-0.12465323478789109,-0.05,True,
latent_plus_stable_metadata_strong_ridge,6e10/A_beta,0.41824440619621345,stage27c,,,-0.05,True,
latent_plus_stable_metadata_strong_ridge,AT8,0.5275893489926091,stage27c,0.5284398096588033,-0.0008504606661942082,-0.05,True,
latent_plus_stable_metadata_strong_ridge,GFAP,0.24738280854510478,stage27c,0.30229826870507237,-0.054915460159967594,-0.05,True,
latent_plus_stable_metadata_strong_ridge,Iba1,-0.009881542978637237,stage27c,0.016077756403766325,-0.025959299382403562,-0.05,True,
latent_plus_stable_metadata_strong_ridge,NeuN,0.20568998683810874,stage27c,0.4519590968917688,-0.24626911005366003,-0.05,True,
latent_plus_stable_metadata_target_specific_alpha,6e10/A_beta,0.4495089602105903,stage27c,,,-0.05,True,
latent_plus_stable_metadata_target_specific_alpha,AT8,0.5927710843373495,stage27c,0.5284398096588033,0.06433127467854616,-0.05,True,
latent_plus_stable_metadata_target_specific_alpha,GFAP,0.1459350005062266,stage27c,0.30229826870507237,-0.15636326819884577,-0.05,True,
latent_plus_stable_metadata_target_specific_alpha,Iba1,-0.14069049306469578,stage27c,0.016077756403766325,-0.1567682494684621,-0.05,False,target below guard threshold
latent_plus_stable_metadata_target_specific_alpha,NeuN,0.3575579629442138,stage27c,0.4519590968917688,-0.09440113394755495,-0.05,True,
metadata_only_control,6e10/A_beta,0.2758934899260909,stage27c,,,-0.05,True,
metadata_only_control,AT8,0.37535688974384934,stage27c,0.5284398096588033,-0.15308291991495399,-0.05,True,
metadata_only_control,GFAP,-0.10023286423002938,stage27c,0.30229826870507237,-0.40253113293510173,-0.05,False,target below guard threshold
metadata_only_control,Iba1,-0.13062670851473118,stage27c,0.016077756403766325,-0.1467044649184975,-0.05,False,target below guard threshold
metadata_only_control,NeuN,-0.14822314467955858,stage27c,0.4519590968917688,-0.6001822415713274,-0.05,False,target below guard threshold
stage27c_reference,AT8,0.5284398096588033,stage27c,0.5284398096588033,0.0,-0.05,True,
stage27c_reference,GFAP,0.30229826870507237,stage27c,0.30229826870507237,0.0,-0.05,True,
stage27c_reference,Iba1,0.016077756403766325,stage27c,0.016077756403766325,0.0,-0.05,True,
stage27c_reference,NeuN,0.4519590968917688,stage27c,0.4519590968917688,0.0,-0.05,True,
stage39e_pca8_reference,6e10/A_beta,0.3746733755407961,stage27c,,,-0.05,True,
stage39e_pca8_reference,AT8,0.5155185235317487,stage27c,0.5284398096588033,-0.012921286127054676,-0.05,True,
stage39e_pca8_reference,GFAP,0.3823049963928304,stage27c,0.30229826870507237,0.08000672768775802,-0.05,True,
stage39e_pca8_reference,Iba1,0.056974172849842526,stage27c,0.016077756403766325,0.0408964164460762,-0.05,True,
