candidate_id,target,abeta_score,n_donors,stage27c_abeta_score,delta_vs_stage27c,stage39e_abeta_score,delta_vs_stage39e,stage41b_abeta_score,delta_vs_stage41b,abeta_guard_pass,failure_reason
blend_stage41b_with_stage27c,6e10/A_beta,0.45637339273058625,84,,,0.3746733755407961,0.08170001718979014,0.45637339273058625,0.0,True,
blend_stage41b_with_stage27c_and_stage39e_pca8,6e10/A_beta,0.4612129189025008,84,,,0.3746733755407961,0.08653954336170472,0.45637339273058625,0.004839526171914577,True,
blend_stage41b_with_stage39e_pca8,6e10/A_beta,0.4619823833147717,84,,,0.3746733755407961,0.0873090077739756,0.45637339273058625,0.005608990584185458,True,
guard_aware_target_specific_blend,6e10/A_beta,0.45637339273058625,84,,,0.3746733755407961,0.08170001718979014,0.45637339273058625,0.0,True,
latent_only_control,6e10/A_beta,0.29312544294826365,84,,,0.3746733755407961,-0.08154793259253246,0.45637339273058625,-0.1632479497823226,True,
latent_plus_stable_metadata_bagged_ridge,6e10/A_beta,0.40522425837805004,84,,,0.3746733755407961,0.030550882837253934,0.45637339273058625,-0.05114913435253621,True,
latent_plus_stable_metadata_pruned,6e10/A_beta,0.4495089602105903,84,,,0.3746733755407961,0.07483558466979418,0.45637339273058625,-0.006864432519995967,True,
latent_plus_stable_metadata_shared_alpha,6e10/A_beta,0.4695960311835578,84,,,0.3746733755407961,0.0949226556427617,0.45637339273058625,0.013222638452971558,True,
latent_plus_stable_metadata_strong_ridge,6e10/A_beta,0.41824440619621345,84,,,0.3746733755407961,0.04357103065541734,0.45637339273058625,-0.0381289865343728,True,
latent_plus_stable_metadata_target_specific_alpha,6e10/A_beta,0.4495089602105903,84,,,0.3746733755407961,0.07483558466979418,0.45637339273058625,-0.006864432519995967,True,
metadata_only_control,6e10/A_beta,0.2758934899260909,84,,,0.3746733755407961,-0.09877988561470519,0.45637339273058625,-0.18047990280449533,True,
stage39e_pca8_reference,6e10/A_beta,0.3746733755407961,84,,,0.3746733755407961,0.0,0.45637339273058625,-0.08170001718979014,True,
stage41b_latent_plus_safe_metadata_original,6e10/A_beta,0.45637339273058625,84,,,0.3746733755407961,0.08170001718979014,0.45637339273058625,0.0,True,
stage41b_latent_plus_safe_metadata_plus_mri_original,6e10/A_beta,0.3408727346360231,84,,,0.3746733755407961,-0.03380064090477303,0.45637339273058625,-0.11550065809456317,True,
target_shuffled_control,6e10/A_beta,-0.029502885491546015,84,,,0.3746733755407961,-0.4041762610323421,0.45637339273058625,-0.48587627822213225,False,A_beta score below zero
