model,latent_dim,latent_factor,module,correlation,abs_correlation
fine_bridge_06,0,z_0,lysosome_phagocytosis,-0.43323344501591166,0.43323344501591166
fine_bridge_06,0,z_0,vascular_barrier_myeloid,-0.33169425303982264,0.33169425303982264
fine_bridge_06,0,z_0,synapse_pruning,-0.31325898369905475,0.31325898369905475
fine_bridge_06,1,z_1,lysosome_phagocytosis,0.434358755249458,0.434358755249458
fine_bridge_06,1,z_1,vascular_barrier_myeloid,0.33255212326522443,0.33255212326522443
fine_bridge_06,1,z_1,synapse_pruning,0.314194451398798,0.314194451398798
fine_bridge_06,2,z_2,lysosome_phagocytosis,-0.440420660880625,0.440420660880625
fine_bridge_06,2,z_2,vascular_barrier_myeloid,-0.339293268957197,0.339293268957197
fine_bridge_06,2,z_2,synapse_pruning,-0.3227882385244853,0.3227882385244853
fine_bridge_06,3,z_3,lysosome_phagocytosis,-0.43121686258731634,0.43121686258731634
fine_bridge_06,3,z_3,vascular_barrier_myeloid,-0.33089288344181483,0.33089288344181483
fine_bridge_06,3,z_3,synapse_pruning,-0.305192692629259,0.305192692629259
fine_bridge_06,4,z_4,lysosome_phagocytosis,-0.4323373284549689,0.4323373284549689
fine_bridge_06,4,z_4,vascular_barrier_myeloid,-0.3306119603586477,0.3306119603586477
fine_bridge_06,4,z_4,synapse_pruning,-0.3136557707228659,0.3136557707228659
fine_bridge_06,5,z_5,lysosome_phagocytosis,-0.43272872755375613,0.43272872755375613
fine_bridge_06,5,z_5,vascular_barrier_myeloid,-0.3308430566535642,0.3308430566535642
fine_bridge_06,5,z_5,synapse_pruning,-0.31306759867613254,0.31306759867613254
fine_bridge_06,6,z_6,lysosome_phagocytosis,-0.43267445187131004,0.43267445187131004
fine_bridge_06,6,z_6,vascular_barrier_myeloid,-0.3316179395647336,0.3316179395647336
fine_bridge_06,6,z_6,synapse_pruning,-0.3121544815155588,0.3121544815155588
fine_bridge_06,7,z_7,lysosome_phagocytosis,0.42645051437598325,0.42645051437598325
fine_bridge_06,7,z_7,vascular_barrier_myeloid,0.3269038167802485,0.3269038167802485
fine_bridge_06,7,z_7,synapse_pruning,0.3098805240708987,0.3098805240708987
fine_bridge_06,8,z_8,lysosome_phagocytosis,-0.43301200436717074,0.43301200436717074
