target,target_key,module,module_gene_map_key,gene,projection_method,evidence_level,module_importance_score,module_delta_metric,mean_abs_prediction_delta,kg_known_ad,kg_known_microglia,kg_known_neuroinflammation,kg_known_target_pathology,kg_source,not_experimentally_validated
6e10/Aβ,6e10/A_beta,module_at8_associated_first_pass,at8_associated_first_pass,BSG,exact_predefined_module_membership_projection,model_implied_gene_hypothesis,0.13404880024298882,-0.13404880024298882,0.07679838157903264,not_evaluated,not_evaluated,not_evaluated,not_evaluated,local_knowledge_resource_missing,True
6e10/Aβ,6e10/A_beta,module_at8_associated_first_pass,at8_associated_first_pass,SLC6A12,exact_predefined_module_membership_projection,model_implied_gene_hypothesis,0.13404880024298882,-0.13404880024298882,0.07679838157903264,not_evaluated,not_evaluated,not_evaluated,not_evaluated,local_knowledge_resource_missing,True
6e10/Aβ,6e10/A_beta,module_at8_associated_first_pass,at8_associated_first_pass,IL27RA,exact_predefined_module_membership_projection,model_implied_gene_hypothesis,0.13404880024298882,-0.13404880024298882,0.07679838157903264,not_evaluated,not_evaluated,not_evaluated,not_evaluated,local_knowledge_resource_missing,True
6e10/Aβ,6e10/A_beta,module_at8_associated_first_pass,at8_associated_first_pass,NFKBIA,exact_predefined_module_membership_projection,model_implied_gene_hypothesis,0.13404880024298882,-0.13404880024298882,0.07679838157903264,not_evaluated,not_evaluated,not_evaluated,not_evaluated,local_knowledge_resource_missing,True
6e10/Aβ,6e10/A_beta,module_at8_associated_first_pass,at8_associated_first_pass,CTSD,exact_predefined_module_membership_projection,model_implied_gene_hypothesis,0.13404880024298882,-0.13404880024298882,0.07679838157903264,not_evaluated,not_evaluated,not_evaluated,not_evaluated,local_knowledge_resource_missing,True
6e10/Aβ,6e10/A_beta,module_at8_associated_first_pass,at8_associated_first_pass,DRAM1,exact_predefined_module_membership_projection,model_implied_gene_hypothesis,0.13404880024298882,-0.13404880024298882,0.07679838157903264,not_evaluated,not_evaluated,not_evaluated,not_evaluated,local_knowledge_resource_missing,True
6e10/Aβ,6e10/A_beta,module_at8_associated_first_pass,at8_associated_first_pass,PTPRG,exact_predefined_module_membership_projection,model_implied_gene_hypothesis,0.13404880024298882,-0.13404880024298882,0.07679838157903264,not_evaluated,not_evaluated,not_evaluated,not_evaluated,local_knowledge_resource_missing,True
6e10/Aβ,6e10/A_beta,module_at8_associated_first_pass,at8_associated_first_pass,TNFRSF11B,exact_predefined_module_membership_projection,model_implied_gene_hypothesis,0.13404880024298882,-0.13404880024298882,0.07679838157903264,not_evaluated,not_evaluated,not_evaluated,not_evaluated,local_knowledge_resource_missing,True
6e10/Aβ,6e10/A_beta,module_at8_associated_first_pass,at8_associated_first_pass,CHI3L1,exact_predefined_module_membership_projection,model_implied_gene_hypothesis,0.13404880024298882,-0.13404880024298882,0.07679838157903264,not_evaluated,not_evaluated,not_evaluated,not_evaluated,local_knowledge_resource_missing,True
6e10/Aβ,6e10/A_beta,module_at8_associated_first_pass,at8_associated_first_pass,S100A4,exact_predefined_module_membership_projection,model_implied_gene_hypothesis,0.13404880024298882,-0.13404880024298882,0.07679838157903264,not_evaluated,not_evaluated,not_evaluated,not_evaluated,local_knowledge_resource_missing,True
6e10/Aβ,6e10/A_beta,module_senescence_stress,senescence_stress,HSPA1B,exact_predefined_module_membership_projection,model_implied_gene_hypothesis,0.04527690594310019,-0.04527690594310019,0.05004998625255626,not_evaluated,not_evaluated,not_evaluated,not_evaluated,local_knowledge_resource_missing,True
6e10/Aβ,6e10/A_beta,module_senescence_stress,senescence_stress,GADD45A,exact_predefined_module_membership_projection,model_implied_gene_hypothesis,0.04527690594310019,-0.04527690594310019,0.05004998625255626,not_evaluated,not_evaluated,not_evaluated,not_evaluated,local_knowledge_resource_missing,True
6e10/Aβ,6e10/A_beta,module_senescence_stress,senescence_stress,CDKN1A,exact_predefined_module_membership_projection,model_implied_gene_hypothesis,0.04527690594310019,-0.04527690594310019,0.05004998625255626,not_evaluated,not_evaluated,not_evaluated,not_evaluated,local_knowledge_resource_missing,True
