analysis_label,model_variant,latent_dim,seed,fold_id,6e10/A_beta_spearman,AT8_spearman,GFAP_spearman,Iba1_spearman,NeuN_spearman,mean_target_spearman,n_donors
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,1,0.07352941176470588,0.3911764705882353,0.38823529411764707,-0.023529411764705882,0.2441176470588235,0.21470588235294116,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,2,0.3911764705882353,0.23823529411764705,-0.06176470588235294,0.3735294117647059,0.31764705882352945,0.25176470588235295,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,3,0.3852941176470588,0.6735294117647058,0.45294117647058824,-0.27941176470588236,0.6647058823529411,0.3794117647058822,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,4,0.5323529411764706,0.38235294117647056,0.4558823529411765,0.4088235294117647,0.3941176470588235,0.43470588235294116,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,5,0.32647058823529407,0.4941176470588235,0.22058823529411767,0.1411764705882353,0.7411764705882353,0.3847058823529412,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,1,0.4941176470588235,0.6823529411764706,0.5882352941176471,0.11470588235294117,0.8411764705882352,0.5441176470588236,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,2,-0.0823529411764706,0.3323529411764706,0.12941176470588234,-0.014705882352941175,0.1264705882352941,0.09823529411764706,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,3,-0.2058823529411765,0.5676470588235295,0.3529411764705882,0.1411764705882353,0.5647058823529412,0.28411764705882353,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,4,0.2352941176470588,0.4911764705882353,0.15588235294117647,0.15294117647058825,0.6176470588235293,0.3305882352941176,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,5,0.39999999999999997,0.44117647058823534,0.02647058823529412,0.4264705882352941,0.5,0.3588235294117647,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,211,1,0.07352941176470588,0.8735294117647058,0.5058823529411764,0.15882352941176472,0.5205882352941177,0.4264705882352941,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,211,2,0.2823529411764706,0.36176470588235293,0.10294117647058824,0.14411764705882352,0.6029411764705882,0.2988235294117647,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,211,3,0.4147058823529412,0.6941176470588235,0.3764705882352941,0.12352941176470587,0.4735294117647058,0.41647058823529415,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,211,4,0.06176470588235294,0.2764705882352941,0.7323529411764707,0.6705882352941177,0.13823529411764704,0.37588235294117645,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,211,5,-0.22647058823529412,0.3735294117647059,0.2088235294117647,-0.14705882352941177,0.8176470588235294,0.2052941176470588,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,307,1,0.35000000000000003,0.45,0.4617647058823529,0.10588235294117648,0.3205882352941176,0.3376470588235294,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,307,2,0.2647058823529412,0.2735294117647059,-0.0823529411764706,0.3323529411764706,0.4382352941176471,0.24529411764705883,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,307,3,0.2823529411764706,0.6823529411764706,0.09705882352941177,-0.09411764705882353,0.65,0.3235294117647059,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,307,4,0.5794117647058823,0.4441176470588235,0.4264705882352941,0.22058823529411767,0.2411764705882353,0.3823529411764706,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,307,5,0.2764705882352941,0.5294117647058824,0.38823529411764707,0.22058823529411767,0.7323529411764707,0.42941176470588244,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,401,1,0.3764705882352941,0.34705882352941175,-0.10588235294117648,0.13529411764705881,0.4205882352941176,0.23470588235294115,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,401,2,0.19117647058823528,0.6588235294117648,0.4558823529411765,-0.014705882352941175,0.6823529411764706,0.39470588235294124,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,401,3,0.5058823529411764,0.7088235294117646,0.15,-0.4617647058823529,0.6676470588235294,0.3141176470588235,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,401,4,0.08529411764705883,0.055882352941176466,0.12352941176470587,0.4382352941176471,0.06176470588235294,0.15294117647058825,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,401,5,0.14411764705882352,0.37058823529411766,0.34705882352941175,-0.19705882352941176,0.6441176470588235,0.2617647058823529,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,503,1,0.5205882352941177,0.8117647058823528,0.3411764705882353,0.0823529411764706,0.538235294117647,0.4588235294117647,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,503,2,0.29411764705882354,0.21764705882352942,0.023529411764705882,0.049999999999999996,0.6441176470588235,0.2458823529411765,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,503,3,0.5205882352941177,0.4735294117647058,0.08823529411764705,0.5941176470588235,0.3764705882352941,0.4105882352941176,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,503,4,0.13823529411764704,0.19705882352941176,0.28529411764705886,-0.14411764705882352,0.5147058823529412,0.19823529411764707,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,503,5,0.2911764705882353,0.7176470588235294,-0.18235294117647058,0.1647058823529412,0.4323529411764706,0.2847058823529412,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,607,1,0.2411764705882353,0.5735294117647058,0.1264705882352941,0.01764705882352941,0.5470588235294118,0.30117647058823527,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,607,2,0.4794117647058824,0.5,0.39999999999999997,-0.14411764705882352,0.7000000000000001,0.3870588235294118,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,607,3,0.10882352941176471,0.11176470588235293,0.18529411764705883,0.5823529411764706,0.31176470588235294,0.26,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,607,4,-0.07352941176470588,0.19705882352941176,0.24705882352941175,0.08823529411764705,0.4176470588235294,0.17529411764705882,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,607,5,0.35000000000000003,0.4441176470588235,0.4382352941176471,0.10294117647058824,0.3235294117647059,0.33176470588235296,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,701,1,0.27941176470588236,0.4382352941176471,0.411764705882353,0.07058823529411765,0.75,0.39,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,701,2,0.32647058823529407,0.5617647058823529,0.02941176470588235,0.12352941176470587,0.36470588235294116,0.28117647058823525,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,701,3,0.21176470588235297,0.7941176470588236,0.538235294117647,-0.27941176470588236,0.7558823529411764,0.4041176470588235,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,701,4,0.2088235294117647,0.4058823529411764,0.03529411764705882,0.22941176470588234,0.6088235294117647,0.2976470588235294,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,701,5,0.11176470588235293,0.4823529411764706,0.3764705882352941,0.3941176470588235,0.11176470588235293,0.2952941176470588,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,809,1,0.16764705882352943,0.6382352941176471,0.1323529411764706,-0.011764705882352941,0.788235294117647,0.34294117647058825,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,809,2,0.5823529411764706,0.6058823529411764,0.3235294117647059,0.2676470588235294,0.3764705882352941,0.43117647058823527,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,809,3,0.13823529411764704,0.2529411764705882,0.2823529411764706,0.5235294117647059,0.17058823529411765,0.2735294117647059,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,809,4,0.6558823529411765,0.5323529411764706,0.5735294117647058,0.55,0.6970588235294117,0.601764705882353,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,809,5,0.0823529411764706,-0.0588235294117647,-0.08529411764705883,-0.11176470588235293,0.0588235294117647,-0.022941176470588232,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,911,1,0.19705882352941176,0.5735294117647058,0.07058823529411765,-0.10588235294117648,0.6764705882352942,0.2823529411764706,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,911,2,0.4323529411764706,0.5205882352941177,0.2588235294117647,-0.3058823529411765,0.36764705882352944,0.2547058823529412,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,911,3,0.40294117647058825,0.09117647058823529,0.1647058823529412,0.5764705882352941,0.25588235294117645,0.29823529411764704,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,911,4,0.12352941176470587,0.5205882352941177,0.23823529411764705,-0.049999999999999996,0.488235294117647,0.26411764705882346,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,911,5,0.29705882352941176,0.6029411764705882,0.26176470588235295,-0.18235294117647058,0.38823529411764707,0.27352941176470585,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,1009,1,0.2764705882352941,0.5235294117647059,-0.15882352941176472,0.18823529411764706,0.5852941176470587,0.2829411764705882,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,1009,2,0.08529411764705883,0.3852941176470588,0.14705882352941177,0.0588235294117647,0.28823529411764703,0.19294117647058823,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,1009,3,0.4441176470588235,0.6558823529411765,0.4205882352941176,-0.0823529411764706,0.4911764705882353,0.38588235294117645,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,1009,4,-0.09117647058823529,0.7558823529411764,0.6058823529411764,0.16764705882352943,0.35000000000000003,0.35764705882352943,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,1009,5,0.13529411764705881,-0.044117647058823525,0.3323529411764706,0.19117647058823528,0.8647058823529412,0.2958823529411765,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,107,1,0.4323529411764706,0.6941176470588235,0.5117647058823529,0.3205882352941176,0.7999999999999999,0.5517647058823529,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,107,2,-0.044117647058823525,0.3764705882352941,0.044117647058823525,-0.10294117647058824,0.2029411764705882,0.09529411764705882,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,107,3,-0.11470588235294117,0.3,0.31764705882352945,0.22941176470588234,0.4852941176470588,0.24352941176470586,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,107,4,0.37058823529411766,0.5411764705882353,0.22647058823529412,0.10882352941176471,0.6558823529411765,0.3805882352941176,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,107,5,0.4323529411764706,0.5147058823529412,0.0588235294117647,0.38235294117647056,0.4441176470588235,0.3664705882352941,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,211,1,0.1647058823529412,0.8294117647058824,0.411764705882353,-0.02647058823529412,0.5323529411764706,0.3823529411764707,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,211,2,0.5294117647058824,0.19117647058823528,0.0588235294117647,0.12352941176470587,0.6205882352941177,0.30470588235294116,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,211,3,0.19117647058823528,0.6,0.26176470588235295,0.10882352941176471,0.3911764705882353,0.31058823529411766,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,211,4,0.02941176470588235,0.3411764705882353,0.6,0.65,0.1411764705882353,0.3523529411764706,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,211,5,-0.21764705882352942,0.19705882352941176,0.2588235294117647,-0.12352941176470587,0.8764705882352942,0.19823529411764707,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,307,1,0.07352941176470588,0.3911764705882353,0.38823529411764707,-0.023529411764705882,0.2441176470588235,0.21470588235294116,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,307,2,0.3911764705882353,0.23823529411764705,-0.06176470588235294,0.3735294117647059,0.31764705882352945,0.25176470588235295,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,307,3,0.3852941176470588,0.6735294117647058,0.45294117647058824,-0.27941176470588236,0.6647058823529411,0.3794117647058822,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,307,4,0.5323529411764706,0.38235294117647056,0.4558823529411765,0.4088235294117647,0.3941176470588235,0.43470588235294116,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,307,5,0.32647058823529407,0.4941176470588235,0.22058823529411767,0.1411764705882353,0.7411764705882353,0.3847058823529412,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,401,1,0.2529411764705882,0.19411764705882353,-0.19117647058823528,0.09117647058823529,0.32647058823529407,0.13470588235294118,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,401,2,0.2588235294117647,0.411764705882353,0.4941176470588235,-0.0588235294117647,0.6558823529411765,0.3523529411764706,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,401,3,0.5852941176470587,0.6558823529411765,0.25,-0.4382352941176471,0.6647058823529411,0.3435294117647059,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,401,4,0.35000000000000003,0.07941176470588236,0.08529411764705883,0.18529411764705883,-0.03529411764705882,0.13294117647058826,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,401,5,0.21764705882352942,0.22941176470588234,0.37058823529411766,-0.1647058823529412,0.6382352941176471,0.258235294117647,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,503,1,0.5352941176470588,0.7058823529411764,0.3852941176470588,0.25,0.5588235294117647,0.4870588235294118,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,503,2,0.05294117647058824,0.1764705882352941,0.07058823529411765,0.07647058823529412,0.4764705882352941,0.17058823529411765,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,503,3,0.40294117647058825,0.38823529411764707,0.07647058823529412,0.4558823529411765,0.3029411764705882,0.32529411764705884,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,503,4,0.14411764705882352,-0.0058823529411764705,0.008823529411764706,0.1411764705882353,0.6,0.1776470588235294,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,503,5,0.34411764705882353,0.5235294117647059,-0.17058823529411765,0.06764705882352941,0.45,0.24294117647058822,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,607,1,0.16764705882352943,0.3382352941176471,0.044117647058823525,-0.023529411764705882,0.4205882352941176,0.18941176470588234,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,16,607,2,0.3411764705882353,0.39999999999999997,0.2529411764705882,-0.03823529411764706,0.7705882352941176,0.34529411764705886,16
