run_name,stage,status,checkpoint_path,checkpoint_exists,checkpoint_size_mb,history_csv,history_exists,log_file,log_exists,edge_csv,seed,epochs_requested,checkpoint_epoch_used_for_stage_b,command_used,output_dir,notes
no_graph_ablation_v1,stage_a,completed_cleanly,results\models\ablation_no_graph_stage_a_v1\fast_graph_jepa_epoch_030.pt,True,1.587,results\tables\ablation_no_graph_stage_a_v1_history.csv,True,results\logs\ablation_no_graph_stage_a_v1.log,True,results\tables\ablation_edge_sets\no_graph_identity_edges_v1.csv,7,50,30,conda run -n sea-ad-jepa python scripts/train_graph_jepa_stage_a_fast.py --h5ad data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad --edge-csv results/tables/ablation_edge_sets/no_graph_identity_edges_v1.csv --out-dir results/models/ablation_no_graph_stage_a_v1 --epochs 50 --seed 7 --history-csv results/tables/ablation_no_graph_stage_a_v1_history.csv --log-file results/logs/ablation_no_graph_stage_a_v1.log,results\models\ablation_no_graph_stage_a_v1,Stage A completed; epoch 30 was frozen as the Stage B initialization.
no_graph_ablation_v1,stage_b_adversarial,completed_cleanly,results\models\ablation_no_graph_stage_b_v1\stage_b_adversarial.pt,True,1.72,results\tables\ablation_no_graph_stage_b_v1_history.csv,True,results\logs\ablation_no_graph_stage_b_v1.log,True,results\tables\ablation_edge_sets\no_graph_identity_edges_v1.csv,7,20,30,conda run -n sea-ad-jepa python scripts/train_graph_jepa_stage_b_adversarial.py stage_a_checkpoint=results/models/ablation_no_graph_stage_a_v1/fast_graph_jepa_epoch_030.pt edge_csv=results/tables/ablation_edge_sets/no_graph_identity_edges_v1.csv out_dir=results/models/ablation_no_graph_stage_b_v1 history_csv=results/tables/ablation_no_graph_stage_b_v1_history.csv log_file=results/logs/ablation_no_graph_stage_b_v1.log seed=7,results\models\ablation_no_graph_stage_b_v1,Stage B adversarial calibration completed from the Stage A epoch 30 checkpoint.
