latent_id,latent_factor,margin,weight,policy,top_module_annotations
0,jepa_0,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (+0.60); complement (+0.56); synapse_pruning (+0.49)
1,jepa_1,0.9,0.5,elastic_reactive,lipid_metabolism (+0.33); disease_associated_microglia (+0.23); plaque_response (+0.22)
2,jepa_2,0.985,1.5,strict_homeostatic,antigen_presentation (+0.45); homeostatic_microglia (+0.45); synapse_pruning (+0.31)
3,jepa_3,0.9,0.5,elastic_reactive,lysosome_phagocytosis (-0.34); vascular_barrier_myeloid (-0.32); synapse_pruning (-0.27)
4,jepa_4,0.9,0.5,elastic_reactive,antigen_presentation (+0.47); lysosome_phagocytosis (+0.46); lipid_metabolism (+0.44)
5,jepa_5,0.9,0.5,elastic_reactive,complement (+0.65); synapse_pruning (+0.61); antigen_presentation (+0.54)
6,jepa_6,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.41); lipid_metabolism (-0.26); senescence_stress (+0.19)
7,jepa_7,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (+0.29); complement (+0.23); senescence_stress (+0.20)
8,jepa_8,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.59); synapse_pruning (+0.57); complement (+0.51)
9,jepa_9,0.985,1.5,strict_homeostatic,synapse_pruning (+0.27); chemokine_migration (+0.25); homeostatic_microglia (+0.23)
10,jepa_10,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.37); synapse_pruning (-0.37); complement (-0.33)
11,jepa_11,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.43); vascular_barrier_myeloid (-0.35); lysosome_phagocytosis (-0.21)
12,jepa_12,0.9,0.5,elastic_reactive,synapse_pruning (+0.40); antigen_presentation (+0.36); complement (+0.34)
13,jepa_13,0.985,1.5,strict_homeostatic,vascular_barrier_myeloid (+0.23); homeostatic_microglia (+0.18); lipid_metabolism (+0.15)
14,jepa_14,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (-0.28); interferon_response (-0.24); lysosome_phagocytosis (-0.20)
15,jepa_15,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.32); synapse_pruning (+0.22); complement (+0.21)
16,jepa_16,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.39); chemokine_migration (+0.28); synapse_pruning (+0.27)
17,jepa_17,0.9,0.5,elastic_reactive,synapse_pruning (-0.42); complement (-0.40); antigen_presentation (-0.39)
18,jepa_18,0.985,1.5,strict_homeostatic,antigen_presentation (-0.36); homeostatic_microglia (-0.27); synapse_pruning (-0.22)
19,jepa_19,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.58); synapse_pruning (-0.30); antigen_presentation (-0.24)
20,jepa_20,0.9,0.5,elastic_reactive,complement (-0.52); antigen_presentation (-0.51); synapse_pruning (-0.47)
21,jepa_21,0.9,0.5,elastic_reactive,complement (+0.17); interferon_response (-0.13); lipid_metabolism (-0.13)
22,jepa_22,0.985,1.5,strict_homeostatic,vascular_barrier_myeloid (+0.45); antigen_presentation (+0.34); homeostatic_microglia (+0.32)
23,jepa_23,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (-0.51); lysosome_phagocytosis (-0.41); complement (-0.33)
