condition,mean_pooled_oof_spearman,min_target_spearman,n_targets,delta_vs_stage27c,delta_vs_stage39e_pca8
safe_metadata_only,0.1704849650703655,-0.05313354257365597,5,-0.15621747494178398,-0.18759619772170363
mri_only,0.19411556258525117,-0.023124664622675786,5,-0.13258687742689831,-0.16396560020681797
safe_metadata_plus_mri,0.26301913536498944,0.039951402247646046,5,-0.06368330464716004,-0.0950620274270797
