comparison,left_condition,right_condition,delta_mean_pooled_oof_spearman,graph_gate_pass
best_real_minus_no_graph_identity,laplacian_real_graph_lambda_0_1_ridge,laplacian_no_graph_identity_lambda_0_ridge,0.00030778576490841925,True
best_real_minus_matched_strict_shuffled,laplacian_real_graph_lambda_0_1_ridge,laplacian_strict_shuffled_lambda_0_1_ridge,0.0003442340791738885,True
