representation,target,n_donors,pathology_tertile_silhouette,knn_spearman,knn_r2,knn_mae
expression_pca_128,percent AT8 positive area_Grey matter,84,-0.007514388707778229,0.2186493874658297,-0.010721592182692197,1.015285611152649
expression_pca_128,percent NeuN positive area_Grey matter,84,-0.0038462793049455868,0.329776247848537,0.10248577115072321,1.4595980644226074
expression_pca_128,percent 6e10 positive area_Grey matter,84,-0.005722815316863571,0.0989774222942189,-0.35730082960195686,2.65954852104187
expression_pca_128,percent GFAP positive area_Grey matter,84,-0.016581294600544184,-0.01210893996152678,-0.12774425074560303,3.4605205059051514
expression_pca_128,percent Iba1 positive area_Grey matter,84,-0.011620063010824268,-0.04355573554723094,-0.17148778744290927,1.7882499694824219
jepa_latent_128,percent AT8 positive area_Grey matter,84,-0.06294196998186224,-0.010408018629138403,-0.1420609292040984,1.14841890335083
jepa_latent_128,percent NeuN positive area_Grey matter,84,-0.0422603337783683,0.28156322770071884,0.05569728426118992,1.4577863216400146
jepa_latent_128,percent 6e10 positive area_Grey matter,84,-0.05901240141506941,0.16255948162397488,-0.08340626243005844,1.986891746520996
jepa_latent_128,percent GFAP positive area_Grey matter,84,-0.06491132537216054,-0.06554621848739496,-0.2691000323783921,3.959561347961426
jepa_latent_128,percent Iba1 positive area_Grey matter,84,-0.05666826050762562,-0.034038675711248356,-0.22842637662691834,1.7579658031463623
