representation,target,n_donors,cv_scheme,r2_mean,r2_std,pearson_mean,spearman_mean,mae_mean,rmse_mean,oof_pearson,oof_spearman,status,notes,evaluation_source,mean_oof_spearman,delta_real_minus_no_graph,delta_real_minus_strict_shuffled,delta_strict_shuffled_minus_no_graph,delta_module_mean_minus_real_graph,controlled_conclusion_labels
graph_jepa_strict_shuffled_graph_latent,percent 6e10 positive area_Grey matter,84,5_fold_donor_cv,-0.6013468751281437,0.7759688528221179,0.10556788100716638,0.17401960784313725,2.185688248107802,2.8399839479255755,0.06972533547717384,0.17460767439505923,tested,Identical donor folds and ridge readout across available representations.,fresh_checkpoint_evaluation,0.2470223752151463,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
graph_jepa_strict_shuffled_graph_latent,percent GFAP positive area_Grey matter,84,5_fold_donor_cv,-0.14535951133933092,0.12795093987718636,0.19886693340003858,0.23323529411764707,3.583222856939517,4.628264619349364,0.09827197581874857,0.1362559481623975,tested,Identical donor folds and ridge readout across available representations.,fresh_checkpoint_evaluation,0.2470223752151463,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
graph_jepa_strict_shuffled_graph_latent,percent Iba1 positive area_Grey matter,84,5_fold_donor_cv,-0.1774635640359334,0.16399442641898349,0.044425381112572306,0.07960784313725493,1.6867904597618455,2.22073115212661,0.06233710858625537,0.06939354054874962,tested,Identical donor folds and ridge readout across available representations.,fresh_checkpoint_evaluation,0.2470223752151463,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
graph_jepa_strict_shuffled_graph_latent,percent NeuN positive area_Grey matter,84,5_fold_donor_cv,0.11530759541970381,0.4033677869050221,0.5498005786024035,0.5480392156862746,1.3914226446362443,1.6771185595647466,0.44647853136819704,0.5011643211501469,tested,Identical donor folds and ridge readout across available representations.,fresh_checkpoint_evaluation,0.2470223752151463,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
pca_expression_baseline,percent AT8 positive area_Grey matter,84,5_fold_donor_cv,0.1695402967152996,0.274647779965379,0.5349707590737008,0.4406862745098039,0.9546334737161424,1.2598084919910837,0.5491641011081727,0.3987445580641895,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.28436974789915964,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
pca_expression_baseline,percent 6e10 positive area_Grey matter,84,5_fold_donor_cv,-1.02194652675046,1.331374466486745,0.2618857124866406,0.4304901960784314,2.335475062532636,3.000635045112925,0.2230599905480769,0.3088792143363369,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.28436974789915964,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
pca_expression_baseline,percent GFAP positive area_Grey matter,84,5_fold_donor_cv,-0.3504497241227522,0.2885257047135178,0.1981692682464942,0.1542156862745098,3.839480557108678,4.957233738810588,0.1689213571949833,0.1635516857345347,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.28436974789915964,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
pca_expression_baseline,percent Iba1 positive area_Grey matter,84,5_fold_donor_cv,-0.3010314647276677,0.3786980151095596,0.1122727494750907,0.1481372549019608,1.8139962335411437,2.322764089121025,0.1104402706915525,0.155796294421383,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.28436974789915964,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
pca_expression_baseline,percent NeuN positive area_Grey matter,84,5_fold_donor_cv,0.0208439552639587,0.3988294326029542,0.4180717563406784,0.4104901960784314,1.4572544475691067,1.7773848252937388,0.3792447358449421,0.3948769869393541,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.28436974789915964,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
module_mean_baseline,percent AT8 positive area_Grey matter,84,5_fold_donor_cv,0.4368956832255308,0.2039411498372533,0.691821151658983,0.5704901960784314,0.8192436955647286,1.0261196154239864,0.6999927835250297,0.490148830616584,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.29988458033815935,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
module_mean_baseline,percent 6e10 positive area_Grey matter,84,5_fold_donor_cv,-0.5765820270894358,1.097787287995921,0.3056552449117255,0.372843137254902,2.1447830978417035,2.7782055407891804,0.19404939172632,0.3224865849954439,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.29988458033815935,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
module_mean_baseline,percent GFAP positive area_Grey matter,84,5_fold_donor_cv,-0.0955893234487652,0.0653477941439531,0.2339900479789794,0.2682352941176471,3.445850735356657,4.5012778447633615,0.2197087601182531,0.2237521514629948,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.29988458033815935,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
module_mean_baseline,percent Iba1 positive area_Grey matter,84,5_fold_donor_cv,-0.2921190455398764,0.3572462070814942,0.0589103797257586,0.1285294117647059,1.7440672041867231,2.2945525838997503,0.0134015961217422,0.0620431305052141,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.29988458033815935,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
module_mean_baseline,percent NeuN positive area_Grey matter,84,5_fold_donor_cv,0.0432579094390085,0.2448640323957487,0.3677315503654317,0.4074509803921568,1.4238458063820592,1.771161603860844,0.3632026664247451,0.4009922041105599,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.29988458033815935,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
raw_expression_regularized_baseline,percent AT8 positive area_Grey matter,84,5_fold_donor_cv,0.1920961622433845,0.2570384699493366,0.5393649720134986,0.444607843137255,0.9448105867092144,1.2450324161051562,0.5523592658582728,0.4041308089500861,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.28673078870102253,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
raw_expression_regularized_baseline,percent 6e10 positive area_Grey matter,84,5_fold_donor_cv,-0.9325751984622652,1.2451441564153705,0.2584642950628533,0.4308823529411764,2.2910983208695663,2.954120971298895,0.2181424032916071,0.3125240457628834,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.28673078870102253,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
raw_expression_regularized_baseline,percent GFAP positive area_Grey matter,84,5_fold_donor_cv,-0.3088181647912502,0.2618738434835741,0.2066541897226669,0.1546078431372549,3.790296068717703,4.890410618071352,0.1724114685619126,0.1614660321960109,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.28673078870102253,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
raw_expression_regularized_baseline,percent Iba1 positive area_Grey matter,84,5_fold_donor_cv,-0.2691557281284667,0.3545975318239135,0.1160656355346927,0.1625490196078431,1.7806618847631557,2.296069153727234,0.1103367656871475,0.1476359218386149,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.28673078870102253,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
raw_expression_regularized_baseline,percent NeuN positive area_Grey matter,84,5_fold_donor_cv,0.042457091400914,0.3825129402599691,0.4328111493150245,0.4190196078431373,1.4435562104129798,1.758540836590535,0.3883784307413774,0.4078971347575174,tested,Identical donor folds and ridge readout across available representations.,frozen_existing_baseline_table,0.28673078870102253,0.03783335020755296,0.04216259997975097,-0.004329249772198007,0.01069960514326207,real_graph_outperforms_no_graph|real_graph_outperforms_strict_shuffled|graph_specific_benefit_supported|module_mean_remains_best_absolute_predictor
