condition,condition_mean_pooled_oof_spearman,n_targets
stage27c_module_pca_ridge_reference,0.3267024400121495,5
stage35a_best_reference,0.3267024400121495,5
stage31_weak_residual_real_graph_alpha_0_05_reference,0.32637035537106407,5
laplacian_real_graph_lambda_0_1_ridge,0.3194087273463603,5
laplacian_real_graph_lambda_0_05_ridge,0.31935202996861395,5
laplacian_no_graph_identity_lambda_0_ridge,0.31910094158145186,5
laplacian_real_graph_lambda_0_001_ridge,0.31910094158145186,5
laplacian_strict_shuffled_lambda_0_001_ridge,0.31910094158145186,5
laplacian_strict_shuffled_lambda_0_01_ridge,0.31910094158145186,5
laplacian_strict_shuffled_lambda_0_1_ridge,0.3190644932671864,5
laplacian_strict_shuffled_lambda_0_05_ridge,0.3190401943910094,5
laplacian_real_graph_lambda_0_01_ridge,0.31880935506732816,5
