feature_name,state,module,statistic,pathology_used_to_define_feature
state_programming__Monocyte__n_cells,Monocyte,,n_cells,False
state_programming__Monocyte__fraction_of_microglia_pvm,Monocyte,,fraction_of_microglia_pvm,False
state_programming__Micro-PVM_1__n_cells,Micro-PVM_1,,n_cells,False
state_programming__Micro-PVM_1__fraction_of_microglia_pvm,Micro-PVM_1,,fraction_of_microglia_pvm,False
state_programming__Micro-PVM_1__endolysosomal_autophagy_proteostasis__mean,Micro-PVM_1,endolysosomal_autophagy_proteostasis,mean,False
state_programming__Micro-PVM_1__endolysosomal_autophagy_proteostasis__q75,Micro-PVM_1,endolysosomal_autophagy_proteostasis,q75,False
state_programming__Micro-PVM_1__endolysosomal_autophagy_proteostasis__q90,Micro-PVM_1,endolysosomal_autophagy_proteostasis,q90,False
state_programming__Micro-PVM_1__endolysosomal_autophagy_proteostasis__q95,Micro-PVM_1,endolysosomal_autophagy_proteostasis,q95,False
state_programming__Micro-PVM_1__endolysosomal_autophagy_proteostasis__high_cell_fraction,Micro-PVM_1,endolysosomal_autophagy_proteostasis,high_cell_fraction,False
state_programming__Micro-PVM_1__glial_activation_dam_like__mean,Micro-PVM_1,glial_activation_dam_like,mean,False
state_programming__Micro-PVM_1__glial_activation_dam_like__q75,Micro-PVM_1,glial_activation_dam_like,q75,False
state_programming__Micro-PVM_1__glial_activation_dam_like__q90,Micro-PVM_1,glial_activation_dam_like,q90,False
state_programming__Micro-PVM_1__glial_activation_dam_like__q95,Micro-PVM_1,glial_activation_dam_like,q95,False
state_programming__Micro-PVM_1__glial_activation_dam_like__high_cell_fraction,Micro-PVM_1,glial_activation_dam_like,high_cell_fraction,False
state_programming__Micro-PVM_1__oxidative_stress_antioxidant__mean,Micro-PVM_1,oxidative_stress_antioxidant,mean,False
state_programming__Micro-PVM_1__oxidative_stress_antioxidant__q75,Micro-PVM_1,oxidative_stress_antioxidant,q75,False
state_programming__Micro-PVM_1__oxidative_stress_antioxidant__q90,Micro-PVM_1,oxidative_stress_antioxidant,q90,False
state_programming__Micro-PVM_1__oxidative_stress_antioxidant__q95,Micro-PVM_1,oxidative_stress_antioxidant,q95,False
