analysis_label,donor_id,base_score,score_without_donor,influence_score_without_minus_base,abs_influence
stage61_best,H21.33.020,0.3433239568682607,0.3266601752677702,-0.016663781600490535,0.016663781600490535
stage61_best,H21.33.042,0.3433239568682607,0.3598247322297955,0.01650077536153477,0.01650077536153477
stage61_best,H21.33.045,0.3433239568682607,0.3288315481986368,-0.014492408669623924,0.014492408669623924
stage61_best,H21.33.017,0.3433239568682607,0.35707400194741973,0.013750045079159001,0.013750045079159001
stage61_best,H20.33.032,0.3433239568682607,0.35594936708860764,0.012625410220346911,0.012625410220346911
stage61_best,H20.33.012,0.3433239568682607,0.3546543330087634,0.011330376140502696,0.011330376140502696
stage61_best,H20.33.045,0.3433239568682607,0.332064264849075,-0.011259692019185752,0.011259692019185752
stage61_best,H21.33.011,0.3433239568682607,0.33245374878286277,-0.010870208085397959,0.010870208085397959
stage61_best,H20.33.031,0.3433239568682607,0.353763388510224,0.01043943164196326,0.01043943164196326
stage61_best,H21.33.004,0.3433239568682607,0.3333739045764363,-0.00995005229182444,0.00995005229182444
stage61_best,H20.33.015,0.3433239568682607,0.35187439143135346,0.008550434563092735,0.008550434563092735
stage61_best,H21.33.047,0.3433239568682607,0.3358276533592989,-0.007496303508961799,0.007496303508961799
stage61_best,H20.33.011,0.3433239568682607,0.3506815968841285,0.00735764001586775,0.00735764001586775
stage61_best,H21.33.035,0.3433239568682607,0.3361197663096398,-0.0072041905586209265,0.0072041905586209265
stage61_best,H20.33.046,0.3433239568682607,0.3365968841285297,-0.006727072739730999,0.006727072739730999
stage61_best,H20.33.018,0.3433239568682607,0.3368305744888023,-0.006493382379458401,0.006493382379458401
stage61_best,H20.33.008,0.3433239568682607,0.3497176241480039,0.006393667279743165,0.006393667279743165
stage61_best,H21.33.032,0.3433239568682607,0.33699610516066214,-0.006327851707598586,0.006327851707598586
stage61_best,H21.33.016,0.3433239568682607,0.3375462512171373,-0.005777705651123399,0.005777705651123399
stage61_best,H20.33.040,0.3433239568682607,0.3490993184031158,0.0057753615348550835,0.0057753615348550835
stage61_best,H20.33.004,0.3433239568682607,0.33824732229795523,-0.005076634570305494,0.005076634570305494
stage61_best,H21.33.021,0.3433239568682607,0.34827653359298927,0.004952576724728541,0.004952576724728541
stage61_best,H21.33.030,0.3433239568682607,0.33839824732229795,-0.004925709545962775,0.004925709545962775
stage61_best,H20.33.026,0.3433239568682607,0.34802823758519963,0.004704280716938902,0.004704280716938902
stage61_best,H21.33.029,0.3433239568682607,0.3386757546251217,-0.004648202243138999,0.004648202243138999
stage61_best,H21.33.015,0.3433239568682607,0.3387682570593963,-0.004555699808864444,0.004555699808864444
stage61_best,H21.33.014,0.3433239568682607,0.3388023369036028,-0.004521619964657941,0.004521619964657941
stage61_best,H21.33.001,0.3433239568682607,0.3389143135345667,-0.0044096433336940355,0.0044096433336940355
stage61_best,H20.33.039,0.3433239568682607,0.34739532619279456,0.004071369324533836,0.004071369324533836
stage61_best,H20.33.029,0.3433239568682607,0.34737585199610516,0.004051895127844429,0.004051895127844429
stage61_best,H21.33.036,0.3433239568682607,0.34733203505355403,0.004008078185293307,0.004008078185293307
stage61_best,H20.33.036,0.3433239568682607,0.3393573515092502,-0.0039666053590105,0.0039666053590105
stage61_best,H20.33.041,0.3433239568682607,0.3472395326192795,0.003915575751018752,0.003915575751018752
stage61_best,H20.33.024,0.3433239568682607,0.34707887049659203,0.0037549136283313023,0.0037549136283313023
stage61_best,H21.33.013,0.3433239568682607,0.34692794547224926,0.0036039886039885283,0.0036039886039885283
stage61_best,H21.33.022,0.3433239568682607,0.3467964946445959,0.0034725377763351606,0.0034725377763351606
stage61_best,H20.33.033,0.3433239568682607,0.34670399221032133,0.0033800353420606055,0.0033800353420606055
stage61_best,H20.33.016,0.3433239568682607,0.34008763388510227,-0.0032363229831584572,0.0032363229831584572
stage61_best,H21.33.037,0.3433239568682607,0.34026777020447907,-0.003056186663781657,0.003056186663781657
stage61_best,H21.33.002,0.3433239568682607,0.3403213242453749,-0.0030026326228858036,0.0030026326228858036
stage61_best,H21.33.043,0.3433239568682607,0.34629990262901655,0.002975945760755827,0.002975945760755827
stage61_best,H21.33.028,0.3433239568682607,0.3462901655306719,0.0029662086624111517,0.0029662086624111517
stage61_best,H20.33.020,0.3433239568682607,0.3406231742940604,-0.002700782574200311,0.002700782574200311
stage61_best,H21.33.005,0.3433239568682607,0.3460077896786758,0.0026838328104150655,0.0026838328104150655
stage61_best,H20.33.001,0.3433239568682607,0.3406523855890945,-0.0026715712791662294,0.0026715712791662294
stage61_best,H20.33.005,0.3433239568682607,0.3458763388510224,0.002552381982761698,0.002552381982761698
stage61_best,H21.33.040,0.3433239568682607,0.3407887049659202,-0.0025352519023405518,0.0025352519023405518
