model,target,module,perturbation,intervention,n_genes_perturbed,genes,mean_delta_model_scale,mean_delta_raw_scale,median_delta_raw_scale,abs_mean_delta_raw_scale,n_donors,n_cells
upgrade_fine_08,percent Iba1 positive area_Grey matter,lysosome_phagocytosis,lysosome_phagocytosis,global_mean,10,CD68;CTSB;CTSD;CTSS;FCGR3A;LAMP1;LAMP2;LAPTM5;MERTK;NPC2,0.009372355416417122,0.03804470971226692,0.03266894817352295,0.03804470971226692,84,11666
upgrade_fine_08,percent Iba1 positive area_Grey matter,lipid_metabolism,lipid_metabolism,global_mean,9,ABCA1;ABCA7;APOE;CLU;LPL;MSR1;PLCG2;SORL1;TREM2,0.00843197200447321,0.034907955676317215,0.03094649314880371,0.034907955676317215,84,11666
upgrade_fine_08,percent Iba1 positive area_Grey matter,homeostatic_microglia,homeostatic_microglia,global_mean,10,CSF1R;CX3CR1;GPR34;HEXB;OLFML3;P2RY12;P2RY13;SALL1;SELPLG;TMEM119,0.006841884460300207,0.028040029108524323,0.02402949333190918,0.028040029108524323,84,11666
upgrade_fine_08,percent Iba1 positive area_Grey matter,disease_associated_microglia,disease_associated_microglia,global_mean,13,APOE;AXL;CD9;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,0.006869785953313112,0.02748101018369198,0.025504112243652344,0.02748101018369198,84,11666
upgrade_fine_08,percent Iba1 positive area_Grey matter,plaque_response,plaque_response,global_mean,12,APOE;AXL;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,0.006755339913070202,0.027013497427105904,0.02487468719482422,0.027013497427105904,84,11666
upgrade_fine_08,percent Iba1 positive area_Grey matter,senescence_stress,senescence_stress,global_mean,10,CDKN1A;CDKN2A;DDIT3;FOS;GADD45A;HSP90AA1;HSPA1A;HSPA1B;JUN;SERPINE1,0.005500363651663065,0.02274659089744091,0.02452540397644043,0.02274659089744091,84,11666
upgrade_fine_08,percent Iba1 positive area_Grey matter,complement,complement,global_mean,9,C1QA;C1QB;C1QC;C3;C4A;C4B;CFH;SERPING1;VSIG4,0.004088417626917362,0.01644204370677471,0.015332221984863281,0.01644204370677471,84,11666
upgrade_fine_08,percent Iba1 positive area_Grey matter,vascular_barrier_myeloid,vascular_barrier_myeloid,global_mean,10,C1QA;C1QB;C1QC;CD163;F13A1;LYVE1;MARCO;MERTK;MRC1;MSR1,0.0038659870624542236,0.014837546274065971,0.011013507843017578,0.014837546274065971,84,11666
upgrade_fine_08,percent Iba1 positive area_Grey matter,antigen_presentation,antigen_presentation,global_mean,10,B2M;CD74;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;TAP1;TAP2,0.002967365551739931,0.010848752222955227,0.012276411056518555,0.010848752222955227,84,11666
upgrade_fine_08,percent Iba1 positive area_Grey matter,inflammatory_signaling,inflammatory_signaling,global_mean,11,CCL2;CCL3;CCL4;CXCL8;IL18;IL1B;IL27RA;IL6;NFKBIA;TNF;TNFRSF11B,-7.73725059843855e-06,-0.0004890901618637145,-0.0002624988555908203,0.0004890901618637145,84,11666
