candidate,pathology_axis_class,covariate_audit_status,degree_matched_null_pool_size,degree,n_scored_neighbors,n_same_class_neighbors,same_class_neighbor_fraction,mean_neighbor_discovery_sort_score,mean_neighbor_therapeutic_like_score,mean_neighbor_amyloid_selectivity_score,expected_scored_neighbors,scored_neighbor_z,scored_neighbor_p,expected_same_class_neighbors,same_class_neighbor_z,same_class_neighbor_p,neighbor_discovery_sort_score_z,neighbor_discovery_sort_score_p,coherence_status
APOE,broad_reactive_state_shift,CLEARED,337,46.0,4.0,2.0,0.5,-0.0173642611991453,-0.01394061534665515,-0.0356473573156107,0.982,2.2949373250153333,0.06593406593406594,0.654,1.3685964520169966,0.11588411588411589,0.19062174153032635,0.6235294117647059,no_graph_enrichment
P2RY13,amyloid_lowering_selective,not_audited,224,1.0,1.0,0.0,0.0,-0.0218564071168655,-0.0202159718610345,-0.0268779945326967,0.078,3.4363777888486244,0.07892107892107893,0.004,-0.06334073091440506,1.0,0.34801062585945525,0.4810126582278481,no_graph_enrichment
P2RY12,gliosis_inflating,not_audited,247,13.0,2.0,0.0,0.0,-0.004377212640247249,-0.0031821398879400497,-0.00975971791194735,0.343,2.2806327976134555,0.08491508491508491,0.02,-0.14278569641963598,1.0,1.3821328910014878,0.09649122807017543,no_graph_enrichment
CTSD,amyloid_lowering_selective,not_audited,264,20.0,3.0,0.0,0.0,-0.0415582417083592,-0.037218974127123605,-0.060865751855696,0.515,2.587001464591452,0.07092907092907093,0.023,-0.1533555084613356,1.0,-0.8521218927067696,0.8767123287671232,no_graph_enrichment
TLR2,gliosis_inflating,CLEARED,337,46.0,4.0,0.0,0.0,-0.009419412576426,-0.0069163802836555,-0.023051729072903877,1.006,2.2013433542343512,0.07392607392607392,0.041,-0.19249809753175245,1.0,0.8563052155868132,0.2445759368836292,no_graph_enrichment
ROCK1,amyloid_lowering_selective,not_audited,195,151.0,4.0,0.0,0.0,-0.0257837506331269,-0.022477578546386073,-0.03600239002844305,0.671,2.1926650544056923,0.05194805194805195,0.044,-0.21442732917682727,1.0,0.18464127536614555,0.5208333333333334,no_graph_enrichment
CD4,artifact_or_covariate_sensitive,WARNING: Technical Artifact,154,89.0,6.0,0.0,0.0,-0.030186445576570384,-0.027108532551210287,-0.04332613482984,1.214,2.1596463381773154,0.09090909090909091,0.058,-0.24801119761036608,1.0,-0.12371328083398393,0.6086956521739131,no_graph_enrichment
RHOA,neuron_risk,not_audited,189,142.0,2.0,0.0,0.0,-0.0078632651217048,-0.0051519903936423,-0.0226020411937497,0.702,0.8279695261437915,0.15884115884115885,0.075,-0.28460498941515433,1.0,1.238357618420282,0.08185053380782918,no_graph_enrichment
CD74,gliosis_inflating,not_audited,184,72.0,1.0,0.0,0.0,-0.0623184061842037,-0.0555666312575338,-0.0935033611021933,1.17,-0.0900408488916268,0.4915084915084915,0.08,-0.2947364334747095,1.0,-3.2789221439751417,0.9878048780487805,no_graph_enrichment
PTPRG,mixed_or_unclear,not_audited,224,1.0,0.0,0.0,,,,,0.072,-0.2784037009266494,1.0,0.002,-0.04474375943096462,1.0,,,no_scored_candidate_neighbors
CHI3L1,mixed_or_unclear,not_audited,325,2.0,0.0,0.0,,,,,0.087,-0.3047243172619626,1.0,0.002,-0.044743759430964786,1.0,,,no_scored_candidate_neighbors
UGCG,mixed_or_unclear,not_audited,253,8.0,0.0,0.0,,,,,0.26,-0.4441086315706005,1.0,0.032,-0.1663308314118213,1.0,,,no_scored_candidate_neighbors
F13A1,mixed_or_unclear,not_audited,277,29.0,0.0,0.0,,,,,0.71,-0.575616965049948,1.0,0.07,-0.2553058790500059,1.0,,,no_scored_candidate_neighbors
DRAM1,mixed_or_unclear,not_audited,0,0.0,0.0,0.0,,,,,,,,,,,,,not_in_graph_or_isolated
