candidate,pathology_axis_class,covariate_audit_status,degree_matched_null_pool_size,degree,n_scored_neighbors,n_same_class_neighbors,same_class_neighbor_fraction,mean_neighbor_discovery_sort_score,mean_neighbor_therapeutic_like_score,mean_neighbor_amyloid_selectivity_score,expected_scored_neighbors,scored_neighbor_z,scored_neighbor_p,expected_same_class_neighbors,same_class_neighbor_z,same_class_neighbor_p,neighbor_discovery_sort_score_z,neighbor_discovery_sort_score_p,coherence_status
CSF1R,mixed_or_unclear,not_audited,270,56.0,7.0,1.0,0.14285714285714285,-0.024275743429253732,-0.02147437148128763,-0.03692093604435531,1.021,4.337098130905879,0.002997002997002997,0.062,3.4428050759647935,0.054945054945054944,-0.5349925427671296,0.7240704500978473,candidate_enriched_neighborhood
HSP90AA1,broad_reactive_state_shift,not_audited,169,110.0,8.0,5.0,0.625,-0.0302807459309405,-0.02693571527197482,-0.04270328486745699,0.791,3.70835192937532,0.03396603396603397,0.559,3.0087235539140873,0.053946053946053944,-0.02523171265251549,0.5601659751037344,candidate_enriched_neighborhood
CX3CR1,broad_reactive_state_shift,not_audited,317,31.0,4.0,1.0,0.25,-0.01409443830052615,-0.012016011896775976,-0.0235980889119672,0.676,2.8520031112202076,0.04195804195804196,0.397,0.8477861246573353,0.28771228771228774,0.38850306327410145,0.32492997198879553,candidate_enriched_neighborhood
MAPK1,broad_reactive_state_shift,not_audited,162,289.0,7.0,6.0,0.8571428571428571,-0.03535129814824477,-0.031077273805359556,-0.054987849218637704,0.376,8.35040595084409,0.000999000999000999,0.129,16.914358807027916,0.000999000999000999,-1.0908363316629197,0.8277310924369747,coherent_same_axis_neighborhood
PLCG2,mixed_or_unclear,not_audited,315,49.0,3.0,1.0,0.3333333333333333,-0.040810530603630366,-0.036795774513545036,-0.057525885174982166,1.022,1.4420689230852295,0.1108891108891109,0.05,4.105154043349193,0.04795204795204795,-1.9230858646287958,0.9284332688588007,coherent_same_axis_neighborhood
STAT3,broad_reactive_state_shift,not_audited,174,111.0,9.0,6.0,0.6666666666666666,-0.02222518727325616,-0.018924725474789617,-0.03801229561213391,0.773,4.268263333413052,0.01998001998001998,0.573,3.6301970539007415,0.03896103896103896,0.52997304033933,0.3436123348017621,coherent_same_axis_neighborhood
BCL2,broad_reactive_state_shift,not_audited,193,160.0,6.0,4.0,0.6666666666666666,-0.020899532310431748,-0.017281721423690447,-0.038535193850596644,0.681,3.44228467660744,0.03196803196803197,0.406,3.2348220737867845,0.025974025974025976,0.4495911515058363,0.3908450704225352,coherent_same_axis_neighborhood
HIF1A,broad_reactive_state_shift,not_audited,158,75.0,5.0,4.0,0.8,-0.02632231711992052,-0.02261827329639336,-0.04408855356741686,1.162,1.9190585907712965,0.06693306693306693,0.721,2.370695366125911,0.06793206793206794,-0.40069751357480976,0.7106382978723405,no_graph_enrichment
APP,broad_reactive_state_shift,CLEARED,161,78.0,6.0,4.0,0.6666666666666666,-0.028514217206975334,-0.025093717190126485,-0.04375413921661663,1.229,2.291501684036939,0.08691308691308691,0.818,2.1077215201450445,0.1008991008991009,-0.3725149986969733,0.6706443914081146,no_graph_enrichment
GRB2,broad_reactive_state_shift,not_audited,161,91.0,6.0,4.0,0.6666666666666666,-0.031115661678874418,-0.027359332540072365,-0.047858570139699776,1.176,2.1207318993034,0.09090909090909091,0.774,2.0093930674445892,0.11188811188811189,-0.19854401273155942,0.6440677966101694,no_graph_enrichment
