representation,latent_factor,latent_id,n_donors,r2_explained_by_2d,spearman_umap_x,spearman_umap_y,pearson_umap_x,pearson_umap_y,top_module_annotations
jepa_latent_umap,jepa_34,34,89,0.8668896854966317,0.8421007831120191,-0.3900749063670412,0.8495135445634531,-0.4168014533904015,homeostatic_microglia (-0.39); vascular_barrier_myeloid (+0.30); complement (+0.20)
jepa_latent_umap,jepa_46,46,89,0.8263734967518269,0.5410963568266939,-0.693752128021791,0.5413883473935879,-0.7525848898409778,complement (+0.38); synapse_pruning (+0.31); vascular_barrier_myeloid (+0.19)
jepa_latent_umap,jepa_108,108,89,0.7790094253606905,-0.9302689819543752,0.03212461695607763,-0.882544659113667,0.04861618907965994,homeostatic_microglia (+0.55); synapse_pruning (+0.24); senescence_stress (-0.20)
jepa_latent_umap,jepa_26,26,89,0.7715219237423322,-0.41018045624787197,0.715304732720463,-0.4381910967645562,0.7791759261601647,complement (-0.55); synapse_pruning (-0.48); antigen_presentation (-0.39)
jepa_latent_umap,jepa_62,62,89,0.7442666635323596,0.7744977868573374,-0.47900919305413686,0.7553041279895923,-0.4485681628192156,homeostatic_microglia (-0.33); complement (+0.20); senescence_stress (+0.19)
jepa_latent_umap,jepa_11,11,89,0.7408573068145441,-0.821518556350017,0.3153558052434457,-0.7928289235686558,0.3684447294024311,homeostatic_microglia (+0.43); vascular_barrier_myeloid (-0.35); lysosome_phagocytosis (-0.21)
jepa_latent_umap,jepa_118,118,89,0.7375942376865048,-0.802247191011236,-0.40963568266939054,-0.7675141773802405,-0.3524399066321572,homeostatic_microglia (+0.50); synapse_pruning (+0.30); complement (+0.22)
jepa_latent_umap,jepa_74,74,89,0.7358618619662072,0.8530643513789581,0.004136874361593463,0.8577338475883723,-0.024002544011754917,homeostatic_microglia (-0.55); antigen_presentation (-0.30); synapse_pruning (-0.25)
jepa_latent_umap,jepa_86,86,89,0.7215461416803493,0.8500170241743276,0.06847122914538645,0.8489294465073317,-0.006664350300479921,vascular_barrier_myeloid (+0.35); homeostatic_microglia (-0.34); lysosome_phagocytosis (+0.34)
jepa_latent_umap,jepa_6,6,89,0.7164673130306365,0.8463568266939053,-0.2503064351378958,0.8157310082821889,-0.2603771453572052,homeostatic_microglia (-0.41); lipid_metabolism (-0.26); senescence_stress (+0.19)
jepa_latent_umap,jepa_76,76,89,0.708335049351891,-0.4201395982294859,0.7176200204290092,-0.466402268776093,0.7197467426610393,complement (-0.39); synapse_pruning (-0.37); antigen_presentation (-0.25)
jepa_latent_umap,jepa_125,125,89,0.7050208380781371,0.8554307116104869,-0.14296901600272388,0.82403425113247,-0.1960542693957287,homeostatic_microglia (-0.52); lipid_metabolism (-0.31); antigen_presentation (-0.29)
jepa_latent_umap,jepa_92,92,89,0.7032481406989863,-0.17563840653728294,0.884354783792986,-0.27399334115326496,0.8034949926208499,lipid_metabolism (+0.23); vascular_barrier_myeloid (+0.22); synapse_pruning (-0.20)
jepa_latent_umap,jepa_54,54,89,0.6991592240757489,-0.8805413687436159,-0.22500851208716377,-0.8155632864832658,-0.14963642562959162,homeostatic_microglia (+0.64); synapse_pruning (+0.37); chemokine_migration (+0.27)
jepa_latent_umap,jepa_57,57,89,0.6917649511624961,0.8672795369424583,0.191504937010555,0.8107466557350747,0.15102636224212446,homeostatic_microglia (-0.53); synapse_pruning (-0.32); antigen_presentation (-0.27)
jepa_latent_umap,jepa_40,40,89,0.6796623187508846,0.46195097037793664,0.6970888661899898,0.4722493031634505,0.6550912385304845,lysosome_phagocytosis (+0.31); lipid_metabolism (+0.28); interferon_response (+0.27)
jepa_latent_umap,jepa_89,89,89,0.6731501611365849,0.05163432073544433,0.8655771195097037,0.040127859879890676,0.817032348324636,complement (-0.38); synapse_pruning (-0.35); vascular_barrier_myeloid (-0.25)
