path,anchor_class,last_commit,last_short_commit,last_commit_date,last_commit_subject,github_blob_url,path_move_policy
.gitattributes,tracked_project_file,303c81802d5cfaa86e1478691da1e9e1f1b9af9a,303c818,2026-08-05,Preserve visualization artifact byte hashes,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/303c81802d5cfaa86e1478691da1e9e1f1b9af9a/.gitattributes,preserve_path_unless_reference_audited
.gitignore,tracked_project_file,68ec0fd4d301ed5080763f23e2fcc7ae9fa53fcc,68ec0fd,2026-08-05,Organize v4 JEPA launchpad,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/68ec0fd4d301ed5080763f23e2fcc7ae9fa53fcc/.gitignore,preserve_path_unless_reference_audited
.streamlit/config.toml,tracked_project_file,2ce3d218eb7b87be10606ecc457dd87fb4397b42,2ce3d21,2026-05-31,Checkpoint v1 evaluation and dashboard workflows,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/2ce3d218eb7b87be10606ecc457dd87fb4397b42/.streamlit/config.toml,preserve_path_unless_reference_audited
README.md,tracked_project_file,91f0fb4b40883974f44fa8a9e61b256a0c5c06a6,91f0fb4,2026-06-20,Lock active v3 status scorecard and dataset registry,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/91f0fb4b40883974f44fa8a9e61b256a0c5c06a6/README.md,preserve_path_unless_reference_audited
archive/v1/README.md,archive_placeholder,d8ef42bbcbcd3fa372914c801b0ef1a48bbdd7a7,d8ef42b,2026-08-05,Add phased project file map for v4 migration,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/d8ef42bbcbcd3fa372914c801b0ef1a48bbdd7a7/archive/v1/README.md,preserve_path_unless_reference_audited
archive/v2/README.md,archive_placeholder,d8ef42bbcbcd3fa372914c801b0ef1a48bbdd7a7,d8ef42b,2026-08-05,Add phased project file map for v4 migration,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/d8ef42bbcbcd3fa372914c801b0ef1a48bbdd7a7/archive/v2/README.md,preserve_path_unless_reference_audited
archive/v3/README.md,archive_placeholder,d8ef42bbcbcd3fa372914c801b0ef1a48bbdd7a7,d8ef42b,2026-08-05,Add phased project file map for v4 migration,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/d8ef42bbcbcd3fa372914c801b0ef1a48bbdd7a7/archive/v3/README.md,preserve_path_unless_reference_audited
configs/agent/stage36a_module_counterfactual_agent_v1.yaml,tracked_project_file,0a62cac299e2d43be4a7d2d8aecdadebca334bbf,0a62cac,2026-06-29,Build Stage 36A module counterfactual agent,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/0a62cac299e2d43be4a7d2d8aecdadebca334bbf/configs/agent/stage36a_module_counterfactual_agent_v1.yaml,preserve_path_unless_reference_audited
configs/agent/stage36b_local_knowledge_grounding_schema_v1.yaml,tracked_project_file,48872fea2f62a2178ba62cdf6a42c91fc0b8edec,48872fe,2026-06-30,Build Stage 36B local knowledge grounding schema,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/48872fea2f62a2178ba62cdf6a42c91fc0b8edec/configs/agent/stage36b_local_knowledge_grounding_schema_v1.yaml,preserve_path_unless_reference_audited
configs/agent/stage36c_ranked_hypothesis_package_v1.yaml,tracked_project_file,0ba5235dfd3e3adb35ae240ca551e86e3c99451f,0ba5235,2026-06-30,Build Stage 36C ranked hypothesis package,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/0ba5235dfd3e3adb35ae240ca551e86e3c99451f/configs/agent/stage36c_ranked_hypothesis_package_v1.yaml,preserve_path_unless_reference_audited
configs/agent/stage36d_validation_handoff_v1.yaml,tracked_project_file,673672c5d7a6a63f5ddb5f77815caee0ce7fe41d,673672c,2026-06-30,Build Stage 36D and 36E validation handoff packages,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/673672c5d7a6a63f5ddb5f77815caee0ce7fe41d/configs/agent/stage36d_validation_handoff_v1.yaml,preserve_path_unless_reference_audited
configs/agent/stage36e_frozen_validation_protocol_v1.yaml,tracked_project_file,673672c5d7a6a63f5ddb5f77815caee0ce7fe41d,673672c,2026-06-30,Build Stage 36D and 36E validation handoff packages,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/673672c5d7a6a63f5ddb5f77815caee0ce7fe41d/configs/agent/stage36e_frozen_validation_protocol_v1.yaml,preserve_path_unless_reference_audited
configs/agent/stage37a_validation_dataset_eligibility_audit_v1.yaml,tracked_project_file,ab89bb2f0fe82d94616647cc1af1feaff8c9c2c5,ab89bb2,2026-07-01,Build Stage 37A and 37B validation dataset approval audits,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/ab89bb2f0fe82d94616647cc1af1feaff8c9c2c5/configs/agent/stage37a_validation_dataset_eligibility_audit_v1.yaml,preserve_path_unless_reference_audited
configs/agent/stage37b_manual_dataset_approval_v1.yaml,tracked_project_file,ab89bb2f0fe82d94616647cc1af1feaff8c9c2c5,ab89bb2,2026-07-01,Build Stage 37A and 37B validation dataset approval audits,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/ab89bb2f0fe82d94616647cc1af1feaff8c9c2c5/configs/agent/stage37b_manual_dataset_approval_v1.yaml,preserve_path_unless_reference_audited
configs/agent/stage37b_rev1_dataset_claim_reclassification_v1.yaml,tracked_project_file,1750761da0773a90f1a9ab46052144a786a6409e,1750761,2026-07-01,Build Stage 37B rev1 and 37C-F external support suite,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/1750761da0773a90f1a9ab46052144a786a6409e/configs/agent/stage37b_rev1_dataset_claim_reclassification_v1.yaml,preserve_path_unless_reference_audited
configs/agent/stage37c_f_multidataset_external_support_v1.yaml,tracked_project_file,1750761da0773a90f1a9ab46052144a786a6409e,1750761,2026-07-01,Build Stage 37B rev1 and 37C-F external support suite,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/1750761da0773a90f1a9ab46052144a786a6409e/configs/agent/stage37c_f_multidataset_external_support_v1.yaml,preserve_path_unless_reference_audited
configs/agent/stage38a_external_data_acquisition_preprocessing_v1.yaml,tracked_project_file,0b959c580460d6dcba5836b23ff8a0a827a254c6,0b959c5,2026-07-02,Add Stage 38 external support and Stage 39 rescue audits,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/0b959c580460d6dcba5836b23ff8a0a827a254c6/configs/agent/stage38a_external_data_acquisition_preprocessing_v1.yaml,preserve_path_unless_reference_audited
configs/agent/stage38b_prepared_external_support_analysis_v1.yaml,tracked_project_file,0b959c580460d6dcba5836b23ff8a0a827a254c6,0b959c5,2026-07-02,Add Stage 38 external support and Stage 39 rescue audits,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/0b959c580460d6dcba5836b23ff8a0a827a254c6/configs/agent/stage38b_prepared_external_support_analysis_v1.yaml,preserve_path_unless_reference_audited
configs/agent/stage38c_external_support_prioritization_v1.yaml,tracked_project_file,0b959c580460d6dcba5836b23ff8a0a827a254c6,0b959c5,2026-07-02,Add Stage 38 external support and Stage 39 rescue audits,https://github.com/dushyant-mishra/sea-ad-jepa-agent/blob/0b959c580460d6dcba5836b23ff8a0a827a254c6/configs/agent/stage38c_external_support_prioritization_v1.yaml,preserve_path_unless_reference_audited
