scenario_id,donor_id,regulator,direction,magnitude,scenario_type,n_cells,mean_euclidean_displacement,median_euclidean_displacement,max_euclidean_displacement,mean_cosine_similarity,aggregation_unit,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim,biological_rescue_claim,drug_match_claim
ELF1_down_0p10,H18.30.001,ELF1,down,0.1,perturbation,1,3.627306432463229e-05,3.627306432463229e-05,3.627306432463229e-05,0.9999998807907104,Donor ID,False,False,False,False,False,False
ELF1_down_0p10,H18.30.002,ELF1,down,0.1,perturbation,5,0.00023032505414448677,0.0002593898680061102,0.00032720042509026825,1.0,Donor ID,False,False,False,False,False,False
ELF1_down_0p10,H19.33.004,ELF1,down,0.1,perturbation,11,0.00017253141942836174,0.00017034017946571112,0.0002915054210461676,1.0000000162558123,Donor ID,False,False,False,False,False,False
ELF1_down_0p10,H20.33.001,ELF1,down,0.1,perturbation,7,0.00012477504761981045,0.00016033013525884598,0.00018283554527442902,1.000000034059797,Donor ID,False,False,False,False,False,False
ELF1_down_0p10,H20.33.002,ELF1,down,0.1,perturbation,4,0.0001761380881362129,0.0001764301268849522,0.00019485768279992044,0.9999999850988388,Donor ID,False,False,False,False,False,False
ELF1_down_0p10,H20.33.004,ELF1,down,0.1,perturbation,4,0.00014529024201692664,0.00017949793982552364,0.0001949704746948555,1.0000000596046448,Donor ID,False,False,False,False,False,False
ELF1_down_0p25,H18.30.001,ELF1,down,0.25,perturbation,1,9.067118662642315e-05,9.067118662642315e-05,9.067118662642315e-05,0.9999999403953552,Donor ID,False,False,False,False,False,False
ELF1_down_0p25,H18.30.002,ELF1,down,0.25,perturbation,5,0.0005759508319897577,0.0006487197242677212,0.0008181846351362765,0.9999998331069946,Donor ID,False,False,False,False,False,False
ELF1_down_0p25,H19.33.004,ELF1,down,0.25,perturbation,11,0.00043132143301508307,0.0004257899709045887,0.0007286871550604701,0.9999999349767511,Donor ID,False,False,False,False,False,False
ELF1_down_0p25,H20.33.001,ELF1,down,0.25,perturbation,7,0.00031191081585088147,0.00040082415216602385,0.0004569886077661067,0.9999999829701015,Donor ID,False,False,False,False,False,False
ELF1_down_0p25,H20.33.002,ELF1,down,0.25,perturbation,4,0.0004403000639285892,0.00044104852713644505,0.0004870819393545389,0.9999998956918716,Donor ID,False,False,False,False,False,False
ELF1_down_0p25,H20.33.004,ELF1,down,0.25,perturbation,4,0.0003631938961916603,0.0004487121623242274,0.0004873336583841592,0.9999999552965164,Donor ID,False,False,False,False,False,False
ELF1_up_0p10,H18.30.001,ELF1,up,0.1,perturbation,1,0.00015465353499166667,0.00015465353499166667,0.00015465353499166667,1.0,Donor ID,False,False,False,False,False,False
ELF1_up_0p10,H18.30.002,ELF1,up,0.1,perturbation,5,0.0003500681952573359,0.0003257736098021269,0.0004749169747810811,1.0,Donor ID,False,False,False,False,False,False
ELF1_up_0p10,H19.33.004,ELF1,up,0.1,perturbation,11,0.00024369443814397198,0.0002217751753050834,0.00038157071685418487,1.0000000216744163,Donor ID,False,False,False,False,False,False
ELF1_up_0p10,H20.33.001,ELF1,up,0.1,perturbation,7,0.00022539636328084662,0.00022089893172960728,0.0002676881558727473,1.0000000255448478,Donor ID,False,False,False,False,False,False
ELF1_up_0p10,H20.33.002,ELF1,up,0.1,perturbation,4,0.00021882259170524776,0.00021821365226060152,0.00023627126938663423,0.9999999850988388,Donor ID,False,False,False,False,False,False
ELF1_up_0p10,H20.33.004,ELF1,up,0.1,perturbation,4,0.0002407059000688605,0.0002507427634554915,0.00026558293029665947,1.0000000447034836,Donor ID,False,False,False,False,False,False
ELF1_up_0p25,H18.30.001,ELF1,up,0.25,perturbation,1,0.0003866838524118066,0.0003866838524118066,0.0003866838524118066,0.9999998807907104,Donor ID,False,False,False,False,False,False
ELF1_up_0p25,H18.30.002,ELF1,up,0.25,perturbation,5,0.0008749582921154797,0.0008142719743773341,0.0011872983304783702,0.9999996542930603,Donor ID,False,False,False,False,False,False
ELF1_up_0p25,H19.33.004,ELF1,up,0.25,perturbation,11,0.0006092969825575975,0.0005544727900996804,0.0009540519095025957,0.9999998536976901,Donor ID,False,False,False,False,False,False
ELF1_up_0p25,H20.33.001,ELF1,up,0.25,perturbation,7,0.0005635369369494063,0.0005522276624105871,0.000669243629090488,0.9999999063355582,Donor ID,False,False,False,False,False,False
ELF1_up_0p25,H20.33.002,ELF1,up,0.25,perturbation,4,0.0005471316108014435,0.0005455699865706265,0.000590806535910815,0.9999998509883881,Donor ID,False,False,False,False,False,False
ELF1_up_0p25,H20.33.004,ELF1,up,0.25,perturbation,4,0.0006019202119205147,0.0006270688609220088,0.0006641097133979201,0.9999998360872269,Donor ID,False,False,False,False,False,False
SPI1_down_0p10,H18.30.001,SPI1,down,0.1,perturbation,1,0.00010742477024905384,0.00010742477024905384,0.00010742477024905384,1.0,Donor ID,False,False,False,False,False,False
SPI1_down_0p10,H18.30.002,SPI1,down,0.1,perturbation,5,0.0001739864659612067,0.00013950184802524745,0.0005271864356473088,1.0000000238418578,Donor ID,False,False,False,False,False,False
SPI1_down_0p10,H19.33.004,SPI1,down,0.1,perturbation,11,8.65508453981337e-05,4.902500586467795e-05,0.0004137011419516057,1.0000000108372082,Donor ID,False,False,False,False,False,False
SPI1_down_0p10,H20.33.001,SPI1,down,0.1,perturbation,7,3.0540249619142355e-05,3.4346867323620245e-05,4.447250466910191e-05,1.000000102179391,Donor ID,False,False,False,False,False,False
SPI1_down_0p10,H20.33.002,SPI1,down,0.1,perturbation,4,4.181786243862007e-05,3.8731979657313786e-05,5.173682438908145e-05,1.0000000149011612,Donor ID,False,False,False,False,False,False
SPI1_down_0p10,H20.33.004,SPI1,down,0.1,perturbation,4,4.000962417194387e-05,3.9740230931784026e-05,5.008099105907604e-05,1.0000000894069672,Donor ID,False,False,False,False,False,False
SPI1_down_0p25,H18.30.001,SPI1,down,0.25,perturbation,1,0.0002686446241568774,0.0002686446241568774,0.0002686446241568774,0.9999999403953552,Donor ID,False,False,False,False,False,False
SPI1_down_0p25,H18.30.002,SPI1,down,0.25,perturbation,5,0.00043494421552168203,0.0003487338835839182,0.001317951362580061,0.9999998807907104,Donor ID,False,False,False,False,False,False
SPI1_down_0p25,H19.33.004,SPI1,down,0.25,perturbation,11,0.00021634181691545317,0.00012255957699380815,0.0010339561849832535,0.9999999945813959,Donor ID,False,False,False,False,False,False
SPI1_down_0p25,H20.33.001,SPI1,down,0.25,perturbation,7,7.631403423147276e-05,8.581740985391662e-05,0.00011114750668639317,1.000000034059797,Donor ID,False,False,False,False,False,False
