gene,scope,AT8_delta,A_beta_6e10_delta,GFAP_delta,Iba1_delta,NeuN_delta,manifold_safety_status,prediction_safety_status,perturbation_success,failure_reason,mean_latent_shift,median_latent_shift,mean_nearest_real_cell_distance,p95_nearest_real_cell_distance,baseline_nn_p95_threshold,manifold_violation_fraction,manifold_nn_backend
AP1G1,graph_connected,-0.0146019589155912,-0.0342595502734184,-0.0278012920171022,-0.0054569002240896,0.0321348756551742,within_manifold_threshold,not_separately_audited,True,,0.0002231105027021,0.0001804898492991,0.0027562987525016,0.0095683196559548,0.0174692813307046,0.0,torch
APOE,graph_connected,-0.03531164675951,-0.0536865107715129,-0.0321790724992752,0.0502300150692462,0.0038064906839281,within_manifold_threshold,not_separately_audited,True,,0.0002964661398436,0.0003667405981104,0.0026806739624589,0.0095683196559548,0.0174692813307046,0.0,torch
APP,graph_connected,-0.0348727516829967,-0.0158884022384881,0.0707251355051994,0.1251637637615203,0.0231537986546754,within_manifold_threshold,not_separately_audited,True,,0.0005362450028769,0.0004697481926996,0.0027918121777474,0.0095683196559548,0.0174692813307046,0.0,torch
ARHGEF7,graph_connected,-0.0205776914954185,-0.0167870409786701,-0.0065264515578746,-0.0054832682944834,0.0191716812551021,within_manifold_threshold,not_separately_audited,True,,0.0002173657558159,0.0002674722927622,0.0026380573399364,0.0095683196559548,0.0174692813307046,0.0,torch
BAZ1A,graph_connected,-0.0217014420777559,-0.031102517619729,-0.0343773439526557,-0.0176293402910232,0.0195963885635137,within_manifold_threshold,not_separately_audited,True,,0.0002282088244101,0.0002057215024251,0.0027655276935547,0.0095683196559548,0.0174692813307046,0.0,torch
BTBD9,graph_connected,-0.019668897613883,-0.0189642794430255,-0.0383534170687198,-0.0090844854712486,0.0204117037355899,within_manifold_threshold,not_separately_audited,True,,0.0002289185213157,0.0002585772890597,0.0027669260744005,0.0095683196559548,0.0174692813307046,0.0,torch
C1QA,graph_connected,0.0097942939028143,0.0587448477745056,0.0012866593897342,-0.0034844218753278,0.0078822467476129,within_manifold_threshold,not_separately_audited,True,,0.0002626563073135,0.0002527626929804,0.0028591172304004,0.0095683196559548,0.0174692813307046,0.0,torch
C3,graph_connected,0.0064989142119884,-0.0005289824912324,0.0011073525529354,-0.004137635231018,0.0063359937630593,within_manifold_threshold,not_separately_audited,True,,0.0002225458301836,0.0001739429571898,0.0027809978928416,0.0095683196559548,0.0174692813307046,0.0,torch
CD4,graph_connected,-0.0273303538560867,-0.0464901663362979,0.0293170437216758,-0.0175391696393489,0.0168631523847579,within_manifold_threshold,not_separately_audited,True,,0.0003012306115124,0.0002664695784915,0.0028183488175272,0.0095683196559548,0.0174692813307046,0.0,torch
CD74,graph_connected,-0.0193154159933328,-0.0172155145555734,-0.0462769120931625,0.0083190537989139,0.0145540107041597,within_manifold_threshold,not_separately_audited,True,,0.0001969950244529,0.0001687597250565,0.0028051116969436,0.0095683196559548,0.0174692813307046,0.0,torch
CSF1R,graph_connected,-0.0280022732913494,-0.0262557603418827,-0.0079591618850827,0.0283112693578004,-0.010478114709258,within_manifold_threshold,not_separately_audited,True,,0.0002241955808131,0.0001619249378563,0.0027320706285536,0.0095683196559548,0.0174692813307046,0.0,torch
CTSD,graph_connected,0.001791906543076,-0.0076109156943857,0.0001091555241146,-0.0284431092441082,0.0140829794108867,within_manifold_threshold,not_separately_audited,True,,0.0001767532667145,0.000138290473842,0.0027536051347851,0.0095683196559548,0.0174692813307046,0.0,torch
DLG1,graph_connected,-0.2239031791687011,-0.241812989115715,0.237958550453186,0.4654037058353424,0.0938946083188057,within_manifold_threshold,not_separately_audited,True,,0.0027192970737814,0.0029760131146758,0.003224154934287,0.0095683196559548,0.0174692813307046,0.0,torch
ERC1,graph_connected,-0.0553420297801494,-0.1159166246652603,-0.0466947704553604,-0.1188743859529495,0.0117318294942379,within_manifold_threshold,not_separately_audited,True,,0.0017264001071453,0.0014635443221777,0.0030132683459669,0.0095683196559548,0.0174692813307046,0.0,torch
FIP1L1,graph_connected,-0.0589277222752571,-0.0326613821089267,-0.0501691736280918,0.0199798643589019,0.0380690246820449,within_manifold_threshold,not_separately_audited,True,,0.0004898370825685,0.0004024695372208,0.0027970317751169,0.0095683196559548,0.0174692813307046,0.0,torch
GMDS,graph_connected,-0.0240612886846065,-0.026343248784542,-0.0241691712290048,-0.0268858689814806,0.0163388457149267,within_manifold_threshold,not_separately_audited,True,,0.0002177848946303,0.0002384726249147,0.0027520805597305,0.0095683196559548,0.0174692813307046,0.0,torch
GSK3B,graph_connected,-0.0287362243980169,-0.0145400948822498,-0.0061440467834472,-0.0246934816241264,0.0655689984560012,within_manifold_threshold,not_separately_audited,True,,0.0005678449524566,0.0004795055137947,0.0028029554523527,0.0095683196559548,0.0174692813307046,0.0,torch
HDAC8,graph_connected,-0.2548839151859283,-0.2196552008390426,0.3639029562473297,0.6564647555351257,-0.1452342271804809,within_manifold_threshold,not_separately_audited,True,,0.0022382114548236,0.0026505989953875,0.0030400373507291,0.0095683196559548,0.0174692813307046,0.0,torch
HECTD1,graph_connected,-0.0679412260651588,-0.2017692625522613,0.0936709195375442,0.1450080722570419,0.079425036907196,within_manifold_threshold,not_separately_audited,True,,0.0009167034877464,0.0009990807157009,0.0028049948159605,0.0095683196559548,0.0174692813307046,0.0,torch
KIF1B,graph_connected,-0.0322067402303218,0.0121616283431649,-0.0075148409232497,-0.0053178328089416,0.0070767789147794,within_manifold_threshold,not_separately_audited,True,,0.0002631709212437,0.0002376910560997,0.0027804982382804,0.0095683196559548,0.0174692813307046,0.0,torch
KIF2A,graph_connected,-0.0466213971376419,-0.0854673385620117,-0.0119929611682891,0.014786540530622,0.0275208167731761,within_manifold_threshold,not_separately_audited,True,,0.0004863321373704,0.0003967769735027,0.0027738786302506,0.0095683196559548,0.0174692813307046,0.0,torch
LRCH3,graph_connected,-0.0263303127139806,-0.0246328990906476,-0.0206264834851026,0.0063723847270011,0.0196690279990434,within_manifold_threshold,not_separately_audited,True,,0.0002168220235034,0.0002259186876472,0.0027572456747293,0.0095683196559548,0.0174692813307046,0.0,torch
MDM2,graph_connected,-0.0394836664199829,-0.0037004037294536,0.00916513428092,0.0041645001620054,0.0229751896113157,within_manifold_threshold,not_separately_audited,True,,0.0003023139433935,0.0002762361546047,0.0027208526153117,0.0095683196559548,0.0174692813307046,0.0,torch
MSR1,graph_connected,-0.0218838937580585,-0.0243652090430259,0.0034775438252836,-0.0170394536107778,0.0180640295147895,within_manifold_threshold,not_separately_audited,True,,0.0002407857391517,0.000290262105409,0.0027720557991415,0.0095683196559548,0.0174692813307046,0.0,torch
NCOA2,graph_connected,-0.0140393693000078,-0.0280969459563493,-0.0224659331142902,-0.0194837655872106,0.0222856551408767,within_manifold_threshold,not_separately_audited,True,,0.0001964373805094,0.0001661023561609,0.002715220907703,0.0095683196559548,0.0174692813307046,0.0,torch
NEMF,graph_connected,-0.0378944315016269,-0.025559077039361,-0.0481155216693878,-0.0012833001092076,0.0073470105417072,within_manifold_threshold,not_separately_audited,True,,0.0002422945690341,0.0002672545961104,0.0027602789923548,0.0095683196559548,0.0174692813307046,0.0,torch
PAFAH1B1,graph_connected,-0.3452664911746979,-0.5326934456825256,-0.0663286298513412,0.3943375945091247,0.152041345834732,within_manifold_threshold,not_separately_audited,True,,0.0023475016932934,0.00217464286834,0.0031891611870378,0.0095683196559548,0.0174692813307046,0.0,torch
PI4KA,graph_connected,-0.0141540067270398,-0.0039368467405438,-0.0109177250415086,-0.0076503525488078,0.024337688460946,within_manifold_threshold,not_separately_audited,True,,0.000193942032638,0.0002367823763052,0.0027249311096966,0.0095683196559548,0.0174692813307046,0.0,torch
PLCG2,graph_connected,-0.0183760374784469,-0.0177657958120107,-0.0258869212120771,0.0136870210990309,-0.0073885731399059,within_manifold_threshold,not_separately_audited,True,,0.0001505419349996,9.631858119973911e-05,0.0027102958410978,0.0095683196559548,0.0174692813307046,0.0,torch
PLD3,graph_connected,-0.0160299986600875,-0.0146343596279621,-0.0229963157325983,-0.0015613911673426,0.0137330256402492,within_manifold_threshold,not_separately_audited,True,,0.0001762291212799,0.0001323824253631,0.0027472162619233,0.0095683196559548,0.0174692813307046,0.0,torch
POLK,graph_connected,-0.0935038104653358,-0.0248976685106754,0.3195665776729584,0.3399479389190674,0.126213252544403,within_manifold_threshold,not_separately_audited,True,,0.0018741610692813,0.0020069067832082,0.0029471314046531,0.0095683196559548,0.0174692813307046,0.0,torch
PTPN18,graph_connected,-0.0468951649963855,-0.0335729829967021,-0.0076916245743632,0.0187538545578718,0.0127781117334961,within_manifold_threshold,not_separately_audited,True,,0.0002757973852567,0.0002548205084167,0.0027479196432977,0.0095683196559548,0.0174692813307046,0.0,torch
PTPRE,graph_connected,-0.017884038388729,-0.0016740801511332,-0.0407471098005771,-0.0381510630249977,0.0200399309396743,within_manifold_threshold,not_separately_audited,True,,0.0001726518094073,0.0001181422630907,0.0027823694981634,0.0095683196559548,0.0174692813307046,0.0,torch
RAD51B,graph_connected,-0.0224965065717697,-0.0110586062073707,-0.0076893796212971,-0.0225305613130331,0.016467485576868,within_manifold_threshold,not_separately_audited,True,,0.0001613596250535,0.0001365114148939,0.0027604743372648,0.0095683196559548,0.0174692813307046,0.0,torch
RC3H1,graph_connected,-0.6188905835151672,-1.034256100654602,-0.3984972536563873,1.0465571880340576,0.3558043539524078,within_manifold_threshold,not_separately_audited,True,,0.0037312339991331,0.0043086549267172,0.0036556618288159,0.0103349657729268,0.0174692813307046,0.0,torch
SARAF,graph_connected,-0.0216336175799369,-0.0188328996300697,-0.0275387112051248,-0.0070427292957901,0.0148762352764606,within_manifold_threshold,not_separately_audited,True,,0.0002204455522587,0.0002156360133085,0.0027403533458709,0.0095683196559548,0.0174692813307046,0.0,torch
SLAIN2,graph_connected,-0.0502732619643211,-0.0897796303033828,-0.0208575185388326,0.0081725344061851,0.0663270652294159,within_manifold_threshold,not_separately_audited,True,,0.0004982604295946,0.0003626239486038,0.0026787698734551,0.0095683196559548,0.0174692813307046,0.0,torch
SLC38A9,graph_connected,-0.034139085561037,-0.0268703363835811,-0.0367753021419048,-0.0065704998560249,0.0160577502101659,within_manifold_threshold,not_separately_audited,True,,0.0001916103065013,0.0001784468622645,0.0027493464294821,0.0095683196559548,0.0174692813307046,0.0,torch
SMARCA4,graph_connected,-0.025424400344491,-0.0299532916396856,-0.0033319934736937,0.0081190913915634,0.0303635336458683,within_manifold_threshold,not_separately_audited,True,,0.0002503738505765,0.0001837362506194,0.0027945202309638,0.0095683196559548,0.0174692813307046,0.0,torch
SMG1,graph_connected,-0.067739762365818,0.0568799078464508,0.1598788052797317,0.4215313196182251,0.1760942935943603,within_manifold_threshold,not_separately_audited,True,,0.0023530244361609,0.0025816180277615,0.0030771584715694,0.0095683196559548,0.0174692813307046,0.0,torch
STARD13,graph_connected,-0.0200088582932949,-0.0142967142164707,-0.043094377964735,-0.0051824897527694,0.0170442815870046,within_manifold_threshold,not_separately_audited,True,,0.0002063228748738,0.0002156778937205,0.0028218897059559,0.0095683196559548,0.0174692813307046,0.0,torch
TLR2,graph_connected,-0.0261498279869556,-0.018673438578844,-0.0065728412009775,0.0078653646633028,0.0278831925243139,within_manifold_threshold,not_separately_audited,True,,0.0002924346772488,0.0002396635100012,0.0027959132567048,0.0095683196559548,0.0174692813307046,0.0,torch
TREM2,graph_connected,0.0069036823697388,0.0040568285621702,0.0011136826360598,-0.0126771889626979,-0.0007642694981768,within_manifold_threshold,not_separately_audited,True,,0.0001367943332297,8.704748324817047e-05,0.0027248433325439,0.0095683196559548,0.0174692813307046,0.0,torch
TYROBP,graph_connected,-0.0084082363173365,-0.0030753719620406,-0.0168500915169715,0.0201650168746709,0.0004248351324349,within_manifold_threshold,not_separately_audited,True,,0.0002592747041489,0.000220654575969,0.0027522700838744,0.0095683196559548,0.0174692813307046,0.0,torch
UGCG,graph_connected,-0.0335061959922313,-0.0370835214853286,0.0032738111913204,0.0028730402700603,0.0393861532211303,within_manifold_threshold,not_separately_audited,True,,0.0002703874488361,0.0002998457930516,0.0027797736693173,0.0095683196559548,0.0174692813307046,0.0,torch
