regulator,mean_abs_delta,bootstrap_ci_lower_2p5,bootstrap_ci_upper_97p5,n_dataset_rows
NRF1,0.05401681829198832,0.049191047428138374,0.05884258915583826,2
SPI1,0.05383125643194202,0.05108609163890457,0.056576421224979474,2
ELF1,0.05376125835593126,0.04856989931912258,0.058952617392739944,2
NFKB1,0.048724379063109835,0.046738505774817043,0.05071025235140263,2
BACH1,0.048001833889678665,0.04617897853889318,0.04982468924046415,2
CEBPB,0.04712495962319256,0.046143319728428264,0.04810659951795685,2
NFE2L2,0.044711990602536514,0.04287626593704204,0.04654771526803098,2
STAT3,0.04330072449207179,0.042330476088101705,0.04427097289604188,2
RELA,0.04210909035790306,0.04093813870330347,0.043280042012502656,2
PPARG,0.04195968549744335,0.03409472484625031,0.049824646148636374,2
RUNX1,0.03821744637980383,0.0367577609954831,0.03967713176412456,2
CEBPA,0.03159412952048192,0.030963678832006538,0.0322245802089573,2
IRF8,0.03130521601302213,0.028054324539447114,0.03455610748659714,2
STAT1,0.030933464838730045,0.029297550012537848,0.032569379664922245,2
SREBF1,0.030454115746833512,0.028360932649714718,0.032547298843952306,2
MITF,0.029951800548120397,0.027254842151808366,0.03264875894443243,2
MAFB,0.02801213460416991,0.025823827919353875,0.030200441288985948,2
MAF,0.023545444157025263,0.02057088796429325,0.026520000349757277,2
JUN,0.017028148083971552,0.016570663083485527,0.017485633084457573,2
ETS1,0.013896844161309773,0.013803109102940213,0.013990579219679333,2
FOS,0.006186155728375254,0.0059668239184229276,0.00640548753832758,2
