gene,official_level2_status,strict_gliosis_noninflating_stability,epsilon_0_001_gliosis_stability,epsilon_0_005_gliosis_stability,epsilon_0_01_gliosis_stability,stability_threshold_0_70_status,stability_threshold_0_75_status,stability_threshold_0_80_status,sensitivity_interpretation
UGCG,not_passed,0.0,0.0,0.0,0.052,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
SLC38A9,not_passed,0.0,0.0,0.005,0.352,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
MDM2,not_passed,0.0,0.0,0.0,0.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
SMARCA4,not_passed,0.0,0.0,0.0,0.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
AP1G1,not_passed,0.0,0.0,0.0,0.571,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
TLR2,not_passed,0.0,0.0,0.0,0.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
NEMF,not_passed,0.0,0.0,0.38,0.916,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;threshold_dependent
BAZ1A,not_passed,0.0,0.0,0.0,0.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
GMDS,not_passed,0.0,0.034,1.0,1.0,sensitivity_pass,sensitivity_pass,sensitivity_pass,sensitivity_only_not_evidence_promotion;threshold_dependent
BTBD9,not_passed,0.0,0.093,0.906,1.0,sensitivity_pass,sensitivity_pass,sensitivity_pass,sensitivity_only_not_evidence_promotion;threshold_dependent
ARHGEF7,not_passed,0.0,0.0,0.39,1.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;threshold_dependent
LRCH3,not_passed,0.0,0.0,0.0,0.336,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
KIF1B,not_passed,0.0,0.013,0.997,1.0,sensitivity_pass,sensitivity_pass,sensitivity_pass,sensitivity_only_not_evidence_promotion;threshold_dependent
RAD51B,not_passed,0.0,0.011,1.0,1.0,sensitivity_pass,sensitivity_pass,sensitivity_pass,sensitivity_only_not_evidence_promotion;threshold_dependent
PI4KA,not_passed,0.052,0.923,1.0,1.0,sensitivity_pass,sensitivity_pass,sensitivity_pass,sensitivity_only_not_evidence_promotion;not_threshold_rescued
PTPRE,not_passed,0.0,0.0,0.001,0.155,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
STARD13,not_passed,0.0,0.0,0.0,0.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
SARAF,not_passed,0.0,0.0,0.13,0.995,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;threshold_dependent
MSR1,not_passed,0.0,0.0,0.0,0.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
NCOA2,not_passed,0.0,0.0,0.001,0.438,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
TMEM165,not_passed,0.0,0.0,0.0,0.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
ATRX,not_passed,0.0,0.0,0.0,0.007,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
ZRANB2,not_passed,0.0,0.0,0.0,0.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
VPS39,not_passed,0.0,0.0,0.0,0.068,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
CSMD3,not_passed,0.0,0.0,0.0,0.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
SLC38A2,not_passed,0.0,0.0,0.0,0.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
MTX2,not_passed,0.0,0.0,0.072,0.997,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;threshold_dependent
MAP3K7,not_passed,0.0,0.0,0.0,0.972,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;threshold_dependent
NSF,not_passed,0.0,0.0,0.0,0.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
RPLP1,not_passed,0.0,0.01,0.741,0.993,sensitivity_pass,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;threshold_dependent
PLD3,not_passed,0.0,0.0,0.654,1.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;threshold_dependent
CAMK2G,not_passed,0.0,0.004,0.376,0.765,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
UBE2E3,not_passed,0.0,0.0,0.001,0.69,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
ZKSCAN1,not_passed,0.0,0.0,0.776,1.0,sensitivity_pass,sensitivity_pass,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;threshold_dependent
SYT1,not_passed,0.0,0.0,0.0,0.062,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
EIF2AK4,not_passed,0.0,0.0,0.0,0.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
CD74,not_passed,0.0,0.0,0.0,0.036,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
LPIN2,not_passed,0.0,0.0,0.001,0.344,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
TCERG1,not_passed,0.0,0.002,0.999,1.0,sensitivity_pass,sensitivity_pass,sensitivity_pass,sensitivity_only_not_evidence_promotion;threshold_dependent
WIPF2,not_passed,0.0,0.0,0.0,0.0,sensitivity_not_passed,sensitivity_not_passed,sensitivity_not_passed,sensitivity_only_not_evidence_promotion;not_threshold_rescued
UBA3,not_passed,0.0,0.009,0.953,1.0,sensitivity_pass,sensitivity_pass,sensitivity_pass,sensitivity_only_not_evidence_promotion;threshold_dependent
