target,n_donors,r2,mae,spearman
percent NeuN positive area_Grey matter,84,0.09457778379162196,1.4140965938568115,0.31527791839627417
guhcl pTau_Grey matter,84,0.08869195056177892,0.5444756746292114,0.28697408586745776
number of AT8 positive cells per area_Grey matter,84,0.13807919234586452,3.640995828391169e-06,0.2781924428555514
number of NeuN positive cells per area_Grey matter,84,0.053895961383625846,9.885902545647696e-05,0.26131416421990483
percent AT8 positive area_Grey matter,84,0.07778379850336148,1.1043522357940674,0.2599979750936519
percent GFAP positive area_Grey matter,84,0.07323657926433302,3.377878189086914,0.25339678039890656
percent Iba1 positive area_Grey matter,84,0.01349722243380802,1.5949280261993408,0.20135668725321454
guhcl tTau_Grey matter,84,0.028588124479934418,35.07481384277344,0.19793459552495696
ripa pTau_Grey matter,84,-0.031209519086056403,1.8230657577514648,0.08790118457021363
ripa tTau_Grey matter,84,-0.022748207231656492,341.7029724121094,0.08429685127062873
ripa abeta42_Grey matter,84,-0.022087606373184965,99.61563873291016,0.04635057558545697
ripa abeta40_Grey matter,84,-0.07651487064843066,46.73666000366211,-0.08219219690488364
percent 6e10 positive area_Grey matter,84,-0.0826206918718877,2.1180648803710938,-0.09672977624784854
guhcl abeta40_Grey matter,84,-0.08877283761051924,96.57083129882812,-0.14052992335651873
guhcl abeta42_Grey matter,84,-0.08343432255801786,587.2163696289062,-0.14913510749775993
number of activated Iba1 positive cells_Grey matter,84,-0.16159062863370144,3193.97802734375,-0.1676419965576592
number of 6e10 positive objects per area_Grey matter,84,-0.10394412230309036,6.652212323388085e-05,-0.20601605766991668
