model,source_latent_dim,source_latent_factor,target_latent_dim,target_latent_factor,mean_jacobian,abs_mean_jacobian,source_annotation,target_annotation
upgrade_fine_08,59,z_59,91,z_91,-2.8705573081970215,2.8705573081970215,lysosome_phagocytosis (-0.37),lysosome_phagocytosis (+0.42)
upgrade_fine_08,87,z_87,46,z_46,-2.703854560852051,2.703854560852051,lysosome_phagocytosis (-0.42),lysosome_phagocytosis (-0.37)
upgrade_fine_08,59,z_59,5,z_5,2.6756467819213867,2.6756467819213867,lysosome_phagocytosis (-0.37),lysosome_phagocytosis (+0.42)
upgrade_fine_08,87,z_87,99,z_99,2.6396968364715576,2.6396968364715576,lysosome_phagocytosis (-0.42),lysosome_phagocytosis (-0.41)
upgrade_fine_08,59,z_59,87,z_87,-2.6204535961151123,2.6204535961151123,lysosome_phagocytosis (-0.37),lysosome_phagocytosis (-0.42)
upgrade_fine_08,59,z_59,11,z_11,2.577385425567627,2.577385425567627,lysosome_phagocytosis (-0.37),lysosome_phagocytosis (-0.33)
upgrade_fine_08,59,z_59,63,z_63,2.5539512634277344,2.5539512634277344,lysosome_phagocytosis (-0.37),lysosome_phagocytosis (-0.17)
upgrade_fine_08,59,z_59,118,z_118,2.503868818283081,2.503868818283081,lysosome_phagocytosis (-0.37),lysosome_phagocytosis (-0.39)
upgrade_fine_08,29,z_29,63,z_63,-2.4663970470428467,2.4663970470428467,lysosome_phagocytosis (-0.41),lysosome_phagocytosis (-0.17)
upgrade_fine_08,59,z_59,56,z_56,-2.433877944946289,2.433877944946289,lysosome_phagocytosis (-0.37),lysosome_phagocytosis (-0.40)
upgrade_fine_08,29,z_29,35,z_35,-2.3847529888153076,2.3847529888153076,lysosome_phagocytosis (-0.41),lysosome_phagocytosis (-0.37)
upgrade_fine_08,29,z_29,111,z_111,-2.3757567405700684,2.3757567405700684,lysosome_phagocytosis (-0.41),lysosome_phagocytosis (+0.42)
upgrade_fine_08,59,z_59,108,z_108,-2.307394504547119,2.307394504547119,lysosome_phagocytosis (-0.37),lysosome_phagocytosis (+0.40)
upgrade_fine_08,5,z_5,35,z_35,2.2942278385162354,2.2942278385162354,lysosome_phagocytosis (+0.42),lysosome_phagocytosis (-0.37)
upgrade_fine_08,87,z_87,17,z_17,-2.2796835899353027,2.2796835899353027,lysosome_phagocytosis (-0.42),lysosome_phagocytosis (-0.18)
upgrade_fine_08,59,z_59,84,z_84,2.2723007202148438,2.2723007202148438,lysosome_phagocytosis (-0.37),lysosome_phagocytosis (+0.42)
upgrade_fine_08,87,z_87,63,z_63,-2.265108108520508,2.265108108520508,lysosome_phagocytosis (-0.42),lysosome_phagocytosis (-0.17)
upgrade_fine_08,87,z_87,75,z_75,2.236438035964966,2.236438035964966,lysosome_phagocytosis (-0.42),lysosome_phagocytosis (+0.27)
upgrade_fine_08,124,z_124,46,z_46,2.218622922897339,2.218622922897339,lysosome_phagocytosis (+0.41),lysosome_phagocytosis (-0.37)
upgrade_fine_08,59,z_59,123,z_123,-2.1936004161834717,2.1936004161834717,lysosome_phagocytosis (-0.37),lysosome_phagocytosis (+0.39)
upgrade_fine_08,5,z_5,0,z_0,2.180502414703369,2.180502414703369,lysosome_phagocytosis (+0.42),lysosome_phagocytosis (-0.30)
upgrade_fine_08,29,z_29,8,z_8,-2.1789252758026123,2.1789252758026123,lysosome_phagocytosis (-0.41),lysosome_phagocytosis (+0.13)
upgrade_fine_08,60,z_60,5,z_5,2.1736338138580322,2.1736338138580322,lysosome_phagocytosis (-0.40),lysosome_phagocytosis (+0.42)
upgrade_fine_08,124,z_124,17,z_17,2.1698145866394043,2.1698145866394043,lysosome_phagocytosis (+0.41),lysosome_phagocytosis (-0.18)
upgrade_fine_08,29,z_29,17,z_17,-2.154165744781494,2.154165744781494,lysosome_phagocytosis (-0.41),lysosome_phagocytosis (-0.18)
upgrade_fine_08,118,z_118,46,z_46,2.140700578689575,2.140700578689575,lysosome_phagocytosis (-0.39),lysosome_phagocytosis (-0.37)
upgrade_fine_08,60,z_60,87,z_87,-2.1381709575653076,2.1381709575653076,lysosome_phagocytosis (-0.40),lysosome_phagocytosis (-0.42)
upgrade_fine_08,5,z_5,76,z_76,2.1368818283081055,2.1368818283081055,lysosome_phagocytosis (+0.42),lysosome_phagocytosis (-0.33)
upgrade_fine_08,59,z_59,1,z_1,-2.1241390705108643,2.1241390705108643,lysosome_phagocytosis (-0.37),lysosome_phagocytosis (+0.28)
upgrade_fine_08,59,z_59,0,z_0,2.120037078857422,2.120037078857422,lysosome_phagocytosis (-0.37),lysosome_phagocytosis (-0.30)
upgrade_fine_08,29,z_29,0,z_0,-2.1160876750946045,2.1160876750946045,lysosome_phagocytosis (-0.41),lysosome_phagocytosis (-0.30)
upgrade_fine_08,29,z_29,76,z_76,-2.1111931800842285,2.1111931800842285,lysosome_phagocytosis (-0.41),lysosome_phagocytosis (-0.33)
upgrade_fine_08,36,z_36,63,z_63,-2.1031620502471924,2.1031620502471924,lysosome_phagocytosis (+0.34),lysosome_phagocytosis (-0.17)
upgrade_fine_08,29,z_29,5,z_5,-2.0829501152038574,2.0829501152038574,lysosome_phagocytosis (-0.41),lysosome_phagocytosis (+0.42)
upgrade_fine_08,5,z_5,17,z_17,2.0780839920043945,2.0780839920043945,lysosome_phagocytosis (+0.42),lysosome_phagocytosis (-0.18)
upgrade_fine_08,29,z_29,47,z_47,-2.0548760890960693,2.0548760890960693,lysosome_phagocytosis (-0.41),inflammatory_signaling (-0.06)
upgrade_fine_08,59,z_59,95,z_95,2.0479393005371094,2.0479393005371094,lysosome_phagocytosis (-0.37),lysosome_phagocytosis (+0.38)
upgrade_fine_08,60,z_60,23,z_23,-2.046832799911499,2.046832799911499,lysosome_phagocytosis (-0.40),lysosome_phagocytosis (-0.38)
upgrade_fine_08,5,z_5,63,z_63,2.0380706787109375,2.0380706787109375,lysosome_phagocytosis (+0.42),lysosome_phagocytosis (-0.17)
upgrade_fine_08,87,z_87,118,z_118,-2.0253100395202637,2.0253100395202637,lysosome_phagocytosis (-0.42),lysosome_phagocytosis (-0.39)
upgrade_fine_08,29,z_29,23,z_23,2.012922763824463,2.012922763824463,lysosome_phagocytosis (-0.41),lysosome_phagocytosis (-0.38)
upgrade_fine_08,117,z_117,118,z_118,2.009830951690674,2.009830951690674,lysosome_phagocytosis (+0.32),lysosome_phagocytosis (-0.39)
