model_variant,target_family,mean_pooled_oof_spearman
dlpfc_state_abundance_only,amyloid_tau,0.20499648382559776
dlpfc_state_abundance_only,glial_reactivity,0.18875410220346928
dlpfc_state_abundance_only,neuronal_preservation,-0.05959681200187529
dlpfc_state_expression_modules_only,amyloid_tau,0.21320733708391937
dlpfc_state_expression_modules_only,glial_reactivity,0.09699484294421004
dlpfc_state_expression_modules_only,neuronal_preservation,0.24159282700421944
dlpfc_state_modules_only,amyloid_tau,0.22562177684013132
dlpfc_state_modules_only,glial_reactivity,0.0938959212376934
dlpfc_state_modules_only,neuronal_preservation,0.20444678856071258
mtg_programming_only_same80,amyloid_tau,0.29220288326300986
mtg_programming_only_same80,glial_reactivity,0.13443975621190812
mtg_programming_only_same80,neuronal_preservation,0.47733591186122837
mtg_programming_plus_dlpfc_state_abundance,amyloid_tau,0.2924548757618378
mtg_programming_plus_dlpfc_state_abundance,glial_reactivity,0.1356581106422879
mtg_programming_plus_dlpfc_state_abundance,neuronal_preservation,0.4770194561650259
mtg_programming_plus_dlpfc_state_expression_modules,amyloid_tau,0.2950545007032349
mtg_programming_plus_dlpfc_state_expression_modules,glial_reactivity,0.1533884200656353
mtg_programming_plus_dlpfc_state_expression_modules,neuronal_preservation,0.48376347866854197
mtg_programming_plus_dlpfc_state_modules_full,amyloid_tau,0.2957612517580872
mtg_programming_plus_dlpfc_state_modules_full,glial_reactivity,0.1555151195499297
mtg_programming_plus_dlpfc_state_modules_full,neuronal_preservation,0.4840225035161746
negative_control_donor_shuffled_dlpfc_expression_modules,amyloid_tau,0.28400316455696206
negative_control_donor_shuffled_dlpfc_expression_modules,glial_reactivity,0.1379236990154712
negative_control_donor_shuffled_dlpfc_expression_modules,neuronal_preservation,0.47799460853258324
negative_control_donor_shuffled_dlpfc_full,amyloid_tau,0.3005537974683544
negative_control_donor_shuffled_dlpfc_full,glial_reactivity,0.13887834036568214
negative_control_donor_shuffled_dlpfc_full,neuronal_preservation,0.4816233005157057
negative_control_expression_permuted_within_donor,amyloid_tau,0.3039721050164088
negative_control_expression_permuted_within_donor,glial_reactivity,0.15691162681669013
negative_control_expression_permuted_within_donor,neuronal_preservation,0.4796847163619316
negative_control_expression_permuted_within_state,amyloid_tau,0.2966180262541022
negative_control_expression_permuted_within_state,glial_reactivity,0.14847691045475855
negative_control_expression_permuted_within_state,neuronal_preservation,0.4762669948429442
negative_control_module_gene_shuffled_matched_size,amyloid_tau,0.2956217768401313
negative_control_module_gene_shuffled_matched_size,glial_reactivity,0.14561240037505863
negative_control_module_gene_shuffled_matched_size,neuronal_preservation,0.4778902953586498
negative_control_random_gene_modules_matched_size,amyloid_tau,0.29711790904828883
negative_control_random_gene_modules_matched_size,glial_reactivity,0.14525199249882795
negative_control_random_gene_modules_matched_size,neuronal_preservation,0.47960267229254566
negative_control_state_label_shuffled_within_donor,amyloid_tau,0.3101582278481013
negative_control_state_label_shuffled_within_donor,glial_reactivity,0.15383497421472106
negative_control_state_label_shuffled_within_donor,neuronal_preservation,0.4789674167838725
