dataset,regulator,control,dose,metric,n_downstream_genes,downstream_genes,mean_delta,median_delta,abs_mean_delta,n_donors
MTG,BACH1,directed_stage72b,0.25,top5_mean,25,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;STAT1;TREM2;TXNIP;TYROBP,0.006504401740701044,0.006887991913085215,0.009155673829934666,89
MTG,BACH1,directed_stage72b,0.25,q95,25,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;STAT1;TREM2;TXNIP;TYROBP,0.005078582573354766,0.00470701793674011,0.01283518228072505,89
MTG,BACH1,directed_stage72b,0.25,fraction_global_q95,25,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;STAT1;TREM2;TXNIP;TYROBP,0.0005420585892027851,0.0,0.002438519287914509,89
MTG,BACH1,directed_stage72b,0.5,top5_mean,25,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;STAT1;TREM2;TXNIP;TYROBP,0.013729764541865499,0.014360338792986926,0.020093327164794606,89
MTG,BACH1,directed_stage72b,0.5,q95,25,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;STAT1;TREM2;TXNIP;TYROBP,0.006872308418935693,0.0031198973068382596,0.02141817870670664,89
MTG,BACH1,directed_stage72b,0.5,fraction_global_q95,25,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;STAT1;TREM2;TXNIP;TYROBP,0.0008733759211538399,0.0,0.0032785595925528027,89
MTG,BACH1,directed_stage72b,0.75,top5_mean,25,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;STAT1;TREM2;TXNIP;TYROBP,0.020657126583427263,0.023222924467928507,0.03302984924920465,89
MTG,BACH1,directed_stage72b,0.75,q95,25,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;STAT1;TREM2;TXNIP;TYROBP,0.004723595535210825,0.006683932812744375,0.032517351976123716,89
MTG,BACH1,directed_stage72b,0.75,fraction_global_q95,25,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;STAT1;TREM2;TXNIP;TYROBP,0.0007450807058569521,0.0,0.005242837331156887,89
MTG,BACH1,directed_stage72b,1.0,top5_mean,25,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;STAT1;TREM2;TXNIP;TYROBP,0.023439178015589507,0.02236534941229995,0.04617897853889318,89
MTG,BACH1,directed_stage72b,1.0,q95,25,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;STAT1;TREM2;TXNIP;TYROBP,0.004648054158230758,0.008122718467582501,0.04749359164228848,89
MTG,BACH1,directed_stage72b,1.0,fraction_global_q95,25,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;STAT1;TREM2;TXNIP;TYROBP,-0.0006763529912077368,0.0,0.007308731480075866,89
MTG,CEBPA,directed_stage72b,0.25,top5_mean,28,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IRF8;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,0.0002828851837932182,0.0008418899480071573,0.00595619318554468,89
MTG,CEBPA,directed_stage72b,0.25,q95,28,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IRF8;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,0.0018034821646888567,0.0033166978067604713,0.010820897635518644,89
MTG,CEBPA,directed_stage72b,0.25,fraction_global_q95,28,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IRF8;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,0.00012891918150954553,0.0,0.001515511724338531,89
MTG,CEBPA,directed_stage72b,0.5,top5_mean,28,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IRF8;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,-0.0005645119783738782,0.0005895730292386769,0.012744994783904631,89
MTG,CEBPA,directed_stage72b,0.5,q95,28,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IRF8;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,-2.7937525631179696e-05,-0.000400242897329095,0.01897568396649408,89
MTG,CEBPA,directed_stage72b,0.5,fraction_global_q95,28,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IRF8;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,0.0002048669500044435,0.0,0.0028803313419922603,89
MTG,CEBPA,directed_stage72b,0.75,top5_mean,28,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IRF8;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,-0.0027228959195169716,0.00016603930499403674,0.020836419367160425,89
MTG,CEBPA,directed_stage72b,0.75,q95,28,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IRF8;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,-0.005326125799648514,-0.0023199847580219757,0.028371947813925925,89
MTG,CEBPA,directed_stage72b,0.75,fraction_global_q95,28,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IRF8;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,-0.00043037378697134915,0.0,0.0037775331427966304,89
MTG,CEBPA,directed_stage72b,1.0,top5_mean,28,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IRF8;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,-0.007407070417371775,-0.005215447987337862,0.030963678832006538,89
MTG,CEBPA,directed_stage72b,1.0,q95,28,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IRF8;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,-0.012342536816923311,-0.011876766723584176,0.03642832900242448,89
MTG,CEBPA,directed_stage72b,1.0,fraction_global_q95,28,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IRF8;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,-0.001020350185532999,0.0,0.005019835054803649,89
MTG,CEBPB,directed_stage72b,0.25,top5_mean,26,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,0.006437622132560069,0.0071179933409193374,0.00923174837484864,89
MTG,CEBPB,directed_stage72b,0.25,q95,26,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,0.004618149835682415,0.004668639336556923,0.01324904478421941,89
MTG,CEBPB,directed_stage72b,0.25,fraction_global_q95,26,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,0.000786602727578329,0.0,0.0023140783795411453,89
MTG,CEBPB,directed_stage72b,0.5,top5_mean,26,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,0.013457397106691235,0.014683376235696155,0.02018153370364728,89
MTG,CEBPB,directed_stage72b,0.5,q95,26,AP1G1;APOC1;APOE;B2M;BSG;C1QA;C1QB;C1QC;CD74;CTSB;CTSS;HLA-DPA1;HLA-DPB1;HLA-DRA;LAMP2;LAPTM5;MSR1;NFKBIA;NPC2;PLD3;PSAP;SLC38A9;STAT1;TREM2;TXNIP;TYROBP,0.0040575667197211215,0.004391927417992658,0.021730531053932977,89
