gene_symbol,source_version,source_stage,source_file,mechanism_bin,target_context,evidence_type,model_derived,graph_specific,external_support_status,in_silico_perturbation_status,druggability_status,claim_allowed,claim_disallowed,notes
APOE,v3,Stage36E,results/tables/stage36e_frozen_mechanism_registry_v1.csv,Glial activation / disease-associated microglia-astrocyte state,frozen Stage36E mechanism registry,frozen_candidate_registry,True,False,see Stage38/42 support readiness,model-based sensitivity/counterfactual evidence in Stage36 lineage,requires local druggability resource or manual curation,candidate follow-up hypothesis / network anchor,validated causal regulator; therapeutic target; experimental gene ablation,M2: Glial activation / disease-associated microglia-astrocyte state
BSG,v3,Stage36E,results/tables/stage36e_frozen_mechanism_registry_v1.csv,Inflammatory signaling / transport / cell-state modulation,frozen Stage36E mechanism registry,frozen_candidate_registry,True,False,see Stage38/42 support readiness,model-based sensitivity/counterfactual evidence in Stage36 lineage,requires local druggability resource or manual curation,candidate follow-up hypothesis / network anchor,validated causal regulator; therapeutic target; experimental gene ablation,M4: Inflammatory signaling / transport / cell-state modulation
CST7,v3,Stage36E,results/tables/stage36e_frozen_mechanism_registry_v1.csv,Glial activation / disease-associated microglia-astrocyte state,frozen Stage36E mechanism registry,frozen_candidate_registry,True,False,see Stage38/42 support readiness,model-based sensitivity/counterfactual evidence in Stage36 lineage,requires local druggability resource or manual curation,candidate follow-up hypothesis / network anchor,validated causal regulator; therapeutic target; experimental gene ablation,M2: Glial activation / disease-associated microglia-astrocyte state
CTSB,v3,Stage36E,results/tables/stage36e_frozen_mechanism_registry_v1.csv,Endolysosomal / autophagy / proteostasis,frozen Stage36E mechanism registry,frozen_candidate_registry,True,False,see Stage38/42 support readiness,model-based sensitivity/counterfactual evidence in Stage36 lineage,requires local druggability resource or manual curation,candidate follow-up hypothesis / network anchor,validated causal regulator; therapeutic target; experimental gene ablation,M1: Endolysosomal / autophagy / proteostasis
CTSD,v3,Stage36E,results/tables/stage36e_frozen_mechanism_registry_v1.csv,Glial activation / disease-associated microglia-astrocyte state,frozen Stage36E mechanism registry,frozen_candidate_registry,True,False,see Stage38/42 support readiness,model-based sensitivity/counterfactual evidence in Stage36 lineage,requires local druggability resource or manual curation,candidate follow-up hypothesis / network anchor,validated causal regulator; therapeutic target; experimental gene ablation,M2: Glial activation / disease-associated microglia-astrocyte state
GPX4,v3,Stage36E,results/tables/stage36e_frozen_mechanism_registry_v1.csv,Oxidative stress / antioxidant response,frozen Stage36E mechanism registry,frozen_candidate_registry,True,False,see Stage38/42 support readiness,model-based sensitivity/counterfactual evidence in Stage36 lineage,requires local druggability resource or manual curation,candidate follow-up hypothesis / network anchor,validated causal regulator; therapeutic target; experimental gene ablation,M3: Oxidative stress / antioxidant response
HMOX1,v3,Stage36E,results/tables/stage36e_frozen_mechanism_registry_v1.csv,Oxidative stress / antioxidant response,frozen Stage36E mechanism registry,frozen_candidate_registry,True,False,see Stage38/42 support readiness,model-based sensitivity/counterfactual evidence in Stage36 lineage,requires local druggability resource or manual curation,candidate follow-up hypothesis / network anchor,validated causal regulator; therapeutic target; experimental gene ablation,M3: Oxidative stress / antioxidant response
IL27RA,v3,Stage36E,results/tables/stage36e_frozen_mechanism_registry_v1.csv,Inflammatory signaling / transport / cell-state modulation,frozen Stage36E mechanism registry,frozen_candidate_registry,True,False,see Stage38/42 support readiness,model-based sensitivity/counterfactual evidence in Stage36 lineage,requires local druggability resource or manual curation,candidate follow-up hypothesis / network anchor,validated causal regulator; therapeutic target; experimental gene ablation,M4: Inflammatory signaling / transport / cell-state modulation
LAMP2,v3,Stage36E,results/tables/stage36e_frozen_mechanism_registry_v1.csv,Endolysosomal / autophagy / proteostasis,frozen Stage36E mechanism registry,frozen_candidate_registry,True,False,see Stage38/42 support readiness,model-based sensitivity/counterfactual evidence in Stage36 lineage,requires local druggability resource or manual curation,candidate follow-up hypothesis / network anchor,validated causal regulator; therapeutic target; experimental gene ablation,M1: Endolysosomal / autophagy / proteostasis
LAPTM5,v3,Stage36E,results/tables/stage36e_frozen_mechanism_registry_v1.csv,Endolysosomal / autophagy / proteostasis,frozen Stage36E mechanism registry,frozen_candidate_registry,True,False,see Stage38/42 support readiness,model-based sensitivity/counterfactual evidence in Stage36 lineage,requires local druggability resource or manual curation,candidate follow-up hypothesis / network anchor,validated causal regulator; therapeutic target; experimental gene ablation,M1: Endolysosomal / autophagy / proteostasis
LGALS3,v3,Stage36E,results/tables/stage36e_frozen_mechanism_registry_v1.csv,Glial activation / disease-associated microglia-astrocyte state,frozen Stage36E mechanism registry,frozen_candidate_registry,True,False,see Stage38/42 support readiness,model-based sensitivity/counterfactual evidence in Stage36 lineage,requires local druggability resource or manual curation,candidate follow-up hypothesis / network anchor,validated causal regulator; therapeutic target; experimental gene ablation,M2: Glial activation / disease-associated microglia-astrocyte state
