artifact_name,artifact_type,expected_path,status,existing_path,training_script_candidate,confirmed_script_flags,config_candidate,smoke_test_command,full_training_command_template,notes
real_graph_stage_b_jepa,trained_graph_jepa,results\models\v2_2_stage_b_adversarial\stage_b_adversarial.pt,found_existing_artifact,results\models\v2_2_stage_b_adversarial\stage_b_adversarial.pt,scripts\train_graph_jepa_stage_b_adversarial.py,--hydra-help,configs/train/stage_b_adversarial.yaml,python scripts/train_graph_jepa_stage_b_adversarial.py epochs=1 max_steps_per_epoch=2 per_domain_batch_size=8 out_dir=results/models/smoke_tests/stage_b_adversarial history_csv=results/tables/smoke_stage_b_adversarial_history.csv log_file=results/logs/smoke_stage_b_adversarial.log,python scripts/train_graph_jepa_stage_b_adversarial.py stage_a_checkpoint=<checkpoint> out_dir=<output> epochs=<epochs>,help_inspected
pathology_head,frozen_pathology_readout,results\models\pathology_heads_stage_b_lp\best_pathology_head.pt,found_existing_artifact,results\models\pathology_heads_stage_b_lp\best_pathology_head.pt,,,,not_applicable,not_assessed_in_ablation_stage,Existing frozen pathology head used by current counterfactual pipeline.
shuffled_graph_jepa,graph_ablation,results/models/<future_shuffled_graph_jepa>/,not_available_existing_artifact,,scripts\train_graph_jepa_stage_a_fast.py,--annotation-csv --batch-size --checkpoint-every --covariance-weight --device --dropout --edge-csv --edge-dropout --ema-decay --ema-start-decay --ema-warmup-epochs --epochs --external-mask-files --external-mask-prob --gene-embed-dim --gradient-clip-val --h5ad --help --hidden-dim --history-csv --latent-dim --log-dir --log-file --lr --mask-fraction --mask-start-fraction --mask-warmup-epochs --max-cells --module-dropout-prob --n-layers --num-workers --out-dir --random-gene-dropout --seed --use-node-annotations --variance-gamma --variance-weight --weight-decay,configs/train/graph_jepa_stage_a_fast.yaml,smoke_training_not_supported_without_script_patch; a reproducible shuffled-edge generator/input is not exposed by confirmed flags,python scripts/train_graph_jepa_stage_a_fast.py --edge-csv <precomputed_shuffled_edge_csv> --out-dir <output> --epochs <epochs> --h5ad <h5ad>,help_inspected; requires a precomputed deterministic shuffled edge CSV.
no_graph_jepa,graph_ablation,results/models/<future_no_graph_jepa>/,not_available_existing_artifact,,scripts\train_graph_jepa_stage_a_fast.py,--annotation-csv --batch-size --checkpoint-every --covariance-weight --device --dropout --edge-csv --edge-dropout --ema-decay --ema-start-decay --ema-warmup-epochs --epochs --external-mask-files --external-mask-prob --gene-embed-dim --gradient-clip-val --h5ad --help --hidden-dim --history-csv --latent-dim --log-dir --log-file --lr --mask-fraction --mask-start-fraction --mask-warmup-epochs --max-cells --module-dropout-prob --n-layers --num-workers --out-dir --random-gene-dropout --seed --use-node-annotations --variance-gamma --variance-weight --weight-decay,configs/train/graph_jepa_stage_a_fast.yaml,smoke_training_not_supported_without_script_patch; identity/no-graph topology is not exposed by confirmed flags,requires_script_patch_or_precomputed_identity_edge_csv; then use confirmed --edge-csv --out-dir --epochs --h5ad flags,help_inspected; no explicit no-graph/identity-graph mode was confirmed.
expression_only_autoencoder,expression_baseline,results/models/<future_expression_only_autoencoder>/,not_available_existing_artifact,,scripts\train_jepa_snrna.py,,,smoke_training_not_supported_without_script_patch,not_generated_help_failed_or_no_confirmed_flags,help_failed_returncode_1
