epoch,loss,disease_jepa_loss,sea_rehearsal_loss,cellxgene_rehearsal_loss,sea_anchor_cosine,cellxgene_anchor_cosine,disease_to_cellxgene_centroid_l2,disease_variance_spread,disease_effective_dims,disease_top_sv_ratio,alignment_loss,variance_loss,covariance_loss,mask_fraction,ema_decay,steps
1,0.40946057970523836,0.4075033059358597,0.019772866682847962,0.01937260505417944,0.9390638584136963,0.9444651007413865,107.85036298065185,23.569527394628526,3.472627639770508,0.6946629285812378,0.005131658935546875,0.4023716470122337,254.86832054748535,0.2,0.995,2500
2,0.40654542375802993,0.40643980363607407,0.001182069971365854,0.0009303299423540011,0.9732664915561676,0.9757727005958557,120.21734833984375,26.732066324806212,3.370448350906372,0.7151204347610474,0.0016622206687927246,0.40477758296728134,267.9704991516113,0.23333333333333334,0.9955,2500
3,0.39468208001852034,0.39461011943817137,0.0006791648758866359,0.0007600423798547126,0.9794296797275543,0.977390637755394,113.875499710083,28.084076081466677,3.472447156906128,0.7091909646987915,0.0016703493595123292,0.39293977007865905,278.02972833251954,0.26666666666666666,0.996,2500
4,0.38352147237062456,0.38347671755552293,0.00031787700362619943,0.0005772226119064726,0.9861890339612961,0.9808278906822204,116.78538694152832,26.986825522041322,3.448422431945801,0.7054234147071838,0.0014454710006713868,0.38203124655485154,273.8169303192139,0.3,0.9965,2500
5,0.37363003791570665,0.3735903378009796,0.0002532294466625899,0.0005407743722025771,0.9881811698436737,0.982300168967247,111.1909386871338,23.851697001838684,3.2942616939544678,0.7117060422897339,0.0015495339393615723,0.37204080386161803,251.64891439819337,0.33333333333333337,0.997,2500
6,0.36856618415117265,0.3685343434214592,0.00018421275523432997,0.00045260139420279303,0.9915679315328598,0.9851117706537247,119.74400965881348,26.27938140106201,3.064730644226074,0.7222998738288879,0.0012832462310791016,0.36725109719038007,258.63818143615725,0.3666666666666667,0.9975,2500
7,0.366604830467701,0.36656951159238815,0.00020034375478571748,0.0005060345825739205,0.9911491416215896,0.9845990556955337,125.06732133789062,30.562760564422607,2.7890374660491943,0.7541809678077698,0.0009017092227935792,0.36566780236959456,285.37915615844724,0.4,0.998,2500
8,0.3636552458405495,0.36362343660593033,0.0002022843742626719,0.00043390163888107054,0.9906172457456589,0.98503054895401,126.4575022491455,31.85571610879898,2.5471551418304443,0.7742206454277039,0.0008493255615234375,0.3627741110444069,294.5469417541504,0.43333333333333335,0.9985,2500
9,0.3606677211761475,0.36062229194641116,0.0002945338699675631,0.000614061417611083,0.9877590892076492,0.9819280146121979,128.2643192642212,33.81730634994507,2.285068988800049,0.8010347485542297,0.0008067644596099853,0.3598155274868011,304.65525515441897,0.4666666666666667,0.999,2500
10,0.3587929586291313,0.3587351816534996,0.00037621686256024986,0.000779323754872894,0.986725870513916,0.9806377119541169,132.27126592712403,36.53839187297821,2.1009058952331543,0.8209069967269897,0.0007912617206573486,0.35794391993284225,317.60844322814944,0.5,0.9995,2500
