gene,present_in_snrna,feature_index,mean_microglia_expressed_fraction,gene_role
AIF1,True,18560,0.09732376738152912,target
AP1G1,True,44527,0.2724491569792058,target
APOC1,True,51193,0.12561418392770907,target
APOE,True,51191,0.3446906182885147,target
B2M,True,41095,0.41985600825889346,target
BACH1,True,53923,0.7182959780743823,tf
BSG,True,49239,0.07370315450976805,target
C1QA,True,720,0.22918561437595505,target
C1QB,True,722,0.3998900395366775,target
C1QC,True,721,0.28887820968764655,target
CD74,True,17185,0.6072988296607282,target
CEBPA,True,50604,0.10878490914446931,tf
CEBPB,True,53239,0.26683700723042186,tf
CST7,True,52635,0.005594136825361683,target
CTSB,True,23872,0.6474920997642787,target
CTSD,True,30591,0.0,target
CTSS,True,3077,0.35899723445306414,target
ELF1,True,37177,0.6193480739287138,tf
ETS1,True,33671,0.06352335494731437,tf
FCER1G,True,3609,0.13221140813433435,target
FOS,True,39421,0.119811221493999,tf
GBA,True,3345,0.018423307204581504,target
GPX4,True,49280,0.07986970746786617,target
HLA-DPA1,True,18679,0.1717543696726001,target
HLA-DPB1,True,18680,0.2122423861272676,target
HLA-DRA,True,18648,0.27303007748142627,target
HLA-DRB1,True,18653,0.123035642086263,target
HMOX1,True,55250,0.14145689895878755,target
IFITM3,True,30511,0.04161031083697793,target
IL27RA,True,49975,0.03142837163514966,target
IRF8,True,44834,0.3227524558446593,tf_and_target
JUN,True,1760,0.11312740372107477,tf
KLF4,True,27513,0.004496761225571431,tf
LAMP2,True,57465,0.20766387318271254,target
LAPTM5,True,994,0.4685638507440458,target
LGALS3,True,38977,0.013176599049038775,target
LPL,True,24025,0.03654409071550955,target
MAF,True,44697,0.5656142420347043,tf
MAFB,True,52992,0.15371873232611807,tf
MITF,True,10473,0.3646233379566823,tf
MSR1,True,23964,0.5341746024309856,target
NFE2L2,True,8213,0.4825569896100508,tf
NFKB1,True,13776,0.3477197168557938,tf
NFKBIA,True,38681,0.1697273424971324,target
NPC2,True,39388,0.14473615775973311,target
NQO1,True,44450,0.004700027471715943,target
NRF1,True,22916,0.41908665570149395,tf
PLD3,True,50957,0.20977653153134185,target
PPARG,True,9484,0.23448901936554328,tf
PRDX1,True,1453,0.0546293123458819,target
PSAP,True,29351,0.5064787733429853,target
RELA,True,32231,0.062488568855671146,tf
RUNX1,True,54075,0.8827267977897237,tf
SLC38A9,True,15635,0.35637803674710583,target
SLC6A12,True,33779,0.005235053770261707,target
SOD1,True,53988,0.04191936277763611,target
SOD2,True,20490,0.016872517536479767,target
SPI1,True,31536,0.3132576831893714,tf
SREBF1,True,45660,0.1927428000001874,tf
STAT1,True,8382,0.18370103613986088,tf_and_target
STAT3,True,46646,0.554013960823625,tf
TREM2,True,18894,0.09963449707770816,target
TXNIP,True,2909,0.323668540357396,target
TYROBP,True,50740,0.21392531837438986,target
