test_set,null_type,n_genes,genes,primary_metric,primary_metric_direction,empirical_p_value,z_score_vs_null,null_mean_primary_metric,null_sd_primary_metric,degree_matching_max_unmatched,degree_matching_nearest_bin_fallback_genes,degree_matching_nearest_bin_fallback_count,median_therapeutic_like_percentile,null_median_therapeutic_like_percentile,median_tau_lowering_percentile,null_median_tau_lowering_percentile,median_neuron_preservation_percentile,null_median_neuron_preservation_percentile,median_gliosis_penalty_percentile,null_median_gliosis_penalty_percentile,median_broad_shift_percentile,null_median_broad_shift_percentile,FDR,interpretation,evidence_tier,comparison_interpretation
prior_candidate_set,random,24,APOE;APP;BCL2;C1QA;C1QB;C1QC;C3;CD4;CD74;CSF1R;CTSD;CX3CR1;HLA-DRA;MAPK1;P2RY12;P2RY13;PLCG2;ROCK1;SPP1;STAT3;TLR2;TREM2;TYROBP;UGCG,therapeutic_like,higher,0.5184815184815185,-0.05254276635642783,50.148206278026905,9.577222266046467,0,,0,49.64499252615845,50.12144992526159,83.37070254110613,50.747384155455904,54.18535127055307,50.224215246636774,71.95440956651719,50.00934230194321,77.41031390134529,49.94394618834081,0.600347021399653,not_enriched,strongest_independent_set_test,
prior_candidate_set,degree_matched,24,APOE;APP;BCL2;C1QA;C1QB;C1QC;C3;CD4;CD74;CSF1R;CTSD;CX3CR1;HLA-DRA;MAPK1;P2RY12;P2RY13;PLCG2;ROCK1;SPP1;STAT3;TLR2;TREM2;TYROBP;UGCG,therapeutic_like,higher,0.5584415584415584,-0.14038009916786898,50.98609865470852,9.553392086910806,0,,0,49.64499252615845,50.99962630792228,83.37070254110613,49.75710014947683,54.18535127055307,48.925635276532134,71.95440956651719,48.52391629297459,77.41031390134529,47.80455904334828,0.6466165413533834,not_enriched,strongest_independent_set_test,
prior_candidate_set,high_degree_hub_control,24,APOE;APP;BCL2;C1QA;C1QB;C1QC;C3;CD4;CD74;CSF1R;CTSD;CX3CR1;HLA-DRA;MAPK1;P2RY12;P2RY13;PLCG2;ROCK1;SPP1;STAT3;TLR2;TREM2;TYROBP;UGCG,therapeutic_like,higher,0.005994005994005994,3.0165853486206897,21.959566517189835,9.17773668218191,0,,0,49.64499252615845,19.562780269058294,83.37070254110613,53.8677130044843,54.18535127055307,68.7593423019432,71.95440956651719,85.73430493273543,77.41031390134529,84.2955904334828,0.005994005994005994,not_enriched,strongest_independent_set_test,
class::tau_lowering_neuron_preserving,random,58,ARHGEF7;ATRX;ATXN3;BDP1;BRWD3;BTBD9;CAMSAP2;CD74;COPA;CSMD3;DENND1A;DMXL2;GLUD1;GMDS;GSK3B;HPCAL1;ILRUN;IWS1;KIF1B;LPIN2;LRCH3;LRRFIP1;MAP3K7;MAP4K3;MDM2;MSR1;MT-CO3;MTX2;NCOA2;NCOA6;NEMF;NFIC;NSF;PARN;PFKFB3;PI4KA;PLD1;PLD3;PTPRE;RAD51B;RPS6;SARAF;SCAMP2;SIPA1L2;SLC23A2;SLC25A26;SLC38A9;ST3GAL5;STARD13;SYT1;TCERG1;TLR2;TRAF3IP2-AS1;UBA3;UBAP1;WIPF2;ZDHHC17;ZNF609,therapeutic_like,higher,0.000999000999000999,7.093798509831281,49.646599402092676,6.466083805679286,0,,0,95.51569506726457,49.2152466367713,94.22645739910314,49.9439461883408,77.67189835575486,49.86920777279522,26.345291479820627,50.52316890881913,71.65545590433481,50.29895366218236,0.002442002442002442,enriched_vs_degree_matched_null,calibration_not_independent_validation,
class::tau_lowering_neuron_preserving,degree_matched,58,ARHGEF7;ATRX;ATXN3;BDP1;BRWD3;BTBD9;CAMSAP2;CD74;COPA;CSMD3;DENND1A;DMXL2;GLUD1;GMDS;GSK3B;HPCAL1;ILRUN;IWS1;KIF1B;LPIN2;LRCH3;LRRFIP1;MAP3K7;MAP4K3;MDM2;MSR1;MT-CO3;MTX2;NCOA2;NCOA6;NEMF;NFIC;NSF;PARN;PFKFB3;PI4KA;PLD1;PLD3;PTPRE;RAD51B;RPS6;SARAF;SCAMP2;SIPA1L2;SLC23A2;SLC25A26;SLC38A9;ST3GAL5;STARD13;SYT1;TCERG1;TLR2;TRAF3IP2-AS1;UBA3;UBAP1;WIPF2;ZDHHC17;ZNF609,therapeutic_like,higher,0.000999000999000999,7.483649451780203,48.92402840059791,6.225794910207009,0,,0,95.51569506726457,48.73878923766816,94.22645739910314,48.78550074738416,77.67189835575486,49.75710014947683,26.345291479820627,50.57922272047833,71.65545590433481,49.00971599402093,0.002442002442002442,enriched_vs_degree_matched_null,calibration_not_independent_validation,
class::dual_pathology_lowering_neuron_preserving,random,41,ABL1;ADCY7;ADK;AP1G1;AP2A2;BAZ1A;CAMK2G;CPSF6;DARS;EIF2AK2;EIF2AK4;EIF3H;ITFG1;LPCAT2;LRP1B;MTSS1;OPA1;PARP4;PTPN18;RPLP1;SBF2;SCYL2;SERGEF;SERPINB6;SGMS1;SH3KBP1;SLC38A2;SMARCA4;TMEM165;TOP1;UBE2E3;UGCG;USP22;VPS13B;VPS39;VPS50;WDR37;WWP1;ZKSCAN1;ZNF292;ZRANB2,therapeutic_like,higher,0.000999000999000999,6.208629525487918,50.14271300448431,7.584921185425061,0,,0,97.23467862481316,50.22421524663677,95.62780269058295,50.0560538116592,85.1644245142003,49.88789237668161,45.06726457399103,49.90657698056801,87.4439461883408,49.9813153961136,0.002442002442002442,enriched_vs_degree_matched_null,calibration_not_independent_validation,
class::dual_pathology_lowering_neuron_preserving,degree_matched,41,ABL1;ADCY7;ADK;AP1G1;AP2A2;BAZ1A;CAMK2G;CPSF6;DARS;EIF2AK2;EIF2AK4;EIF3H;ITFG1;LPCAT2;LRP1B;MTSS1;OPA1;PARP4;PTPN18;RPLP1;SBF2;SCYL2;SERGEF;SERPINB6;SGMS1;SH3KBP1;SLC38A2;SMARCA4;TMEM165;TOP1;UBE2E3;UGCG;USP22;VPS13B;VPS39;VPS50;WDR37;WWP1;ZKSCAN1;ZNF292;ZRANB2,therapeutic_like,higher,0.000999000999000999,6.337696097470333,47.24719730941705,7.88732696339738,0,,0,97.23467862481316,46.93572496263079,95.62780269058295,49.75710014947683,85.1644245142003,50.82212257100149,45.06726457399103,53.77428998505231,87.4439461883408,51.90582959641256,0.002442002442002442,enriched_vs_degree_matched_null,calibration_not_independent_validation,
class::amyloid_lowering_candidate,random,153,A2M;ADAM9;ADNP;AKAP11;AL049828.1;ANO10;ANOS1;APLP2;ARNT;ARPC3;ASH1L;ATP10D;ATXN7L1;BCL2;BRD4;CAB39;CACNB4;CANX;CASD1;CCND3;CD163;CD300A;CD4;CDC27;CDK17;CDS2;CHSY1;CLEC16A;CNOT2;CPQ;CRLF3;CSDE1;CST3;CTNNA2;DDX3X;DDX6;DERA;DHRSX;DHX9;DNM1L;DTNB;ERC1;ETS2;FBXW4;FIG4;FIP1L1;FMNL3;FOXJ3;FRS2;GAPDH;GDAP2;GIGYF2;GLIS3;GNAI3;HPGDS;IFNAR1;IGF2R;IL10RA;IRF8;ITSN1;KIF2A;KIF5B;LAP3;LARGE1;LRRK1;LRRK2;LRRTM4;LUC7L;LYRM4;LYVE1;MAP2K1;MAP3K1;MAP3K3;MED27;MERTK;MIGA1;MPHOSPH8;MPHOSPH9;MPRIP;MS4A7;MSRA;MT-ND4;MYSM1;NAA25;NBEA;NFE2L2;NKAIN2;NLGN1;NPLOC4;NSRP1;NUMB;OSTF1;PCF11;PDE4D;PIK3C2A;PIP4K2A;PIP5K1A;PITPNB;PKD2;PPP2R2B;PPP2R5C;PPP3CA;PRKCE;PRORP;RAB11FIP2;RAP2A;RAPH1;RBMS1;RHBDF2;RPS11;RREB1;RUBCN;SAT1;SBNO1;SCARB2;SEPTIN7;SERINC5;SERTAD2;SGK3;SKIL;SLAIN2;SLC38A10;SLC44A1;SNTG1;SNX2;SNX24;SOCS6;SPATA13;SPIN1;SPPL3;SPRED2;SPTLC2;SRRM1;STAT1;STRN;SYT17;TGFB1;TIAM2;TLE3;TRAPPC9;TRIP4;TTC13;TTC37;UBXN2B;USP6NL;UST;WDR20;XAF1;XIAP;XRCC5;YWHAH;ZCCHC2;ZNF131,amyloid_lowering,higher,0.000999000999000999,11.387641277077815,50.01259342301944,3.8973852733136107,0,,0,82.32436472346785,49.81315396113602,83.96860986547085,49.794469357249625,62.89237668161435,50.16816143497758,33.819133034379675,50.48579970104634,78.84902840059792,50.186846038863976,0.002442002442002442,enriched_vs_degree_matched_null,calibration_not_independent_validation,
class::amyloid_lowering_candidate,degree_matched,153,A2M;ADAM9;ADNP;AKAP11;AL049828.1;ANO10;ANOS1;APLP2;ARNT;ARPC3;ASH1L;ATP10D;ATXN7L1;BCL2;BRD4;CAB39;CACNB4;CANX;CASD1;CCND3;CD163;CD300A;CD4;CDC27;CDK17;CDS2;CHSY1;CLEC16A;CNOT2;CPQ;CRLF3;CSDE1;CST3;CTNNA2;DDX3X;DDX6;DERA;DHRSX;DHX9;DNM1L;DTNB;ERC1;ETS2;FBXW4;FIG4;FIP1L1;FMNL3;FOXJ3;FRS2;GAPDH;GDAP2;GIGYF2;GLIS3;GNAI3;HPGDS;IFNAR1;IGF2R;IL10RA;IRF8;ITSN1;KIF2A;KIF5B;LAP3;LARGE1;LRRK1;LRRK2;LRRTM4;LUC7L;LYRM4;LYVE1;MAP2K1;MAP3K1;MAP3K3;MED27;MERTK;MIGA1;MPHOSPH8;MPHOSPH9;MPRIP;MS4A7;MSRA;MT-ND4;MYSM1;NAA25;NBEA;NFE2L2;NKAIN2;NLGN1;NPLOC4;NSRP1;NUMB;OSTF1;PCF11;PDE4D;PIK3C2A;PIP4K2A;PIP5K1A;PITPNB;PKD2;PPP2R2B;PPP2R5C;PPP3CA;PRKCE;PRORP;RAB11FIP2;RAP2A;RAPH1;RBMS1;RHBDF2;RPS11;RREB1;RUBCN;SAT1;SBNO1;SCARB2;SEPTIN7;SERINC5;SERTAD2;SGK3;SKIL;SLAIN2;SLC38A10;SLC44A1;SNTG1;SNX2;SNX24;SOCS6;SPATA13;SPIN1;SPPL3;SPRED2;SPTLC2;SRRM1;STAT1;STRN;SYT17;TGFB1;TIAM2;TLE3;TRAPPC9;TRIP4;TTC13;TTC37;UBXN2B;USP6NL;UST;WDR20;XAF1;XIAP;XRCC5;YWHAH;ZCCHC2;ZNF131,amyloid_lowering,higher,0.000999000999000999,11.96191817877002,47.37272047832587,3.930966392932631,0,,0,82.32436472346785,45.3662182361734,83.96860986547085,47.73916292974589,62.89237668161435,50.317638266068755,33.819133034379675,53.77428998505231,78.84902840059792,50.59790732436472,0.002442002442002442,enriched_vs_degree_matched_null,calibration_not_independent_validation,
class::broad_reactive_state_shift,random,80,AGO3;ANKHD1;APOE;APP;ASXL2;ATAD2B;ATE1;ATF7;BNIP3L;CDC42;CLCN3;CLOCK;CSNK2A1;CTNNB1;CUL3;DCAF5;DCP1A;DLG1;ERCC6L2;ESR1;ETFA;EXOC4;FAM172A;FBXO28;GALNT1;GGA2;GLB1;GPD2;GRB2;GSN;HECTD1;HELZ;HPS3;ITGB2;KATNBL1;KCMF1;KIAA2026;KIF16B;KPNA4;LRRC7;LSM14A;MBD2;MCPH1;MON2;MYH9;NEK1;NFATC3;NPEPPS;P4HA1;PAFAH1B1;PCCA;PHKB;POLK;PPP4R2;PRPF40A;PTPRD;RAP1A;RBM25;RC3H1;RHOA;RNF19A;RPS6KC1;SFSWAP;SMG1;SNX13;SP140L;STAT5B;STRN3;THOC2;TLK1;TLK2;TMEM131;TRAPPC10;TRPC4AP;TRPM7;WAPL;WDR33;XPO4;YWHAE;ZCCHC7,broad_shift,higher,0.000999000999000999,9.207750255124912,49.94499252615845,5.180499694548713,0,,0,3.269805680119582,49.85986547085202,12.817638266068759,50.0186846038864,91.96562032884901,49.953288490284,97.73916292974587,50.224215246636774,97.64573991031389,49.925261584454404,0.002442002442002442,broad_shift_confounded,calibration_not_independent_validation,
