dataset,n_cells,mean_raw_score,mean_graph_score,mean_residual_score
DLPFC,42486,3.883141304413178e-17,-9.3770284365789e-17,2.0074220390647396e-17
MTG,40000,-1.4643841694805814e-17,6.638301019989968e-17,-1.2295719997723608e-18
