module,donor_mean,global_mean,zero,robust_driver_score,max_abs_delta
at8_associated_first_pass,-0.0025900669861584,-0.0195401683449745,-0.1015358418226242,3,0.1015358418226242
inflammatory_signaling,-0.0002916962257586,-0.0027748385909944,-0.0104663595557212,3,0.0104663595557212
disease_associated_microglia,0.0017177859554067,-0.0017777835018932,-0.0611032471060752,2,0.0611032471060752
plaque_response,0.0017884438857436,-0.0016087213298305,-0.0605559833347797,2,0.0605559833347797
lipid_metabolism,0.000652176560834,-0.0015908516943454,-0.0322691686451435,2,0.0322691686451435
vascular_barrier_myeloid,0.0003947998629882,-0.0035964509006589,0.0248555168509483,1,0.0248555168509483
chemokine_migration,0.0003403039590921,-0.0012457536067813,0.0173377506434917,1,0.0173377506434917
homeostatic_microglia,0.0001961333327926,-0.003816446987912,0.0142575101926922,1,0.0142575101926922
oxidative_stress,0.0006139848264865,0.0005553521332331,-0.0042576175183057,1,0.0042576175183057
complement,0.0030494169332087,0.0035032508894801,-0.0009569072863087,1,0.0035032508894801
lysosome_phagocytosis,0.0008339105988852,-0.0019347525667399,0.0015920687001198,1,0.0019347525667399
antigen_presentation,0.0023541101254522,0.0030170755926519,0.0175846554338932,0,0.0175846554338932
synapse_pruning,0.0028502698987722,0.0019397831056267,0.0155304679647088,0,0.0155304679647088
senescence_stress,0.0004101864469703,2.8002421458950263e-05,0.0140965757891535,0,0.0140965757891535
interferon_response,0.0004504323005676,0.0005386756383813,0.0015507669886574,0,0.0015507669886574
