gene,in_graph,degree,source
AIF1,False,0,frozen_module_or_stage64_high_low_contrast
APOC1,True,5,frozen_module_or_stage64_high_low_contrast
APOE,True,46,frozen_module_or_stage64_high_low_contrast
B2M,True,34,frozen_module_or_stage64_high_low_contrast
BSG,True,8,frozen_module_or_stage64_high_low_contrast
C1QA,True,20,frozen_module_or_stage64_high_low_contrast
C1QB,True,13,frozen_module_or_stage64_high_low_contrast
C1QC,True,8,frozen_module_or_stage64_high_low_contrast
CD74,True,72,frozen_module_or_stage64_high_low_contrast
CST7,True,4,frozen_module_or_stage64_high_low_contrast
CTSB,True,14,frozen_module_or_stage64_high_low_contrast
CTSD,True,20,frozen_module_or_stage64_high_low_contrast
CTSS,True,23,frozen_module_or_stage64_high_low_contrast
FCER1G,False,0,frozen_module_or_stage64_high_low_contrast
GBA,False,0,frozen_module_or_stage64_high_low_contrast
GPX4,True,10,frozen_module_or_stage64_high_low_contrast
HLA-DPA1,True,17,frozen_module_or_stage64_high_low_contrast
HLA-DPB1,True,14,frozen_module_or_stage64_high_low_contrast
HLA-DRA,True,24,frozen_module_or_stage64_high_low_contrast
HLA-DRB1,True,20,frozen_module_or_stage64_high_low_contrast
HMOX1,True,23,frozen_module_or_stage64_high_low_contrast
IFITM3,False,0,frozen_module_or_stage64_high_low_contrast
IL27RA,True,11,frozen_module_or_stage64_high_low_contrast
IRF8,True,15,frozen_module_or_stage64_high_low_contrast
LAMP2,True,17,frozen_module_or_stage64_high_low_contrast
LAPTM5,True,13,frozen_module_or_stage64_high_low_contrast
LGALS3,True,24,frozen_module_or_stage64_high_low_contrast
LPL,True,19,frozen_module_or_stage64_high_low_contrast
NFKBIA,True,57,frozen_module_or_stage64_high_low_contrast
NPC2,True,2,frozen_module_or_stage64_high_low_contrast
NQO1,True,9,frozen_module_or_stage64_high_low_contrast
PRDX1,True,13,frozen_module_or_stage64_high_low_contrast
PSAP,True,7,frozen_module_or_stage64_high_low_contrast
SLC6A12,True,1,frozen_module_or_stage64_high_low_contrast
SOD1,True,29,frozen_module_or_stage64_high_low_contrast
SOD2,True,21,frozen_module_or_stage64_high_low_contrast
STAT1,True,107,frozen_module_or_stage64_high_low_contrast
TREM2,True,23,frozen_module_or_stage64_high_low_contrast
TXNIP,True,11,frozen_module_or_stage64_high_low_contrast
TYROBP,True,40,frozen_module_or_stage64_high_low_contrast
