path,version_bucket,stage_hint,role,archive_status,byte_size,physical_move_recommended_now,move_risk,notes
.gitattributes,unclassified,,project_file,needs_review,53,false,low,mapped_only_paths_preserved
.gitignore,unclassified,,project_file,needs_review,2646,false,low,mapped_only_paths_preserved
.streamlit/config.toml,unclassified,,project_file,needs_review,61,false,low,mapped_only_paths_preserved
README.md,unclassified,,project_file,needs_review,31201,false,low,mapped_only_paths_preserved
archive/v1/README.md,unclassified,v1,project_file,needs_review,193,false,low,mapped_only_paths_preserved
archive/v2/README.md,unclassified,v2,project_file,needs_review,193,false,low,mapped_only_paths_preserved
archive/v3/README.md,v3,v3,project_file,frozen_or_current_provenance,176,false,low,mapped_only_paths_preserved
configs/agent/stage36a_module_counterfactual_agent_v1.yaml,v3,stage36a,config,frozen_or_current_provenance,997,false,high,mapped_only_paths_preserved
configs/agent/stage36b_local_knowledge_grounding_schema_v1.yaml,v3,stage36b,config,frozen_or_current_provenance,1569,false,high,mapped_only_paths_preserved
configs/agent/stage36c_ranked_hypothesis_package_v1.yaml,v3,stage36c,config,frozen_or_current_provenance,1342,false,high,mapped_only_paths_preserved
configs/agent/stage36d_validation_handoff_v1.yaml,v3,stage36d,config,frozen_or_current_provenance,1516,false,high,mapped_only_paths_preserved
configs/agent/stage36e_frozen_validation_protocol_v1.yaml,v3,stage36e,config,frozen_or_current_provenance,2169,false,high,mapped_only_paths_preserved
configs/agent/stage37a_validation_dataset_eligibility_audit_v1.yaml,v3,stage37a,config,frozen_or_current_provenance,2184,false,high,mapped_only_paths_preserved
configs/agent/stage37b_manual_dataset_approval_v1.yaml,v3,stage37b,config,frozen_or_current_provenance,2190,false,high,mapped_only_paths_preserved
configs/agent/stage37b_rev1_dataset_claim_reclassification_v1.yaml,v3,stage37b,config,frozen_or_current_provenance,3770,false,high,mapped_only_paths_preserved
configs/agent/stage37c_f_multidataset_external_support_v1.yaml,v3,stage37c,config,frozen_or_current_provenance,4519,false,high,mapped_only_paths_preserved
configs/agent/stage38a_external_data_acquisition_preprocessing_v1.yaml,v3,stage38a,config,frozen_or_current_provenance,4284,false,high,mapped_only_paths_preserved
configs/agent/stage38b_prepared_external_support_analysis_v1.yaml,v3,stage38b,config,frozen_or_current_provenance,2443,false,high,mapped_only_paths_preserved
configs/agent/stage38c_external_support_prioritization_v1.yaml,v3,stage38c,config,frozen_or_current_provenance,2556,false,high,mapped_only_paths_preserved
configs/agent/stage39a_external_metadata_rescue_v1.yaml,v3,stage39a,config,frozen_or_current_provenance,3783,false,high,mapped_only_paths_preserved
configs/agent/stage39b_lph_internal_model_rescue_v1.yaml,v3,stage39b,config,frozen_or_current_provenance,3111,false,high,mapped_only_paths_preserved
configs/agent/stage39c_target_engineering_residual_stack_v1.yaml,v3,stage39c,config,frozen_or_current_provenance,2948,false,high,mapped_only_paths_preserved
configs/agent/stage39d_metadata_composition_stack_v1.yaml,v3,stage39d,config,frozen_or_current_provenance,3085,false,high,mapped_only_paths_preserved
