condition,edge_file,n_nodes,input_edge_rows,self_loop_rows,mean_nonzero_neighbors,median_nonzero_neighbors,max_nonzero_neighbors,smoothing_alpha,notes,n_module_features,module_overlap_summary
v3_real_graph,results\tables\v2_graph_consensus_edges.csv,2957,114029,0,77.21981738248225,26.0,692,0.5,row-normalized one-hop adjacency; undirected symmetrization except identity control,15,antigen_presentation:10; at8_associated_first_pass:10; chemokine_migration:10; complement:9; disease_associated_microglia:13; homeostatic_microglia:10; inflammatory_signaling:11; interferon_response:10; lipid_metabolism:9; lysosome_phagocytosis:10; oxidative_stress:9; plaque_response:12; senescence_stress:10; synapse_pruning:9; vascular_barrier_myeloid:10
v3_no_graph,results\tables\ablation_edge_sets\no_graph_identity_edges_v1.csv,2957,2957,2957,1.0,1.0,1,0.5,row-normalized one-hop adjacency; undirected symmetrization except identity control,15,antigen_presentation:10; at8_associated_first_pass:10; chemokine_migration:10; complement:9; disease_associated_microglia:13; homeostatic_microglia:10; inflammatory_signaling:11; interferon_response:10; lipid_metabolism:9; lysosome_phagocytosis:10; oxidative_stress:9; plaque_response:12; senescence_stress:10; synapse_pruning:9; vascular_barrier_myeloid:10
v3_strict_shuffled_graph,results\tables\ablation_edge_sets\strict_shuffled_graph_edges_v1.csv,2957,114029,0,77.21981738248225,26.0,692,0.5,row-normalized one-hop adjacency; undirected symmetrization except identity control,15,antigen_presentation:10; at8_associated_first_pass:10; chemokine_migration:10; complement:9; disease_associated_microglia:13; homeostatic_microglia:10; inflammatory_signaling:11; interferon_response:10; lipid_metabolism:9; lysosome_phagocytosis:10; oxidative_stress:9; plaque_response:12; senescence_stress:10; synapse_pruning:9; vascular_barrier_myeloid:10
