category,variable,auc_ad_vs_control_aligned,auc_ad_vs_control_baseline,mean_difference_disease_minus_control_aligned,mean_difference_disease_minus_control_baseline,rank_biserial_effect_aligned,rank_biserial_effect_baseline,auc_ad_vs_control_delta_aligned_minus_baseline,mean_difference_disease_minus_control_delta_aligned_minus_baseline,rank_biserial_effect_delta_aligned_minus_baseline
module_score,module_antigen_presentation,0.3333333333333333,0.3333333333333333,-0.1618681748708089,-0.1661422451337179,-0.3333333333333333,-0.3333333333333333,0.0,0.004274070262908991,0.0
module_score,module_at8_associated_first_pass,1.0,1.0,0.0789670050144195,0.0643316190689802,1.0,1.0,0.0,0.014635385945439297,0.0
module_score,module_chemokine_migration,0.0,0.0,-0.1033348043759663,-0.1195989887540539,-1.0,-1.0,0.0,0.016264184378087604,0.0
module_score,module_complement,1.0,1.0,0.1815308928489685,0.1815308928489685,1.0,1.0,0.0,0.0,0.0
module_score,module_disease_associated_microglia,1.0,1.0,0.1364557147026062,0.1278905769189199,1.0,1.0,0.0,0.00856513778368631,0.0
module_score,module_homeostatic_microglia,0.0,0.0,-0.2185205221176147,-0.2320573677619298,-1.0,-1.0,0.0,0.01353684564431512,0.0
module_score,module_inflammatory_signaling,0.1111111111111111,0.2222222222222222,-0.0352433621883392,-0.0466324873268604,-0.7777777777777778,-0.5555555555555556,-0.1111111111111111,0.011389125138521201,-0.2222222222222222
module_score,module_interferon_response,0.7777777777777778,0.6666666666666667,0.0319675405820211,0.0210522934794425,0.5555555555555556,0.3333333333333332,0.11111111111111105,0.010915247102578601,0.22222222222222238
module_score,module_lipid_metabolism,0.2222222222222222,0.1111111111111111,-0.0918576717376709,-0.097347488005956,-0.5555555555555556,-0.7777777777777778,0.1111111111111111,0.005489816268285097,0.2222222222222222
module_score,module_lysosome_phagocytosis,0.7777777777777778,0.7777777777777779,0.0884135564168293,0.0732171237468719,0.5555555555555556,0.5555555555555556,-1.1102230246251565e-16,0.015196432669957391,0.0
module_score,module_oxidative_stress,0.7777777777777778,0.6666666666666667,0.0402408142884572,0.0336971282958984,0.5555555555555556,0.3333333333333332,0.11111111111111105,0.0065436859925587995,0.22222222222222238
module_score,module_plaque_response,1.0,1.0,0.1467807491620382,0.1375018060207367,1.0,1.0,0.0,0.00927894314130151,0.0
module_score,module_senescence_stress,0.4444444444444444,0.4444444444444444,0.0758866171042124,0.0758866171042124,-0.1111111111111111,-0.1111111111111111,0.0,0.0,0.0
module_score,module_synapse_pruning,0.6666666666666666,0.6666666666666666,0.0492736498514811,0.0282725890477498,0.3333333333333332,0.3333333333333332,0.0,0.021001060803731295,0.0
module_score,module_vascular_barrier_myeloid,0.7777777777777778,0.888888888888889,0.1497355302174886,0.1427613099416096,0.5555555555555556,0.7777777777777777,-0.11111111111111116,0.0069742202758789895,-0.2222222222222221
sea_ad_calibrated_pathology_prediction,predicted_A beta/6e10_model_scale,0.7777777777777778,0.3333333333333333,1.7317217191060386,-3.2105902036031075,0.5555555555555556,-0.3333333333333333,0.4444444444444445,4.9423119227091465,0.8888888888888888
sea_ad_calibrated_pathology_prediction,predicted_AT8/pTau_model_scale,0.5555555555555556,0.3333333333333333,0.2404938936233521,-1.8543971379597988,0.1111111111111111,-0.3333333333333333,0.22222222222222227,2.094891031583151,0.4444444444444444
sea_ad_calibrated_pathology_prediction,predicted_GFAP_model_scale,0.3333333333333333,0.3333333333333333,-3.3789262771606445,-0.4890931447346993,-0.3333333333333333,-0.3333333333333333,0.0,-2.889833132425945,0.0
sea_ad_calibrated_pathology_prediction,predicted_Iba1_model_scale,0.5555555555555556,0.3333333333333333,-0.129859765370687,-0.7332035700480155,0.1111111111111111,-0.3333333333333333,0.22222222222222227,0.6033438046773285,0.4444444444444444
sea_ad_calibrated_pathology_prediction,predicted_NeuN_model_scale,0.6666666666666667,0.6666666666666667,1.764084458351135,1.8648503621419292,0.3333333333333332,0.3333333333333332,0.0,-0.1007659037907942,0.0
sea_ad_disease_trajectory,trajectory_A beta/6e10_score,0.6666666666666667,0.6666666666666667,0.1661112134655317,0.0606896989047527,0.3333333333333332,0.3333333333333332,0.0,0.105421514560779,0.0
sea_ad_disease_trajectory,trajectory_AT8/pTau_score,0.6666666666666667,0.6666666666666667,0.1595240111152331,0.069440650443236,0.3333333333333332,0.3333333333333332,0.0,0.0900833606719971,0.0
sea_ad_disease_trajectory,trajectory_GFAP_score,0.5555555555555556,0.3333333333333333,0.0829361677169799,-0.1276670694351196,0.1111111111111111,-0.3333333333333333,0.22222222222222227,0.2106032371520995,0.4444444444444444
sea_ad_disease_trajectory,trajectory_Iba1_score,0.6666666666666667,0.6666666666666667,0.0745440125465393,0.1006971597671508,0.3333333333333332,0.3333333333333332,0.0,-0.02615314722061149,0.0
sea_ad_disease_trajectory,trajectory_NeuN_score,0.6666666666666667,0.6666666666666667,0.1061944166819255,0.0768473148345947,0.3333333333333332,0.3333333333333332,0.0,0.029347101847330803,0.0
