model_variant,latent_dim,seed,mean_pooled_oof_spearman,delta_vs_stage27c_locked,delta_vs_stage54_best_combined,negative_control_type
negative_control_programming_plus_state_label_shuffled_modules,8,107,0.3230697580236914,-0.003632681988458064,-0.0020208565353852515,state_label_shuffled_within_donor
negative_control_programming_plus_state_label_shuffled_pseudobulk,16,107,0.25747089197124634,-0.06923154804090315,-0.06761972258783033,state_label_shuffled_within_donor
