dataset,embedding_space,variable,disease_label,control_label,n_disease,n_control,disease_mean,control_mean,mean_difference_disease_minus_control,rank_biserial_effect,mannwhitney_p,auc_ad_vs_control,category,n_cells_before_filter,n_cells_after_filter,n_external_groups,n_jepa_genes,n_matched_genes,gene_overlap_fraction
GSE138852_Grubman_Leng,projector,z_103,AD,Control,3,3,0.14777542650699615,0.14288863042990366,0.004886796077092498,0.33333333333333326,0.7,0.6666666666666667,latent_axis,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,z_71,AD,Control,3,3,0.19623657067616782,0.17014321188131967,0.026093358794848143,0.33333333333333326,0.7,0.6666666666666667,latent_axis,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,z_63,AD,Control,3,3,0.21924678484598795,0.21457854906717935,0.004668235778808594,0.11111111111111116,1.0,0.5555555555555556,latent_axis,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,z_30,AD,Control,3,3,0.07036854078372319,0.0723217378060023,-0.001953197022279113,-0.11111111111111116,1.0,0.4444444444444445,latent_axis,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,z_1,AD,Control,3,3,0.40592439969380695,0.4096321960290273,-0.003707796335220337,-0.33333333333333337,0.7,0.33333333333333337,latent_axis,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,z_120,AD,Control,3,3,0.1740479071935018,0.1760941445827484,-0.0020462373892466135,-0.33333333333333337,0.7,0.33333333333333337,latent_axis,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,z_26,AD,Control,3,3,-0.5397065579891205,-0.49503034353256226,-0.04467621445655823,-0.33333333333333337,0.7,0.33333333333333337,latent_axis,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,z_57,AD,Control,3,3,-0.22259538372357687,-0.20296373963356018,-0.019631644090016692,-0.33333333333333337,0.7,0.33333333333333337,latent_axis,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,z_94,AD,Control,3,3,0.0965658879528443,0.14437741910417876,-0.04781153115133445,-0.5555555555555556,0.4,0.22222222222222224,latent_axis,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_at8_associated_first_pass,AD,Control,3,3,0.11009820799032848,0.04576658892134825,0.06433161906898022,1.0,0.1,1.0,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_complement,AD,Control,3,3,0.5782701075077057,0.3967392146587372,0.1815308928489685,1.0,0.1,1.0,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_disease_associated_microglia,AD,Control,3,3,0.5059951146443685,0.3781045377254486,0.12789057691891992,1.0,0.1,1.0,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_plaque_response,AD,Control,3,3,0.5325928926467896,0.39509108662605286,0.1375018060207367,1.0,0.1,1.0,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_vascular_barrier_myeloid,AD,Control,3,3,0.5285525421301523,0.38579123218854267,0.14276130994160968,0.7777777777777777,0.2,0.888888888888889,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_lysosome_phagocytosis,AD,Control,3,3,0.381609986225764,0.308392862478892,0.07321712374687195,0.5555555555555556,0.4,0.7777777777777779,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_interferon_response,AD,Control,3,3,0.07530373831590016,0.05425144483645757,0.02105229347944259,0.33333333333333326,0.7,0.6666666666666667,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_oxidative_stress,AD,Control,3,3,0.2040220300356547,0.17032490173975626,0.03369712829589844,0.33333333333333326,0.7,0.6666666666666667,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_synapse_pruning,AD,Control,3,3,0.5008860131104788,0.4726134240627289,0.028272589047749874,0.33333333333333326,0.7,0.6666666666666666,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_senescence_stress,AD,Control,3,3,0.39254385232925415,0.31665724019209546,0.0758866121371587,-0.11111111111111116,1.0,0.4444444444444444,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_antigen_presentation,AD,Control,3,3,0.6461132764816284,0.8122555216153463,-0.1661422451337179,-0.33333333333333337,0.7,0.33333333333333337,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_inflammatory_signaling,AD,Control,3,3,0.07267957056562106,0.11931205789248149,-0.04663248732686043,-0.5555555555555556,0.4,0.22222222222222224,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_lipid_metabolism,AD,Control,3,3,0.5589557389418284,0.6563032269477844,-0.09734748800595605,-0.7777777777777778,0.2,0.11111111111111112,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_chemokine_migration,AD,Control,3,3,0.02244925343741973,0.14204824219147363,-0.1195989887540539,-1.0,0.1,0.0,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,module_homeostatic_microglia,AD,Control,3,3,0.24376105765501657,0.4758184254169464,-0.23205736776192984,-1.0,0.1,0.0,module_score,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,predicted_NeuN_model_scale,AD,Control,3,3,33.35869916280111,31.493844985961914,1.864854176839195,0.33333333333333326,0.7,0.6666666666666667,sea_ad_calibrated_pathology_prediction,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,predicted_A beta/6e10_model_scale,AD,Control,3,3,-18.54316298166911,-15.332570234934488,-3.210592746734621,-0.33333333333333337,0.7,0.33333333333333337,sea_ad_calibrated_pathology_prediction,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,predicted_AT8/pTau_model_scale,AD,Control,3,3,-15.326553662618002,-13.472155570983887,-1.8543980916341152,-0.33333333333333337,0.7,0.33333333333333337,sea_ad_calibrated_pathology_prediction,13214,449,6,2957,2626,0.8880622252282719
