gene,scope,AT8_delta,A_beta_6e10_delta,GFAP_delta,Iba1_delta,NeuN_delta,manifold_safety_status,prediction_safety_status,perturbation_success,failure_reason,mean_latent_shift,median_latent_shift,mean_nearest_real_cell_distance,p95_nearest_real_cell_distance,baseline_nn_p95_threshold,manifold_violation_fraction
AATF,graph_connected,0.0121454512700438,0.0170000344514846,0.0668596923351287,-0.0007054859306663,0.0189777426421642,within_manifold_threshold,not_separately_audited,True,,0.000218217348447,0.0001657095417613,0.000218217344976,0.0004411698464537,0.0183959506452083,0.0
ABHD2,graph_connected,0.0220712758600711,0.0331245400011539,0.0440616123378276,0.0009256025659851,-0.0071422718465328,within_manifold_threshold,not_separately_audited,True,,0.0001414803846273,0.0001219048863276,0.0001414803431392,0.0002501831622794,0.0183959506452083,0.0
AC009120.2,graph_connected,0.0092664305120706,0.0098327072337269,-0.0164508949965238,-0.006520252674818,0.0007348944782279,within_manifold_threshold,not_separately_audited,True,,0.000161562958965,0.000125653197756,0.0001615629220464,0.0003291775065008,0.0183959506452083,0.0
ACACA,graph_connected,-0.0151074053719639,-0.0130373025313019,-0.0353030227124691,-0.0239690393209457,-0.0111731439828872,within_manifold_threshold,not_separately_audited,True,,0.0001938715868163,0.000182021089131,0.0001938715608603,0.0003186270332662,0.0183959506452083,0.0
ACAP2,graph_connected,-0.0091798808425664,0.0349738858640193,0.0183302499353885,0.0270182155072689,0.0324884206056594,within_manifold_threshold,not_separately_audited,True,,0.0002386939595453,0.0001833639980759,0.0002386939114218,0.0005541784339584,0.0183959506452083,0.0
ADD1,graph_connected,-0.0039803688414394,-0.0343292690813541,0.0356902182102203,0.0473841801285743,-0.0339004397392272,within_manifold_threshold,not_separately_audited,True,,0.0003832008806057,0.0004071155271958,0.0003832008674457,0.0005993812461383,0.0183959506452083,0.0
AGFG1,graph_connected,0.0527902655303478,0.0334951542317867,0.0394074358046054,-0.0279898587614297,-0.0162198729813098,within_manifold_threshold,not_separately_audited,True,,0.0002475743822287,0.0002747127437032,0.000247574350684,0.0003708633885253,0.0183959506452083,0.0
AGO3,graph_connected,0.0307129528373479,0.082471877336502,0.0496716350317001,-0.0230981037020683,0.0088705252856016,within_manifold_threshold,not_separately_audited,True,,0.0007085358374752,0.0008501157280988,0.000708535770559,0.0010099282488226,0.0183959506452083,0.0
AKAP11,graph_connected,0.0057616382837295,-0.0521637015044689,-0.0922329500317573,-0.0117276422679424,0.0133523363620042,within_manifold_threshold,not_separately_audited,True,,0.0003864608588628,0.0003099012246821,0.0003864608729257,0.0007440825575031,0.0183959506452083,0.0
AKAP7,graph_connected,-0.0055953259579837,0.0016539378557354,-0.0017642064485698,-0.0044374051503837,-0.0045850612223148,within_manifold_threshold,not_separately_audited,True,,0.0001714197424007,0.0001211508060805,0.0001714197124751,0.0003871050867019,0.0183959506452083,0.0
