dataset,embedding_space,variable,disease_label,control_label,n_disease,n_control,disease_mean,control_mean,mean_difference_disease_minus_control,rank_biserial_effect,mannwhitney_p,auc_ad_vs_control,category,n_cells_before_filter,n_cells_after_filter,n_external_groups,n_jepa_genes,n_matched_genes,gene_overlap_fraction,control_centroid_shift_applied,control_centroid_shift_l2,missing_gene_imputation,alignment
GSE138852_Grubman_Leng,projector,z_94,AD,Control,3,3,0.33065950870513916,0.31787122289339703,0.012788285811742128,0.5555555555555556,0.4,0.7777777777777778,latent_axis,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,z_1,AD,Control,3,3,0.013097763061523438,-0.042293280363082886,0.05539104342460632,0.33333333333333326,0.7,0.6666666666666667,latent_axis,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,z_120,AD,Control,3,3,-0.1675663391749064,-0.2068249930938085,0.0392586539189021,0.33333333333333326,0.7,0.6666666666666667,latent_axis,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,z_26,AD,Control,3,3,-0.017994580169518787,-0.03073116143544515,0.012736581265926361,0.33333333333333326,0.7,0.6666666666666667,latent_axis,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,z_63,AD,Control,3,3,-0.15719756732384363,-0.1875795523325602,0.030381985008716583,0.33333333333333326,0.7,0.6666666666666667,latent_axis,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,z_57,AD,Control,3,3,0.09822344779968262,0.1090457836786906,-0.01082233587900798,-0.11111111111111116,1.0,0.4444444444444445,latent_axis,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,z_103,AD,Control,3,3,0.38665417830149335,0.420636922121048,-0.03398274381955463,-0.33333333333333337,0.7,0.33333333333333337,latent_axis,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,z_71,AD,Control,3,3,0.2966992259025574,0.31647413969039917,-0.019774913787841797,-0.33333333333333337,0.7,0.33333333333333337,latent_axis,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,z_30,AD,Control,3,3,0.4797924955685933,0.5136529604593912,-0.033860464890797914,-0.5555555555555556,0.4,0.22222222222222224,latent_axis,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,module_at8_associated_first_pass,AD,Control,3,3,0.4912605881690979,0.41229358315467834,0.07896700501441956,1.0,0.1,1.0,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,module_complement,AD,Control,3,3,0.5782701075077057,0.3967392146587372,0.1815308928489685,1.0,0.1,1.0,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,module_disease_associated_microglia,AD,Control,3,3,0.7772470712661743,0.6407913565635681,0.1364557147026062,1.0,0.1,1.0,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,module_plaque_response,AD,Control,3,3,0.8264492352803549,0.6796684861183167,0.1467807491620382,1.0,0.1,1.0,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,module_interferon_response,AD,Control,3,3,0.36369908849398297,0.33173154791196185,0.031967540582021114,0.5555555555555556,0.4,0.7777777777777778,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
