Donor ID,composition_total_cells,composition_count_Subclass_Microglia_PVM,composition_prop_Subclass_Microglia_PVM,composition_count_Supertype_Lymphocyte,composition_prop_Supertype_Lymphocyte,composition_count_Supertype_Micro_PVM_1,composition_prop_Supertype_Micro_PVM_1,composition_count_Supertype_Micro_PVM_2,composition_prop_Supertype_Micro_PVM_2,composition_count_Supertype_Micro_PVM_2_1_SEAAD,composition_prop_Supertype_Micro_PVM_2_1_SEAAD,composition_count_Supertype_Micro_PVM_2_3_SEAAD,composition_prop_Supertype_Micro_PVM_2_3_SEAAD,composition_count_Supertype_Micro_PVM_3_SEAAD,composition_prop_Supertype_Micro_PVM_3_SEAAD,composition_count_Supertype_Micro_PVM_4_SEAAD,composition_prop_Supertype_Micro_PVM_4_SEAAD,composition_count_Supertype_Monocyte,composition_prop_Supertype_Monocyte,composition_count_Class_Non_neuronal_and_Non_neural,composition_prop_Class_Non_neuronal_and_Non_neural,composition_count_Brain Region_Human_MTG,composition_prop_Brain Region_Human_MTG,composition_count_Brain Region_Human_MTG_All_Layers,composition_prop_Brain Region_Human_MTG_All_Layers,composition_count_Brain Region_Human_MTG_L5,composition_prop_Brain Region_Human_MTG_L5,composition_pseudoprogression_mean,composition_pseudoprogression_median,composition_pseudoprogression_std,composition_pseudoprogression_min,composition_pseudoprogression_max,microglia_pvm_n_cells
H19.33.004,796.0,796.0,1.0,10.0,0.01256281407035176,15.0,0.018844221105527637,488.0,0.6130653266331658,1.0,0.001256281407035176,206.0,0.25879396984924624,60.0,0.07537688442211055,2.0,0.002512562814070352,14.0,0.017587939698492462,796.0,1.0,796.0,1.0,0.0,0.0,0.0,0.0,0.302312776,0.302312776,0.0,0.302312776,0.302312776,796
H20.33.001,811.0,811.0,1.0,7.0,0.008631319358816275,31.0,0.03822441430332922,340.0,0.4192355117139334,12.0,0.014796547472256474,280.0,0.34525277435265106,134.0,0.16522811344019728,0.0,0.0,7.0,0.008631319358816275,811.0,1.0,811.0,1.0,0.0,0.0,0.0,0.0,0.522888828,0.522888828,0.0,0.522888828,0.522888828,811
H20.33.002,538.0,538.0,1.0,4.0,0.007434944237918215,31.0,0.05762081784386617,202.0,0.3754646840148699,2.0,0.0037174721189591076,273.0,0.5074349442379182,24.0,0.04460966542750929,0.0,0.0,2.0,0.0037174721189591076,538.0,1.0,538.0,1.0,0.0,0.0,0.0,0.0,0.206549371,0.206549371,0.0,0.206549371,0.206549371,538
H20.33.004,739.0,739.0,1.0,218.0,0.29499323410013534,34.0,0.046008119079837616,259.0,0.35047361299052776,2.0,0.0027063599458728013,23.0,0.03112313937753721,188.0,0.2543978349120433,5.0,0.006765899864682003,10.0,0.013531799729364006,739.0,1.0,739.0,1.0,0.0,0.0,0.0,0.0,0.725005699,0.725005699,0.0,0.725005699,0.725005699,739
H20.33.005,878.0,878.0,1.0,33.0,0.03758542141230068,34.0,0.0387243735763098,486.0,0.5535307517084282,0.0,0.0,187.0,0.21298405466970388,131.0,0.1492027334851936,1.0,0.0011389521640091116,6.0,0.00683371298405467,878.0,1.0,878.0,1.0,0.0,0.0,0.0,0.0,0.760780881,0.760780881,0.0,0.760780881,0.760780881,878
H20.33.008,201.0,201.0,1.0,2.0,0.009950248756218905,9.0,0.04477611940298507,71.0,0.35323383084577115,3.0,0.014925373134328358,96.0,0.47761194029850745,17.0,0.0845771144278607,2.0,0.009950248756218905,1.0,0.004975124378109453,201.0,1.0,201.0,1.0,0.0,0.0,0.0,0.0,0.753887834,0.753887834,0.0,0.753887834,0.753887834,201
H20.33.011,412.0,412.0,1.0,1.0,0.0024271844660194173,4.0,0.009708737864077669,270.0,0.6553398058252428,1.0,0.0024271844660194173,99.0,0.24029126213592233,34.0,0.0825242718446602,0.0,0.0,3.0,0.007281553398058253,412.0,1.0,412.0,1.0,0.0,0.0,0.0,0.0,0.8108649429999999,0.810864943,0.0,0.810864943,0.810864943,412
H20.33.012,516.0,516.0,1.0,8.0,0.015503875968992248,12.0,0.023255813953488372,199.0,0.3856589147286822,50.0,0.09689922480620156,132.0,0.2558139534883721,110.0,0.2131782945736434,0.0,0.0,5.0,0.009689922480620155,516.0,1.0,330.0,0.6395348837209303,186.0,0.36046511627906974,0.0,0.0,0.237009997,0.237009997,0.0,0.237009997,0.237009997,516
H20.33.013,367.0,367.0,1.0,5.0,0.013623978201634877,12.0,0.0326975476839237,220.0,0.5994550408719346,9.0,0.02452316076294278,96.0,0.2615803814713896,21.0,0.05722070844686648,1.0,0.0027247956403269754,3.0,0.008174386920980926,367.0,1.0,367.0,1.0,0.0,0.0,0.0,0.0,0.847210162,0.847210162,0.0,0.847210162,0.847210162,367
H20.33.014,265.0,265.0,1.0,0.0,0.0,5.0,0.018867924528301886,224.0,0.8452830188679246,0.0,0.0,20.0,0.07547169811320754,14.0,0.052830188679245285,2.0,0.007547169811320755,0.0,0.0,265.0,1.0,265.0,1.0,0.0,0.0,0.0,0.0,0.678277043,0.678277043,0.0,0.678277043,0.678277043,265
