perturbation,n_targets,n_targets_up,n_targets_down,mean_abs_delta,max_abs_delta,strongest_target,strongest_delta,AT8_delta,A_beta_6e10_delta,GFAP_delta,Iba1_delta,NeuN_delta,effect_signature
APP,5,4,1,0.027007099706679517,0.0626100152730941,GFAP,0.0626100152730941,0.0128721520304679,-0.0011984691955149,0.0626100152730941,0.0192196629941463,0.0391351990401744,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
STAT3,5,5,0,0.025470768660306897,0.0641533881425857,GFAP,0.0641533881425857,0.017108004540205,0.0045346701517701,0.0641533881425857,0.0145954946056008,0.0269622858613729,A beta/6e10:up; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
GRB2,5,4,1,0.01701730741187928,0.0369182303547859,GFAP,0.0369182303547859,0.0063339839689433,-0.0014500943943858,0.0369182303547859,0.0146537935361266,0.0257304348051548,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
HSP90AA1,5,4,1,0.01650782590731974,0.0331625379621982,NeuN,0.0331625379621982,0.0058206892572343,-0.0067795570939779,0.0284996666014194,0.0082766786217689,0.0331625379621982,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
BCL2,5,4,1,0.01455438504926856,0.0277670994400978,GFAP,0.0277670994400978,0.0048683919012546,-0.0023182544391602,0.0277670994400978,0.0132661117240786,0.0245520677417516,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
HIF1A,5,4,1,0.013932922948151799,0.0347047410905361,GFAP,0.0347047410905361,0.004148312844336,-0.0024539488367736,0.0347047410905361,0.0093775764107704,0.0189800355583429,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
MAPK1,5,4,1,0.01236552493646734,0.0226683020591735,NeuN,0.0226683020591735,0.0025016348809003,-0.0039477716200053,0.0223403964191675,0.0103695197030901,0.0226683020591735,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
APOE,5,5,0,0.01050972621887916,0.0200221147388219,GFAP,0.0200221147388219,0.0063072899356484,0.0037317047826945,0.0200221147388219,0.0154494363814592,0.0070380852557718,A beta/6e10:up; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
RHOA,5,4,1,0.01009247959591442,0.0193107761442661,NeuN,-0.0193107761442661,0.0014317638706415,0.0117804240435361,0.0109580438584089,0.0069813900627195,-0.0193107761442661,A beta/6e10:up; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:down
CTSD,5,3,2,0.00991954016499216,0.024592014029622,NeuN,0.024592014029622,0.0012059407308697,-0.0074471547268331,0.014668027870357,-0.001684563467279,0.024592014029622,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:down; NeuN:up
CX3CR1,5,4,1,0.009220815103617441,0.022089198231697,GFAP,0.022089198231697,0.0050454409793019,-0.0001612390769878,0.022089198231697,0.0041510006412863,0.0146571965888142,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
CD4,5,3,2,0.00863087866455312,0.0192602612078189,NeuN,0.0192602612078189,-0.0025843996554613,-0.0071796393021941,0.0119060650467872,0.0022240281105041,0.0192602612078189,A beta/6e10:down; AT8/pTau:down; GFAP:up; Iba1:up; NeuN:up
TLR2,5,3,2,0.00842522056773298,0.0164810791611671,GFAP,0.0164810791611671,-0.0029971925541758,-0.0042025516740977,0.0164810791611671,0.0083410516381263,0.010104227811098,A beta/6e10:down; AT8/pTau:down; GFAP:up; Iba1:up; NeuN:up
CD74,5,4,1,0.00680913301184768,0.0139501746743917,GFAP,0.0139501746743917,0.0012450320646166,-0.001339794602245,0.0139501746743917,0.0066208131611347,0.0108898505568504,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
P2RY12,5,5,0,0.00656174102332438,0.0178252011537551,GFAP,0.0178252011537551,0.0020372555591166,0.000731312087737,0.0178252011537551,0.006284225732088,0.0059307105839252,A beta/6e10:up; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
CSF1R,5,4,1,0.0056889970088377,0.0116935539990663,GFAP,0.0116935539990663,0.0009486317867413,-0.0021005882881581,0.0116935539990663,0.0051885871216654,0.0085136238485574,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
ROCK1,5,3,2,0.00518237191718066,0.008645225316286,NeuN,0.008645225316286,-0.0019059550249949,-0.0039400146342813,0.007653341628611,0.0037673229817301,0.008645225316286,A beta/6e10:down; AT8/pTau:down; GFAP:up; Iba1:up; NeuN:up
UGCG,5,4,1,0.00516210416099052,0.0086247576400637,NeuN,0.0086247576400637,0.0007971750455908,-0.0020530777983367,0.0079714655876159,0.0063640447333455,0.0086247576400637,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
PTPRG,5,2,3,0.004861178761348101,0.0105366762727499,NeuN,0.0105366762727499,-0.0024802442640066,-0.0041931541636586,-0.0021057042758911,0.0049901148304343,0.0105366762727499,A beta/6e10:down; AT8/pTau:down; GFAP:down; Iba1:up; NeuN:up
P2RY13,5,2,3,0.0038715850096195394,0.0070418999530375,NeuN,0.0070418999530375,-0.0017155760433524,-0.003730931552127,0.0058046067133545,-0.0010649107862263,0.0070418999530375,A beta/6e10:down; AT8/pTau:down; GFAP:up; Iba1:down; NeuN:up
PLCG2,5,4,1,0.0031116831116377803,0.0067346352152526,GFAP,0.0067346352152526,0.0006295369239524,-0.0010227205930277,0.0067346352152526,0.0041036093607544,0.0030679134652018,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
CHI3L1,5,1,4,0.00114005675422954,0.0025349627248942,NeuN,-0.0025349627248942,-0.0003336023073643,0.0004185679426882,-0.001681605936028,-0.000731544860173,-0.0025349627248942,A beta/6e10:up; AT8/pTau:down; GFAP:down; Iba1:down; NeuN:down
DRAM1,5,3,2,0.00083251891192042,0.0013625422725453,NeuN,0.0013625422725453,0.0007611562032252,-0.0005049563478678,0.0011927769519388,-0.000341162784025,0.0013625422725453,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:down; NeuN:up
F13A1,5,3,2,0.00064303365070368,0.0014567857142537,Iba1,-0.0014567857142537,0.0007706399192102,0.0003178431943524,0.0002635774144437,-0.0014567857142537,-0.0004063220112584,A beta/6e10:up; AT8/pTau:up; GFAP:up; Iba1:down; NeuN:down
