dataset,gene,mean_high_minus_low,median_high_minus_low,mean_log1p_high_minus_low,n_donors,total_high_cells,total_low_cells,median_rank_sum_p,bh_q_median_p_within_dataset,direction
MTG,APOE,1.3390667469073565,1.364324927330017,0.5927115969168835,78,1994,17762,2.719596015967374e-08,1.3054060876643394e-06,higher_in_high_tail
MTG,C1QC,1.2182033222455244,1.2480645775794983,0.5899551736238675,78,1994,17762,4.3441382994250383e-07,1.0425931918620092e-05,higher_in_high_tail
MTG,HLA-DRA,1.1602287903810158,1.1737547516822815,0.5829730049157754,78,1994,17762,8.752433659800835e-07,1.4003893855681336e-05,higher_in_high_tail
MTG,C1QA,1.089191962702152,1.1115508675575256,0.5783300441809189,78,1994,17762,1.735633009707763e-06,1.6662076893194527e-05,higher_in_high_tail
MTG,TYROBP,1.0673159158382661,1.0802529454231262,0.604685800961959,78,1994,17762,9.488562179484098e-06,5.693137307690459e-05,higher_in_high_tail
MTG,HLA-DRB1,1.0612144088133788,1.0695990324020386,0.5384919192546453,78,1994,17762,1.1706835676749714e-05,6.243645694266514e-05,higher_in_high_tail
MTG,B2M,1.0299312869707744,1.0651004314422607,0.46153133458051926,78,1994,17762,4.158274627956682e-06,2.8513883163131534e-05,higher_in_high_tail
MTG,C1QB,1.024305108265999,1.057289183139801,0.4616824231850795,78,1994,17762,2.320423318151434e-06,1.8563386545211473e-05,higher_in_high_tail
MTG,CD74,0.9650768920397147,0.9347404539585114,0.39039596685996425,78,1994,17762,1.424667933063005e-06,1.6662076893194527e-05,higher_in_high_tail
MTG,CTSD,0.9641736684701382,0.9768776297569275,0.5504410219116088,78,1994,17762,1.734281158060747e-05,8.324549558691586e-05,higher_in_high_tail
MTG,HLA-DPA1,0.9622292239696552,0.9377152919769287,0.5541852955252696,78,1994,17762,0.00017953748148811995,0.0007834362828572506,higher_in_high_tail
MTG,CTSS,0.7790999790796866,0.7359940409660339,0.4141404655499336,78,1994,17762,0.0014990890694737155,0.004965292697220163,higher_in_high_tail
MTG,PSAP,0.7775555184254279,0.773115485906601,0.3276017973056206,78,1994,17762,0.0003487665778178332,0.0013950663112713329,higher_in_high_tail
MTG,TXNIP,0.751354259176132,0.7379704117774963,0.39311821109209305,78,1994,17762,0.0017437353810517745,0.005231206143155323,higher_in_high_tail
MTG,HLA-DPB1,0.7189549039571713,0.7404786646366119,0.4196611287502142,78,1994,17762,0.000857139142813802,0.0031648214503894228,higher_in_high_tail
MTG,APOC1,0.6797255231783941,0.6982369124889374,0.4286833012906405,78,1994,17762,0.002035715666952079,0.0057479030596294,higher_in_high_tail
MTG,NPC2,0.667864589450451,0.7034757137298584,0.425147979782942,78,1994,17762,0.001551653967881301,0.004965292697220163,higher_in_high_tail
MTG,SOD2,0.66141760463898,0.6267125904560089,0.39974359652170766,78,1994,17762,0.002884775333727542,0.007692734223273446,higher_in_high_tail
MTG,TREM2,0.6225709267533742,0.5928921699523926,0.42205717739386434,78,1994,17762,0.007079083149308598,0.016989799558340634,higher_in_high_tail
MTG,LAPTM5,0.6188897245969528,0.640136331319809,0.287628404605083,78,1994,17762,0.004046498744660976,0.010222733670722467,higher_in_high_tail
MTG,CTSB,0.4249935990724808,0.4178631901741028,0.16592698219494942,78,1994,17762,0.056342141635149876,0.12292830902214517,higher_in_high_tail
MTG,LAMP2,0.4095692176085252,0.4307418614625931,0.2615287313476587,78,1994,17762,0.030473223500860926,0.06965308228768212,higher_in_high_tail
MTG,NFKBIA,0.2726522339269137,0.27519045770168304,0.18513859407259867,78,1994,17762,0.17230942040694425,0.35960226867536194,higher_in_high_tail
MTG,MSR1,0.25334760011770785,0.283171683549881,0.11211643119653066,78,1994,17762,0.2510611320672458,0.4820373735691119,higher_in_high_tail
MTG,UGCG,0.22159211490398797,0.26770058274269104,0.10375706010904068,78,1994,17762,0.298098806163762,0.5396596691894971,higher_in_high_tail
MTG,CSF1R,0.19064825773239136,0.18487757444381714,0.0742048292587965,78,1994,17762,0.32604438346865455,0.5396596691894971,higher_in_high_tail
MTG,C3,0.16153084544035104,0.10605478286743164,0.06701674025792342,78,1994,17762,0.3406395931839394,0.545023349094303,higher_in_high_tail
