condition,mean_pooled_oof_spearman,min_target_pooled_oof_spearman,n_targets
stage27c_module_pca_ridge_reference,0.3267024400121495,0.016077756403766325,5
stage31_weak_residual_real_graph_alpha_0_05_reference,0.32637035537106407,0.01565252607066923,5
stage33c_best_reference,0.30493874658297054,-0.0865849954439607,5
stage34a_best_reference,0.2945226283284398,-0.0051635111876075,5
hbcc_ext_svd32_raw_count_size_factor_log1p_concat_module_pca_no_graph,0.27822213222638453,-0.06603219601093449,5
hbcc_ext_svd16_raw_count_size_factor_log1p_direct_no_graph,0.27070163004961023,0.02743748101650299,5
hbcc_ext_svd32_raw_count_size_factor_log1p_direct_no_graph,0.24724511491343523,0.01816340994229017,5
hbcc_ext_svd32_raw_count_size_factor_log1p_direct_strict_shuffled_residual_graph_alpha_0_05,0.21966994026526274,-0.029482636428065204,5
hbcc_ext_svd32_raw_count_size_factor_log1p_direct_residual_real_graph_alpha_0_05,0.21835780095170598,-0.01796091930748203,5
