representation,target,n_donors,pathology_tertile_silhouette,knn_spearman,knn_r2,knn_mae
expression_pca_128,percent AT8 positive area_Grey matter,84,-0.007514380340134798,0.2186493874658297,-0.010721508574405902,1.015285611152649
expression_pca_128,percent NeuN positive area_Grey matter,84,-0.003846290295933352,0.329776247848537,0.10248566801696257,1.4595980644226074
expression_pca_128,percent 6e10 positive area_Grey matter,84,-0.005722828240903614,0.0989774222942189,-0.35730082960195686,2.65954852104187
expression_pca_128,percent GFAP positive area_Grey matter,84,-0.016581291477471068,-0.01210893996152678,-0.12774425074560303,3.4605205059051514
expression_pca_128,percent Iba1 positive area_Grey matter,84,-0.011620056572688294,-0.04355573554723094,-0.171487625549416,1.7882496118545532
jepa_latent_128,percent AT8 positive area_Grey matter,84,-0.06448562288538083,0.009901792042118052,-0.15288318576331483,1.1672611236572266
jepa_latent_128,percent NeuN positive area_Grey matter,84,-0.046341778350451494,0.26493874658297056,0.04011985793118211,1.5109838247299194
jepa_latent_128,percent 6e10 positive area_Grey matter,84,-0.05971939259584847,0.19293307684519592,-0.07845752403646844,1.972785234451294
jepa_latent_128,percent GFAP positive area_Grey matter,84,-0.06648064287000262,-0.131193682292194,-0.2718491284226263,4.024744510650635
jepa_latent_128,percent Iba1 positive area_Grey matter,84,-0.05909488222937408,-0.05353852384327225,-0.22399381372583216,1.7976839542388916
