gene,final_tier,final_evidence_tier_v3,final_candidate_status_v3,model_implied_evidence,manifold_qc_evidence,internal_robustness_evidence,baseline_comparison_evidence,baseline_comparison_notes,external_cohort_evidence,cell_state_evidence,spatial_evidence,experimental_evidence,current_max_evidence_level,evidence_status_summary,claim_boundary,level2_failure_pattern,level2_failed_required_axes,gfap_positive_fraction,iba1_positive_fraction,mean_GFAP_delta,mean_Iba1_delta,epsilon_sensitivity_summary,gliosis_failure_interpretation,diagnostic_only_no_evidence_promotion
UGCG,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.5617977528089888,0.7191011235955056,0.0032738112338202,0.0028730402942067,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.052;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
SLC38A9,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.1910112359550561,0.3820224719101123,-0.0367753022719101,-0.0065704999594382,strict=0.000;eps0.001=0.000;eps0.005=0.005;eps0.01=0.352;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
MDM2,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.5393258426966292,0.6966292134831461,0.0091651343483146,0.0041645001785955,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.000;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
SMARCA4,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.4157303370786517,0.7415730337078652,-0.003331993453146,0.0081190915732022,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.000;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
AP1G1,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.3033707865168539,0.2247191011235955,-0.0278012913757303,-0.0054569002905617,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.571;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
TLR2,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.5168539325842697,0.6067415730337079,-0.0065728411696629,0.0078653645786516,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.000;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
NEMF,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.0224719101123595,0.449438202247191,-0.0481155213089887,-0.0012833000230561,strict=0.000;eps0.001=0.000;eps0.005=0.380;eps0.01=0.916;sensitivity_only_not_evidence_promotion;threshold_dependent,strict_positive_part_gliosis_axis_only,True
BAZ1A,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.3258426966292135,0.2247191011235955,-0.0343773443651685,-0.0176293395056179,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.000;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
GMDS,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.1797752808988764,0.0,-0.024169171777528,-0.0268858684213483,strict=0.000;eps0.001=0.034;eps0.005=1.000;eps0.01=1.000;sensitivity_only_not_evidence_promotion;threshold_dependent,strict_positive_part_gliosis_axis_only,True
BTBD9,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.1011235955056179,0.0337078651685393,-0.038353416327191,-0.0090844858979775,strict=0.000;eps0.001=0.093;eps0.005=0.906;eps0.01=1.000;sensitivity_only_not_evidence_promotion;threshold_dependent,strict_positive_part_gliosis_axis_only,True
