analysis_label,model_variant,latent_dim,seed,fold_id,target,fold_spearman,n_donors
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,1,6e10/A_beta,0.07352941176470588,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,1,AT8,0.3911764705882353,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,1,GFAP,0.38823529411764707,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,1,Iba1,-0.023529411764705882,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,1,NeuN,0.2441176470588235,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,2,6e10/A_beta,0.3911764705882353,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,2,AT8,0.23823529411764705,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,2,GFAP,-0.06176470588235294,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,2,Iba1,0.3735294117647059,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,2,NeuN,0.31764705882352945,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,3,6e10/A_beta,0.3852941176470588,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,3,AT8,0.6735294117647058,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,3,GFAP,0.45294117647058824,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,3,Iba1,-0.27941176470588236,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,3,NeuN,0.6647058823529411,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,4,6e10/A_beta,0.5323529411764706,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,4,AT8,0.38235294117647056,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,4,GFAP,0.4558823529411765,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,4,Iba1,0.4088235294117647,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,4,NeuN,0.3941176470588235,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,5,6e10/A_beta,0.32647058823529407,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,5,AT8,0.4941176470588235,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,5,GFAP,0.22058823529411767,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,5,Iba1,0.1411764705882353,16
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,5,NeuN,0.7411764705882353,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,1,6e10/A_beta,0.4941176470588235,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,1,AT8,0.6823529411764706,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,1,GFAP,0.5882352941176471,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,1,Iba1,0.11470588235294117,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,1,NeuN,0.8411764705882352,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,2,6e10/A_beta,-0.0823529411764706,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,2,AT8,0.3323529411764706,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,2,GFAP,0.12941176470588234,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,2,Iba1,-0.014705882352941175,16
stage62_aggregate,mtg_programming_plus_dlpfc_state_modules_full,8,107,2,NeuN,0.1264705882352941,16
