dataset,regulator,control,dose,module,mean_module_delta,abs_mean_module_delta
MTG,BACH1,directed_stage72b,0.25,dam_lipid_trem2_apoe,-0.0409197136759758,0.0409197136759758
MTG,BACH1,directed_stage72b,0.25,lysosomal_endolysosomal,-0.13206110894680023,0.13206110894680023
MTG,BACH1,directed_stage72b,0.25,complement_phagocytosis,-0.1429806351661682,0.1429806351661682
MTG,BACH1,directed_stage72b,0.25,antigen_presentation,-0.06502889841794968,0.06502889841794968
MTG,BACH1,directed_stage72b,0.25,interferon_inflammatory,-0.021099377423524857,0.021099377423524857
MTG,BACH1,directed_stage72b,0.25,oxidative_stress_gene_preserved,-0.048591095954179764,0.048591095954179764
MTG,BACH1,directed_stage72b,0.5,dam_lipid_trem2_apoe,-0.081839419901371,0.081839419901371
MTG,BACH1,directed_stage72b,0.5,lysosomal_endolysosomal,-0.26412221789360046,0.26412221789360046
MTG,BACH1,directed_stage72b,0.5,complement_phagocytosis,-0.2859612703323364,0.2859612703323364
MTG,BACH1,directed_stage72b,0.5,antigen_presentation,-0.13005781173706055,0.13005781173706055
MTG,BACH1,directed_stage72b,0.5,interferon_inflammatory,-0.04219875484704971,0.04219875484704971
MTG,BACH1,directed_stage72b,0.5,oxidative_stress_gene_preserved,-0.09718221426010132,0.09718221426010132
MTG,BACH1,directed_stage72b,0.75,dam_lipid_trem2_apoe,-0.1227591410279274,0.1227591410279274
MTG,BACH1,directed_stage72b,0.75,lysosomal_endolysosomal,-0.3961833119392395,0.3961833119392395
MTG,BACH1,directed_stage72b,0.75,complement_phagocytosis,-0.4289419949054718,0.4289419949054718
MTG,BACH1,directed_stage72b,0.75,antigen_presentation,-0.19508671760559082,0.19508671760559082
MTG,BACH1,directed_stage72b,0.75,interferon_inflammatory,-0.06329813599586487,0.06329813599586487
MTG,BACH1,directed_stage72b,0.75,oxidative_stress_gene_preserved,-0.14577332139015198,0.14577332139015198
MTG,BACH1,directed_stage72b,1.0,dam_lipid_trem2_apoe,-0.1636788547039032,0.1636788547039032
MTG,BACH1,directed_stage72b,1.0,lysosomal_endolysosomal,-0.5282444357872009,0.5282444357872009
MTG,BACH1,directed_stage72b,1.0,complement_phagocytosis,-0.5719226598739624,0.5719226598739624
MTG,BACH1,directed_stage72b,1.0,antigen_presentation,-0.2601156234741211,0.2601156234741211
MTG,BACH1,directed_stage72b,1.0,interferon_inflammatory,-0.08439750969409943,0.08439750969409943
MTG,BACH1,directed_stage72b,1.0,oxidative_stress_gene_preserved,-0.19436442852020264,0.19436442852020264
MTG,CEBPA,directed_stage72b,0.25,dam_lipid_trem2_apoe,-0.016657907515764236,0.016657907515764236
MTG,CEBPA,directed_stage72b,0.25,lysosomal_endolysosomal,-0.031742218881845474,0.031742218881845474
MTG,CEBPA,directed_stage72b,0.25,complement_phagocytosis,-0.021571718156337738,0.021571718156337738
MTG,CEBPA,directed_stage72b,0.25,antigen_presentation,-0.09388864785432816,0.09388864785432816
MTG,CEBPA,directed_stage72b,0.25,interferon_inflammatory,-0.015792593359947205,0.015792593359947205
MTG,CEBPA,directed_stage72b,0.25,oxidative_stress_gene_preserved,-0.0544947013258934,0.0544947013258934
MTG,CEBPA,directed_stage72b,0.5,dam_lipid_trem2_apoe,-0.03331580385565758,0.03331580385565758
MTG,CEBPA,directed_stage72b,0.5,lysosomal_endolysosomal,-0.06348444521427155,0.06348444521427155
