model,target,module,perturbation,intervention,n_genes_perturbed,genes,mean_delta_model_scale,mean_delta_raw_scale,median_delta_raw_scale,abs_mean_delta_raw_scale,n_donors,n_cells,source_file,target_short,effect_direction
upgrade_fine_08,percent AT8 positive area_Grey matter,lipid_metabolism,PLCG2,global_mean,1,PLCG2,0.0003738069790415,0.0006295369239524,0.0005619525909423,0.0006295369239524,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,up
upgrade_fine_08,percent AT8 positive area_Grey matter,at8_associated_first_pass,CHI3L1,global_mean,1,CHI3L1,-0.0002177843707613,-0.0003336023073643,-0.0007513761520385,0.0003336023073643,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,AT8/pTau,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,unannotated,RHOA,global_mean,1,RHOA,0.0046954764984548,0.0117804240435361,0.0111880302429199,0.0117804240435361,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,up
upgrade_fine_08,percent 6e10 positive area_Grey matter,at8_associated_first_pass;disease_associated_microglia;lysosome_phagocytosis;plaque_response,CTSD,global_mean,1,CTSD,-0.0029088358860462,-0.0074471547268331,-0.0066651105880737,0.0074471547268331,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,unannotated,CD4,global_mean,1,CD4,-0.0028309680055826,-0.0071796393021941,-0.0072633028030395,0.0071796393021941,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,senescence_stress,HSP90AA1,global_mean,1,HSP90AA1,-0.0026282256003469,-0.0067795570939779,-0.0059680938720703,0.0067795570939779,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,unannotated,STAT3,global_mean,1,STAT3,0.0019031146075576,0.0045346701517701,0.0049657821655273,0.0045346701517701,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,up
upgrade_fine_08,percent 6e10 positive area_Grey matter,unannotated,TLR2,global_mean,1,TLR2,-0.0016473297728225,-0.0042025516740977,-0.0041686296463012,0.0042025516740977,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,at8_associated_first_pass,PTPRG,global_mean,1,PTPRG,-0.0016472559655085,-0.0041931541636586,-0.0039582252502441,0.0041931541636586,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,unannotated,MAPK1,global_mean,1,MAPK1,-0.0014928302261978,-0.0039477716200053,-0.0039680004119873,0.0039477716200053,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,unannotated,ROCK1,global_mean,1,ROCK1,-0.0015429109334945,-0.0039400146342813,-0.0038090944290161,0.0039400146342813,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,disease_associated_microglia;lipid_metabolism;plaque_response,APOE,global_mean,1,APOE,0.0014484425773844,0.0037317047826945,0.003260850906372,0.0037317047826945,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,up
upgrade_fine_08,percent 6e10 positive area_Grey matter,homeostatic_microglia,P2RY13,global_mean,1,P2RY13,-0.001469480805099,-0.003730931552127,-0.003481388092041,0.003730931552127,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,unannotated,HIF1A,global_mean,1,HIF1A,-0.0009260539663955,-0.0024539488367736,-0.0011941194534301,0.0024539488367736,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,unannotated,BCL2,global_mean,1,BCL2,-0.0008699311874806,-0.0023182544391602,-0.0020358562469482,0.0023182544391602,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,1,CSF1R,-0.0008247806690633,-0.0021005882881581,-0.0022475719451904,0.0021005882881581,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,unannotated,UGCG,global_mean,1,UGCG,-0.0007929021376185,-0.0020530777983367,-0.0018097162246704,0.0020530777983367,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
