candidate_id,donor_id_or_bootstrap_group,leave_one_donor_or_group_out_delta,high_influence_flag,interpretation
stage27c_locked_reference,H19.33.004,0.0024441113500938694,False,within influence tolerance
stage27c_locked_reference,H20.33.001,0.0034852095407659767,False,within influence tolerance
stage27c_locked_reference,H20.33.002,-0.0050114950476224385,False,within influence tolerance
stage27c_locked_reference,H20.33.004,-0.0030048622446334217,False,within influence tolerance
stage27c_locked_reference,H20.33.005,-0.0037353101687340184,False,within influence tolerance
stage27c_locked_reference,H20.33.008,0.0031325795084415353,False,within influence tolerance
stage27c_locked_reference,H20.33.011,0.008950975041794484,False,within influence tolerance
stage27c_locked_reference,H20.33.012,0.0037119002758317365,False,within influence tolerance
stage27c_locked_reference,H20.33.013,0.006314645752511894,False,within influence tolerance
stage27c_locked_reference,H20.33.014,-0.0028201512753205926,False,within influence tolerance
stage27c_locked_reference,H20.33.015,-0.0015901441387604631,False,within influence tolerance
stage27c_locked_reference,H20.33.016,-0.0035505991994211894,False,within influence tolerance
stage27c_locked_reference,H20.33.017,-0.004163503779413658,False,within influence tolerance
stage27c_locked_reference,H20.33.018,-0.011547744575350072,False,within influence tolerance
stage27c_locked_reference,H20.33.019,-0.0007169650111000236,False,within influence tolerance
stage27c_locked_reference,H20.33.020,-0.00847062774566193,False,within influence tolerance
stage27c_locked_reference,H20.33.024,0.0045976733332179776,False,within influence tolerance
stage27c_locked_reference,H20.33.025,0.008736878236454637,False,within influence tolerance
stage27c_locked_reference,H20.33.026,-0.009154897927434347,False,within influence tolerance
stage27c_locked_reference,H20.33.027,0.0046186632160944985,False,within influence tolerance
stage27c_locked_reference,H20.33.028,-0.004663062991873301,False,within influence tolerance
stage27c_locked_reference,H20.33.029,-0.002933496642853528,False,within influence tolerance
stage27c_locked_reference,H20.33.030,0.0017178614025686323,False,within influence tolerance
stage27c_locked_reference,H20.33.031,0.0075026731233192034,False,within influence tolerance
stage27c_locked_reference,H20.33.032,0.008405238087006661,False,within influence tolerance
stage27c_locked_reference,H20.33.033,0.01219181295791888,False,within influence tolerance
stage27c_locked_reference,H20.33.034,0.008741076213029941,False,within influence tolerance
stage27c_locked_reference,H20.33.035,-0.0003895228382273519,False,within influence tolerance
stage27c_locked_reference,H20.33.036,0.006171914548952051,False,within influence tolerance
stage27c_locked_reference,H20.33.037,-0.0009436557461656725,False,within influence tolerance
stage27c_locked_reference,H20.33.038,0.006919154379353809,False,within influence tolerance
stage27c_locked_reference,H20.33.039,0.0007607227434023311,False,within influence tolerance
stage27c_locked_reference,H20.33.040,0.006469970885797649,False,within influence tolerance
stage27c_locked_reference,H20.33.041,0.005731127008546499,False,within influence tolerance
stage27c_locked_reference,H20.33.043,0.0020369076222906957,False,within influence tolerance
stage27c_locked_reference,H20.33.044,-0.004495143928861689,False,within influence tolerance
stage27c_locked_reference,H20.33.045,-0.009473944147156466,False,within influence tolerance
stage27c_locked_reference,H20.33.046,-0.0035254113399694753,False,within influence tolerance
stage27c_locked_reference,H21.33.001,0.005307131374442164,False,within influence tolerance
stage27c_locked_reference,H21.33.002,-0.0025598767276526213,False,within influence tolerance
stage27c_locked_reference,H21.33.003,-0.008709912410453435,False,within influence tolerance
stage27c_locked_reference,H21.33.004,-0.007622636477453204,False,within influence tolerance
stage27c_locked_reference,H21.33.005,-0.001783251061223845,False,within influence tolerance
stage27c_locked_reference,H21.33.006,0.004773988349380198,False,within influence tolerance
stage27c_locked_reference,H21.33.007,-0.00017962400946280876,False,within influence tolerance
stage27c_locked_reference,H21.33.008,0.00023597567149097332,False,within influence tolerance
stage27c_locked_reference,H21.33.009,-0.014028748731346852,False,within influence tolerance
stage27c_locked_reference,H21.33.010,-0.007815743399916586,False,within influence tolerance
stage27c_locked_reference,H21.33.011,-0.012798741594786722,False,within influence tolerance
stage27c_locked_reference,H21.33.012,0.002196430732151755,False,within influence tolerance
stage27c_locked_reference,H21.33.013,-0.0071272752415689755,False,within influence tolerance
stage27c_locked_reference,H21.33.014,-0.0031979691670968036,False,within influence tolerance
stage27c_locked_reference,H21.33.015,-0.0033113145346296835,False,within influence tolerance
stage27c_locked_reference,H21.33.016,-0.005754536901448892,False,within influence tolerance
stage27c_locked_reference,H21.33.017,0.012884479092841905,False,within influence tolerance
stage27c_locked_reference,H21.33.018,0.006465772909222345,False,within influence tolerance
stage27c_locked_reference,H21.33.019,0.004358388668426472,False,within influence tolerance
stage27c_locked_reference,H21.33.020,-0.015019471203115475,False,within influence tolerance
stage27c_locked_reference,H21.33.021,0.006810006988396178,False,within influence tolerance
stage27c_locked_reference,H21.33.022,-0.002337383969162221,False,within influence tolerance
stage27c_locked_reference,H21.33.023,-0.0009142699101387097,False,within influence tolerance
stage27c_locked_reference,H21.33.025,0.0018354047466767054,False,within influence tolerance
stage27c_locked_reference,H21.33.026,0.0018773845124296362,False,within influence tolerance
stage27c_locked_reference,H21.33.027,0.0007397328605258657,False,within influence tolerance
stage27c_locked_reference,H21.33.028,0.006176112525527355,False,within influence tolerance
stage27c_locked_reference,H21.33.029,-0.0022240386016293967,False,within influence tolerance
stage27c_locked_reference,H21.33.030,-0.0034330558553131163,False,within influence tolerance
stage27c_locked_reference,H21.33.031,0.00017720399943688125,False,within influence tolerance
stage27c_locked_reference,H21.33.032,-0.0028117553221700953,False,within influence tolerance
stage27c_locked_reference,H21.33.033,0.0017052674728426642,False,within influence tolerance
stage27c_locked_reference,H21.33.034,0.0008698701343598514,False,within influence tolerance
stage27c_locked_reference,H21.33.035,-0.007673012196356743,False,within influence tolerance
