model_variant,latent_dim,seed,target_family,family_mean_oof_spearman
programming_plus_state_module_programming,8,107,amyloid_tau,0.3772501771793054
programming_plus_state_module_programming,8,107,glial_reactivity,0.18270729978738484
programming_plus_state_module_programming,8,107,neuron_preservation,0.5102359015895516
negative_control_programming_plus_state_label_shuffled_modules,8,107,amyloid_tau,0.3749519084742331
negative_control_programming_plus_state_label_shuffled_modules,8,107,glial_reactivity,0.17979143464614764
negative_control_programming_plus_state_label_shuffled_modules,8,107,neuron_preservation,0.5058621038776956
programming_only_pca_jepa,8,107,amyloid_tau,0.37412169687151975
programming_only_pca_jepa,8,107,glial_reactivity,0.16471600688468158
programming_only_pca_jepa,8,107,neuron_preservation,0.5135364989369242
programming_plus_state_module_plus_state_pseudobulk,32,107,amyloid_tau,0.3692821706996051
programming_plus_state_module_plus_state_pseudobulk,32,107,glial_reactivity,0.11900374607674397
programming_plus_state_module_plus_state_pseudobulk,32,107,neuron_preservation,0.48709122203098115
programming_plus_state_pseudobulk_programming,32,107,amyloid_tau,0.3592993824035638
programming_plus_state_pseudobulk_programming,32,107,glial_reactivity,0.1197934595524957
programming_plus_state_pseudobulk_programming,32,107,neuron_preservation,0.4885896527285614
state_abundance_and_module_programming,8,307,amyloid_tau,0.38906550572036047
state_abundance_and_module_programming,8,307,glial_reactivity,0.22172724511491343
state_abundance_and_module_programming,8,307,neuron_preservation,0.16294421383011037
state_pseudobulk_programming,32,107,amyloid_tau,0.30804900273362357
state_pseudobulk_programming,32,107,glial_reactivity,0.11368836691303028
state_pseudobulk_programming,32,107,neuron_preservation,0.4928014579325707
negative_control_programming_plus_state_label_shuffled_pseudobulk,16,107,amyloid_tau,0.28858965272856135
negative_control_programming_plus_state_label_shuffled_pseudobulk,16,107,glial_reactivity,0.11967196517161081
negative_control_programming_plus_state_label_shuffled_pseudobulk,16,107,neuron_preservation,0.4708312240558874
