batch_id,tf,n_query_regions,n_mapped_query_regions,query_coverage_fraction,n_selected_db_regions,n_motifs_tested,n_enriched_motifs,n_direct_batch_tf_enriched_motifs,n_extended_batch_tf_enriched_motifs,batch_tf_direct_motif_support,batch_tf_extended_motif_support,top_batch_tf_supported_motif,top_batch_tf_supported_motif_nes,n_batch_tf_supported_hit_rows,n_batch_tf_supported_unique_db_regions,motif_enrichment_completed,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim,n_supported_motifs,n_direct_supported_motifs,n_extended_only_supported_motifs,n_supported_target_genes,n_supported_query_peaks,n_supported_screen_regions,n_evidence_rows,max_motif_NES,motif_support_interpretation,validated_regulation_evidence,validated_grn_claim_evidence,causal_validation_pass_evidence,therapeutic_target_claim_evidence,regulator_role,evidence_gate,f7_evidence_gate,f7_exclusion_reason,motif_support_interpretation_evidence,evidence_tier,evidence_tier_label,stage75_integrated_gate
5,ELF1,91,86,0.945054945054945,286,5876,78,1,10,True,True,metacluster_167.5,5.138000835504443,153,78,True,False,False,False,False,10,1,9,25,46,78,153,5.138000835504443,direct_and_or_extended,False,False,False,False,descriptive_secondary_hypothesis,advance_supported,advance_supported,,direct_and_or_extended,Tier A,direct motif support,advance_supported
9,SPI1,86,81,0.9418604651162792,270,5876,75,3,4,True,True,metacluster_167.5,5.5182584919817295,49,28,True,False,False,False,False,4,3,1,15,23,28,49,5.5182584919817295,direct_and_or_extended,False,False,False,False,descriptive_secondary_hypothesis,advance_supported,advance_supported,,direct_and_or_extended,Tier A,direct motif support,advance_supported
2,STAT1,82,78,0.951219512195122,274,5876,75,1,2,True,True,metacluster_167.5,5.282175557880517,46,40,True,False,False,False,False,2,1,1,18,27,40,46,5.282175557880517,direct_and_or_extended,False,False,False,False,primary_stage74_gate_pass,advance_supported,,,,Tier A,direct motif support,advance_supported
3,BACH1,82,78,0.951219512195122,264,5876,75,0,1,False,True,tfdimers__MD00332,3.878694038397005,13,13,True,False,False,False,False,1,0,1,9,11,13,13,3.878694038397005,extended_only,False,False,False,False,descriptive_secondary_hypothesis,advance_supported,advance_supported,,extended_only,Tier B,extended-only motif support,advance_supported
4,CEBPA,57,53,0.9298245614035088,173,5876,69,0,4,False,True,tfdimers__MD00015,4.987698110859991,37,29,True,False,False,False,False,4,0,4,12,23,29,37,4.987698110859991,extended_only,False,False,False,False,descriptive_secondary_hypothesis,advance_supported,advance_supported,,extended_only,Tier B,extended-only motif support,advance_supported
1,IRF8,67,63,0.9402985074626866,176,5876,83,0,1,False,True,tfdimers__MD00012,3.5077968729109004,7,7,True,False,False,False,False,1,0,1,6,7,7,7,3.5077968729109004,extended_only,False,False,False,False,primary_stage74_gate_pass,advance_supported,,,,Tier B,extended-only motif support,advance_supported
8,RELA,81,77,0.9506172839506172,230,5876,81,0,1,False,True,metacluster_133.2,5.400085902870549,14,14,True,False,False,False,False,1,0,1,11,12,14,14,5.400085902870549,extended_only,False,False,False,False,descriptive_secondary_hypothesis,advance_supported,advance_supported,,extended_only,Tier B,extended-only motif support,advance_supported
6,MITF,73,68,0.9315068493150684,211,5876,80,0,0,False,False,,,0,0,True,False,False,False,False,0,0,0,0,0,0,0,,none_at_configured_thresholds,,,,,descriptive_secondary_hypothesis,stop_no_tf_annotated_enriched_motif,stop_no_tf_annotated_enriched_motif,no enriched motif annotated to batch TF at configured F6 thresholds,,Tier C,no TF-annotated enriched motif at configured thresholds,stop_no_tf_annotated_enriched_motif
7,NRF1,76,72,0.9473684210526316,258,5876,77,0,0,False,False,,,0,0,True,False,False,False,False,0,0,0,0,0,0,0,,none_at_configured_thresholds,,,,,descriptive_secondary_hypothesis,stop_no_tf_annotated_enriched_motif,stop_no_tf_annotated_enriched_motif,no enriched motif annotated to batch TF at configured F6 thresholds,,Tier C,no TF-annotated enriched motif at configured thresholds,stop_no_tf_annotated_enriched_motif
10,STAT3,84,79,0.9404761904761904,267,5876,75,0,0,False,False,,,0,0,True,False,False,False,False,0,0,0,0,0,0,0,,none_at_configured_thresholds,,,,,descriptive_secondary_hypothesis,stop_no_tf_annotated_enriched_motif,stop_no_tf_annotated_enriched_motif,no enriched motif annotated to batch TF at configured F6 thresholds,,Tier C,no TF-annotated enriched motif at configured thresholds,stop_no_tf_annotated_enriched_motif
