negative_control,score,primary_score,delta_primary_minus_control,beats_primary,diagnostic_interpretation
negative_control_state_label_shuffled_within_donor,0.2813907641819034,0.2773150492264417,-0.004075714955461718,True,state_or_donor_structure_can_match_real_branch
negative_control_expression_permuted_within_donor,0.2802904360056258,0.2773150492264417,-0.0029753867791841304,True,tests whether expression-module values are exchangeable/noisy
negative_control_expression_permuted_within_state,0.2732913736521331,0.2773150492264417,0.004023675574308605,False,tests whether expression-module values are exchangeable/noisy
negative_control_random_gene_modules_matched_size,0.2728684950773558,0.2773150492264417,0.004446554149085902,False,tests module gene-set specificity
negative_control_donor_shuffled_dlpfc_full,0.2720975152367557,0.2773150492264417,0.005217533989685996,False,tests donor-alignment dependence
negative_control_module_gene_shuffled_matched_size,0.2720717299578059,0.2773150492264417,0.005243319268635804,False,tests module gene-set specificity
negative_control_donor_shuffled_dlpfc_expression_modules,0.2643696671354899,0.2773150492264417,0.012945382090951751,False,tests donor-alignment dependence
overall_diagnosis,0.2813907641819034,0.2773150492264417,-0.004075714955461718,True,best_negative_control_exceeds_real_branch; do_not_lock_benchmark; likely split/state/donor-structure fragility
